index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005, Q 0000, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),8951,9277,8977,8663,9980,9921,9850,8575,9996,10189,9888,8955,13210,14704,13620,9456,10075,12298,15199,12794,10795,13297,13248,11125,10060,12528,12374,11057,9119,10413,10459,11212,6885,7861,6711,8198,4654,5412,5924,5826,3299,3642,4287,4511,1640,2919,3054,2815,233590,218961
Zysk (strata) z dzialal. oper. (tys. zl),-287,-151,-391,-268,301,-187,-256,-83,70,11754,503,-289,1197,-1398,-830,-632,-4123,-4675,-2328,-3669,348,468,-358,-1818,-1857,753,-1279,-406,195,932,535,486,-538,571,-826,93,-4213,-811,-528,-676,-1599,-1088,-1511,-754,-811,-825,-1232,-689,-7966,49101
Zysk (strata) brutto (tys. zl),-916,-783,-924,-753,-838,-1086,-1286,-802,-1137,-1929,-782,-1196,-670,-3255,-2442,9333,-5781,-6723,-4249,-5471,24,90,-275,-2320,-2262,320,-1622,-736,-237,349,473,376,-1023,37,-1305,-398,-5047,-1294,-1182,-1059,-1508,-1973,-2604,-1015,47,-1210,-1511,-119,-14698,57186
Zysk (strata) netto (tys. zl),-1602,-642,-696,-1132,-552,-1032,-1350,2934,-893,-1872,-1168,-966,-288,-3092,-1693,7464,-4908,-4594,-2436,-7506,183,135,-422,-2587,-2190,309,-247,-707,205,215,391,359,-1054,-347,-1355,-464,-5629,-977,-1115,-1090,-1634,-1973,-3018,-1149,328,-1316,-876,-710,-178,46630
Amortyzacja (tys. zl),806,786,1166,479,1434,1442,1493,1073,1515,1617,1502,1456,1778,1855,1917,1575,1335,1906,2033,1908,1031,1058,1030,1041,963,951,970,928,946,831,816,888,905,852,854,804,861,769,818,797,677,821,817,810,0,826,843,94,2013,2013
EBITDA (tys. zl),519,635,775,211,1735,1255,1237,990,1585,13371,2005,1167,2975,457,1087,943,-2788,-2769,-295,-1761,1379,1526,672,-777,-894,1704,-309,522,1141,1763,1351,1374,367,1423,28,897,-3352,-42,290,121,-922,-267,-694,56,-811,1,-389,-595,-5953,51114
Aktywa (tys. zl),67968,60961,59549,58282,107716,106390,99660,72090,115751,113718,110352,109254,126178,126470,124874,119631,0,138888,135059,128930,0,87442,104601,0,53800,74288,0,0,53539,53775,55603,0,54681,53574,53741,0,62435,59969,58364,0,57401,56173,57612,0,56304,56566,56397,0,1376878,1047429
Kapital wlasny (tys. zl),15439,14788,14092,12587,17459,16427,15077,17041,22018,20146,18978,18011,20232,17140,15447,22910,0,30462,28026,20520,0,42882,42552,0,23931,43141,0,0,19667,23731,24279,0,25047,19667,23345,0,29283,27604,27191,0,9364,19541,22851,0,12227,10991,9941,0,1065246,839150
Liczba akcji (tys. szt.),"6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6118,223","6102,723","6118,223","6118,223","6118,223","5144,383","5144,383","5144,383","6102,723","4759,484","5144,383","5144,383","5144,383","4759,484","4759,484","4759,484","4759,484","3399,631","4759,484","4759,484","4759,484","1456,985","1456,985","3399,631","3399,631","1380,526","1380,526","1380,526","1380,526","56757,525","56757,525"
Zysk na akcje (zl),"-0,262","-0,105","-0,114","-0,185","-0,090","-0,169","-0,221","0,480","-0,146","-0,306","-0,191","-0,158","-0,047","-0,505","-0,277","1,220","-0,802","-0,751","-0,398","-1,227","0,030","0,022","-0,069","-0,423","-0,426","0,060","-0,048","-0,116","0,043","0,042","0,076","0,070","-0,221","-0,073","-0,285","-0,097","-1,656","-0,205","-0,234","-0,229","-1,121","-1,354","-0,888","-0,338","0,238","-0,953","-0,635","-0,514","-0,003","0,822"
Wartosc ksiegowa na akcje (zl),"2,523","2,417","2,303","2,057","2,854","2,685","2,464","2,785","3,599","3,293","3,102","2,944","3,307","2,801","2,525","3,745","0,000","4,979","4,581","3,354","0,000","7,009","6,955","0,000","4,652","8,386","0,000","0,000","4,132","4,613","4,720","0,000","5,263","4,132","4,905","0,000","8,614","5,800","5,713","0,000","6,427","13,412","6,722","0,000","8,857","7,961","7,201","0,000","18,768","14,785"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
