index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,IV Q 2001,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),922000,1018000,1105000,1196000,1043620,974000,1147000,1015000,1088447,1186100,1163877,1225403,1359770,1432771,1160724,1307027,1423673,1631672,1627305,1587797,1014823,1167355,1337650,1512031,654135,826616,966364,1052894,658910,605456,645030,696331,564223,730288,718937,731124,287080,324579,314229,650171,239768,254046,305273,325839,260214,264431,257733,287530,167697,249588,-280016,283333,266377,0,0
Zysk (strata) z dzialal. oper. (tys. zl),74000,71000,142000,93000,88044,64000,192000,120000,125842,128363,123853,139740,121997,152862,104860,90634,226349,279697,240770,133641,154701,216067,266757,323130,69561,100930,145311,164713,-20357,12345,52326,44158,-34091,41698,53901,56036,41548,27875,29817,20468,-23807,12753,9519,27847,15265,28523,6116,21503,14574,22863,-48075,23668,6891,0,0
Zysk (strata) brutto (tys. zl),57000,57000,84000,96000,56178,101000,165000,144000,127524,122726,109488,138608,102588,149243,104598,89812,222215,265977,98534,125703,151332,223278,267742,336492,42325,119197,138118,177916,-45636,8543,90790,65164,-37279,32100,61718,57832,43352,30736,32676,389783,-26356,6359,3866,27293,11254,25771,6408,20038,14332,20903,-44909,20438,5841,0,0
Zysk (strata) netto (tys. zl),44000,50000,58000,81000,66142,92000,154000,136000,110881,108079,60677,122102,123615,134858,88864,82288,274718,234869,117027,110834,128817,178342,224694,282523,37025,94863,110827,141655,-36247,4872,72423,48398,18774,32969,54421,41684,37200,24647,26510,406630,-22240,3767,2415,21838,10881,21750,4797,16001,12828,19902,17528,16154,5666,0,0
Amortyzacja (tys. zl),49000,49000,49000,52000,40610,38000,40000,40000,38689,38607,39169,37614,39051,38068,41509,40210,46061,38876,38425,39624,34050,33813,33920,36176,35367,34666,34732,33515,36741,36140,38721,35033,32828,31494,32283,29835,14425,14370,14542,33361,13227,14750,14254,13910,12812,11713,10941,11279,13687,15256,10132,12106,2578,0,0
EBITDA (tys. zl),123000,120000,191000,145000,128654,102000,232000,160000,164531,166970,163022,177354,161048,190930,146369,130844,272410,318573,279195,173265,188751,249880,300677,359306,104928,135596,180043,198228,16384,48485,91047,79191,-1263,73192,86184,85871,55973,42245,44359,53829,-10580,27503,23773,41757,28077,40236,17057,32782,28261,38119,-37943,35774,9469,0,0
Aktywa (tys. zl),4792000,4843000,5110000,6048000,4642000,4537000,4950572,4680000,4023106,4268653,3871784,4469559,4557414,4738104,4671292,4259181,4561998,4841469,4361980,4367162,3517437,3922796,4086053,0,2948546,3157657,3239724,0,2689800,2883901,2928386,0,2513628,2569828,2585905,0,1032994,1039993,1076666,0,728455,733462,724833,0,754884,780710,760163,0,702117,709188,754199,0,713222,702924,739272
Kapital wlasny (tys. zl),2293000,2343000,2437000,2495000,2223000,2289000,2135928,2240000,2277438,2349685,1998527,2127774,2913492,3049517,2197257,2265129,2922812,2493232,2700126,2795209,2116305,2343049,2454499,0,1638299,1720294,1839290,0,1482469,1519668,1597772,0,1291704,1360774,1410330,0,783163,807810,834320,0,435972,439739,442154,0,432856,454286,444918,0,326668,348162,402962,0,384917,306603,314029
Liczba akcji (tys. szt.),"1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","1323250,000","854250,000","1323250,000","1323250,000","1323250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","854250,000","12750,000","854250,000","854250,000"
Zysk na akcje (zl),"0,033","0,038","0,044","0,061","0,050","0,070","0,116","0,103","0,084","0,082","0,046","0,092","0,093","0,102","0,067","0,062","0,208","0,177","0,088","0,084","0,097","0,135","0,170","0,214","0,028","0,072","0,084","0,107","-0,027","0,004","0,055","0,037","0,014","0,025","0,041","0,032","0,044","0,019","0,020","0,307","-0,026","0,004","0,003","0,026","0,013","0,025","0,006","0,019","0,015","0,023","0,021","0,019","0,444","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,733","1,771","1,842","1,886","1,680","1,730","1,614","1,693","1,721","1,776","1,510","1,608","2,202","2,305","1,661","1,712","2,209","1,884","2,041","2,112","1,599","1,771","1,855","0,000","1,238","1,300","1,390","0,000","1,120","1,148","1,207","0,000","0,976","1,028","1,066","0,000","0,917","0,610","0,631","0,000","0,510","0,515","0,518","0,000","0,507","0,532","0,521","0,000","0,382","0,408","0,472","0,000","30,190","0,359","0,368"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
