index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2010,IV Q 2011,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),143147,144476,153862,166468,124025,124795,129113,144895,118251,108856,134297,127223,101924,99517,109704,120810,0,0,96566
Zysk (strata) z dzialal. oper. (tys. zl),6258,5484,4977,6191,6552,8652,6773,10527,4280,4789,3173,7096,-4737,5687,3886,3465,0,0,7524
Zysk (strata) brutto (tys. zl),4563,3995,3281,4306,4870,6802,4957,8698,2976,3393,1325,5380,-6520,4222,2422,2280,0,0,5637
Zysk (strata) netto (tys. zl),3876,3182,2895,3326,3834,5358,3912,6878,2123,2648,816,4380,4187,3227,2130,1835,0,0,1831
Amortyzacja (tys. zl),6068,6185,6480,6538,5279,5001,5598,5803,5366,5112,4604,5175,3105,3167,3413,3651,0,0,0
EBITDA (tys. zl),12326,11669,11457,12729,11831,13653,12371,16330,9646,9901,7777,12271,-1632,8854,7299,7116,0,0,7524
Aktywa (tys. zl),416460,437762,431424,448164,385831,405323,402758,419348,329898,363721,385324,374390,236403,0,306930,317409,210197,256627,235941
Kapital wlasny (tys. zl),143218,146405,142109,145646,123098,128346,132770,139239,115407,118033,118360,122393,65107,0,111780,113609,80949,90810,62189
Liczba akcji (tys. szt.),"11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","11346,936","6364,936","6364,936","11346,936","11346,936","6364,936","6364,936","6364,936"
Zysk na akcje (zl),"0,342","0,280","0,255","0,293","0,338","0,472","0,345","0,606","0,187","0,233","0,072","0,386","0,658","0,507","0,188","0,162","0,000","0,000","0,288"
Wartosc ksiegowa na akcje (zl),"12,622","12,903","12,524","12,836","10,849","11,311","11,701","12,271","10,171","10,402","10,431","10,786","10,229","0,000","9,851","10,012","12,718","14,267","9,771"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
