index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,I Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),4740983,4647035,4295822,4180888,4859798,4789786,4466828,4377627,4917418,4887264,4339051,4412231,6538742,5164102,4542422,4540102,5588381,6454853,5859133,5900257,4478004,5299075,5032069,4835697,3663573,3794333,3465956,3690586,0,0,3549505,3251762
Zysk (strata) z dzialal. oper. (tys. zl),-3433401,455982,-322337,389296,283172,585571,458731,487958,220690,632434,450020,464487,332553,789400,400374,523602,324564,558540,694865,579171,271331,510995,427083,382862,254204,476046,306705,345177,0,0,334666,354776
Zysk (strata) brutto (tys. zl),-3509383,388560,-355885,336869,185479,553973,304830,454876,139023,557996,368323,387353,269096,737996,349572,459739,318798,499212,643815,537188,211970,487037,428367,366795,217726,449729,271729,324122,0,0,305859,333429
Zysk (strata) netto (tys. zl),-2883958,323245,-319810,270848,132192,502043,216481,358117,92024,395930,334360,318411,207194,559158,290074,367062,250612,381164,475837,412196,157058,382471,321562,290471,163140,291813,189954,219831,0,0,186024,203709
Amortyzacja (tys. zl),517983,413618,407754,423879,428601,435307,435296,444194,440010,455747,456358,456211,437699,432521,431124,423414,361617,416352,411336,420817,329390,349588,348244,351648,328982,346604,341924,340860,0,0,324642,342954
EBITDA (tys. zl),-2915418,869600,85417,813175,711773,1020878,894027,932152,660700,1088181,906378,920698,770252,1221921,831498,947016,686181,974892,1106201,999988,600721,860583,775327,734510,583186,822650,648629,686037,0,0,659308,697730
Aktywa (tys. zl),32071433,32250551,31661822,31913686,34559193,34172992,34322074,34949928,32355570,31670077,31577237,32137089,31273677,30749673,30689681,31425277,28526996,28852487,28968106,29676658,23430284,22789982,23404475,23461511,22155493,21807983,22016702,22515176,20247698,20823133,0,0
Kapital wlasny (tys. zl),16018328,16349738,16056107,16348985,17966448,18482673,18462754,18837494,17327165,17814332,17793054,18106785,16306681,16800448,16766721,17143926,15632321,16054855,15964308,16336651,14704825,15091762,15157415,15459848,11858566,12144911,12507950,12722949,11026782,11125910,0,0
Liczba akcji (tys. szt.),"1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","1752549,394","3154588,909","1752549,394","1752549,394","1752549,394","2797256,712","2797256,712","2860989,772","2860989,772","2797256,712","2797256,712","2797256,712","2797256,712"
Zysk na akcje (zl),"-1,646","0,184","-0,182","0,155","0,075","0,286","0,124","0,204","0,053","0,226","0,191","0,182","0,118","0,319","0,166","0,209","0,143","0,217","0,272","0,235","0,050","0,218","0,183","0,166","0,058","0,104","0,066","0,077","0,000","0,000","0,067","0,073"
Wartosc ksiegowa na akcje (zl),"9,140","9,329","9,162","9,329","10,252","10,546","10,535","10,749","9,887","10,165","10,153","10,332","9,305","9,586","9,567","9,782","8,920","9,161","9,109","9,322","4,661","8,611","8,649","8,821","4,239","4,342","4,372","4,447","3,942","3,977","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
