index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),27417,10116,15657,17038,27655,19831,20333,17078,19377,16921,18328,24609,28755,11616,11661,18056,47913,23090,18421,21338,72524,50006,49062,31919,29645,17696,23612,60503,0,25835
Zysk (strata) z dzialal. oper. (tys. zl),2448,-1740,-1320,-746,3122,-158,743,580,1563,-412,-999,175,3407,-324,-395,436,8099,2684,-22496,969,7773,1477,5576,1376,2338,3300,4756,2145,0,3160
Zysk (strata) brutto (tys. zl),2513,-1673,-1314,-666,2553,-61,818,640,2623,-56,-935,226,3681,-54,-189,553,8114,2655,-50415,1172,8469,2049,5081,2205,2173,4009,4571,2321,0,3004
Zysk (strata) netto (tys. zl),2297,-1690,-1249,-1025,2505,88,757,437,3613,-107,-729,325,3416,-100,-199,153,5897,2057,-48717,1076,6081,1631,3756,1922,1715,3310,3705,1264,0,2381
Amortyzacja (tys. zl),853,829,840,866,812,764,766,820,789,699,740,766,788,700,710,721,763,771,784,791,819,819,766,765,613,720,776,793,0,606
EBITDA (tys. zl),3301,-911,-480,120,3934,606,1509,1400,2352,287,-259,941,4195,376,315,1157,8862,3455,-21712,1760,8592,2296,6342,2141,2951,4020,5532,2938,0,3766
Aktywa (tys. zl),113954,101552,102178,99732,113286,107382,106393,107886,121421,114521,111465,109440,122615,113539,111594,114785,183900,165736,120161,119142,205190,192562,187121,0,96221,92878,88929,0,70936,0
Kapital wlasny (tys. zl),81118,79428,77044,76018,78674,78763,78384,78821,79517,79410,75844,76169,76050,75950,75751,75904,117842,119899,71182,72634,106334,108165,109717,0,36534,39965,44211,0,32248,0
Liczba akcji (tys. szt.),"11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11350,000","11250,000","11350,000","11350,000","11350,000","11050,000","11250,000","11250,000","11250,000","7050,000","7050,000","7050,000","11050,000","5750,000","7050,000"
Zysk na akcje (zl),"0,202","-0,149","-0,110","-0,090","0,221","0,008","0,067","0,039","0,318","-0,009","-0,064","0,029","0,301","-0,009","-0,018","0,013","0,524","0,181","-4,292","0,095","0,550","0,145","0,334","0,171","0,243","0,470","0,526","0,114","0,000","0,338"
Wartosc ksiegowa na akcje (zl),"7,147","6,998","6,788","6,698","6,932","6,939","6,906","6,945","7,006","6,996","6,682","6,711","6,700","6,692","6,674","6,688","10,475","10,564","6,272","6,399","9,623","9,615","9,753","0,000","5,182","5,669","6,271","0,000","5,608","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
