index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),90578,71074,78661,89715,92734,63256,52871,63938,56576,55687,71215,70474,40439,35325,30141,33644,37130,28906,23241,28727,37372,24938,23787,28018,25319,23575,25133,26986,32635,27693,24395,24908,47485,42412,37768,36092,16108,17414,23646,32334,0,11158,10168,14347
Zysk (strata) z dzialal. oper. (tys. zl),-3264,-619,469,2532,1470,1935,1969,3726,4820,3158,2913,3416,2109,1894,1441,1482,697,880,1244,1024,2478,1532,1045,1256,1078,2163,1991,1883,8025,961,1992,1530,5168,-1031,-2008,-54,1182,2234,1470,2155,0,1045,1014,1569
Zysk (strata) brutto (tys. zl),-3424,355,389,2299,367,844,918,2437,2090,2564,1464,2851,996,1005,490,805,-626,386,202,274,1647,723,151,223,655,1224,1037,966,-9663,349,550,619,5196,-241,-2399,-613,1331,2009,1395,2337,0,870,916,1504
Zysk (strata) netto (tys. zl),-3081,232,115,1453,1000,584,648,1924,2263,2204,1165,2088,751,947,516,617,-597,263,217,18,1367,648,217,173,880,1016,896,915,-8730,236,534,292,3952,-493,-2488,-730,1112,1618,1182,1405,0,701,746,1159
Amortyzacja (tys. zl),690,676,711,660,438,613,638,663,496,563,610,648,424,426,446,461,322,400,390,380,237,440,438,415,516,551,488,655,591,566,517,563,746,388,515,596,50,216,369,366,0,171,164,292
EBITDA (tys. zl),-2574,57,1180,3192,1908,2548,2607,4389,5316,3721,3523,4064,2533,2320,1887,1943,1019,1280,1634,1404,2715,1972,1483,1671,1594,2714,2479,2538,8616,1527,2509,2093,5914,-643,-1493,542,1232,2450,1839,2521,0,1216,1178,1861
Aktywa (tys. zl),189928,184608,187977,193188,188145,179311,181763,179897,152473,152311,156459,169188,139347,141710,137858,139808,139926,137513,133360,0,140877,137282,136369,0,138346,134181,138393,0,145209,149630,145190,0,135048,134530,133109,128007,31730,86849,93254,106022,19751,20717,24311,0
Kapital wlasny (tys. zl),77196,75922,77850,79006,80412,80761,80823,83110,74649,81426,81751,83854,75481,76347,77050,77541,74577,74769,75063,0,73700,76282,76618,0,69138,70267,73813,0,66668,60967,69574,0,76688,76198,76801,75940,9891,12354,72214,74194,7107,7848,7951,0
Liczba akcji (tys. szt.),"8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8195,848","8188,848","8188,848","8188,848","8188,848","8032,848","8032,848","8032,848","8188,848","7582,848","7582,848","7582,848","8032,848","7573,208","7573,208","7573,208","7573,208","7573,208","7573,208","7573,208","7573,208","5000,000","5000,000","7500,000","7500,000","5000,000","5000,000","5000,000","5000,000"
Zysk na akcje (zl),"-0,376","0,028","0,014","0,177","0,122","0,071","0,079","0,235","0,276","0,269","0,142","0,255","0,092","0,116","0,063","0,075","-0,073","0,032","0,026","0,002","0,170","0,081","0,027","0,021","0,116","0,134","0,118","0,114","-1,153","0,031","0,071","0,039","0,522","-0,065","-0,329","-0,096","0,222","0,324","0,158","0,187","0,000","0,140","0,149","0,232"
Wartosc ksiegowa na akcje (zl),"9,419","9,263","9,499","9,640","9,811","9,854","9,861","10,141","9,108","9,935","9,975","10,231","9,210","9,315","9,401","9,461","9,107","9,131","9,166","0,000","9,175","9,496","9,538","0,000","9,118","9,267","9,734","0,000","8,803","8,050","9,187","0,000","10,126","10,062","10,141","10,027","1,978","2,471","9,629","9,893","1,421","1,570","1,590","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
