index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),16638,22973,50427,53048,15774,12802,15135,18049,16053,12974,18008,18530,11442,8751,10900,18533,15194,11609,13415,13044,15240
Zysk (strata) z dzialal. oper. (tys. zl),-393,-2432,4638,5855,944,198,907,354,916,259,1377,1780,348,322,320,3265,1889,677,674,568,2358
Zysk (strata) brutto (tys. zl),-580,-2519,2162,5230,484,654,448,125,985,66,1257,1496,322,122,40,3339,1804,1150,261,827,1906
Zysk (strata) netto (tys. zl),-554,-2009,1627,4216,312,526,352,133,778,142,1090,1072,321,76,67,2888,835,781,327,654,1529
Amortyzacja (tys. zl),948,1511,2356,2284,1173,1200,1190,1125,830,907,955,1096,573,589,561,721,309,496,555,551,0
EBITDA (tys. zl),555,-921,6994,8139,2117,1398,2097,1479,1746,1166,2332,2876,921,911,881,3986,2198,1173,1229,1119,2358
Aktywa (tys. zl),58813,194178,187537,190776,59168,60669,59696,59936,51399,50353,58038,60846,36388,34914,37016,47758,26982,33087,36360,38237,0
Kapital wlasny (tys. zl),24509,43788,46595,50811,23374,23900,23836,23970,20758,20900,21990,23061,17004,17081,17147,19980,10601,11382,11709,16682,0
Liczba akcji (tys. szt.),"6380,000","6380,000","14347,711","14347,711","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","6380,000","5800,000","5800,000","5800,000","6380,000","5800,000"
Zysk na akcje (zl),"-0,087","-0,315","0,113","0,294","0,049","0,082","0,055","0,021","0,122","0,022","0,171","0,168","0,050","0,012","0,011","0,453","0,144","0,135","0,056","0,103","0,264"
Wartosc ksiegowa na akcje (zl),"3,842","6,863","3,248","3,541","3,664","3,746","3,736","3,757","3,254","3,276","3,447","3,615","2,665","2,677","2,688","3,132","1,828","1,962","2,019","2,615","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
