index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),45092,28671,30815,24483,33850,25951,30597,30409,25702,21398,22652,25048,39590,19296,25306,32915,34434,22318,23842,20774,32496,17411,25066,20012,0,0,10213
Zysk (strata) z dzialal. oper. (tys. zl),6024,2611,4224,2805,-1509,4086,5204,5038,1691,2369,152,-49,8861,2532,887,1026,0,2165,0,774,0,0,0,131,0,0,0
Zysk (strata) brutto (tys. zl),5598,2088,3568,2433,-2590,3215,4536,4412,891,1443,-1233,-1364,7233,1422,213,80,2501,1050,-849,-1131,5046,-2557,1747,-823,0,0,-840
Zysk (strata) netto (tys. zl),4286,1509,2924,2014,-2690,3155,3251,3645,630,1443,-2052,-1233,7075,1448,501,424,2572,660,-655,-918,4822,-2656,1306,-1045,0,0,-866
Amortyzacja (tys. zl),3159,3132,3095,3140,3207,3369,3377,3258,2592,2674,3771,2821,2399,2512,2565,2566,2135,2265,2326,2345,0,0,0,0,0,0,0
EBITDA (tys. zl),9183,5743,7319,5945,1698,7455,8581,8296,4283,5043,3923,2772,11260,5044,3452,3592,2135,4430,2326,3119,0,0,0,131,0,0,0
Aktywa (tys. zl),212150,210890,209199,212079,214588,210781,205718,204530,215404,214657,213999,214395,194647,223268,216701,213993,201679,190625,190087,186670,172248,167219,190029,0,61417,83969,123348
Kapital wlasny (tys. zl),111034,112544,109691,111705,97571,100725,103976,107621,108299,110213,101490,100257,90050,107553,107222,107661,84320,84981,83941,82974,71994,67563,68570,0,28526,28970,65273
Liczba akcji (tys. szt.),"10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","10502,600","9732,600","9732,600","10502,600","10502,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600","9732,600"
Zysk na akcje (zl),"0,408","0,144","0,278","0,192","-0,256","0,300","0,310","0,347","0,060","0,137","-0,195","-0,117","0,727","0,149","0,048","0,040","0,264","0,068","-0,067","-0,094","0,495","-0,273","0,134","-0,107","0,000","0,000","-0,089"
Wartosc ksiegowa na akcje (zl),"10,572","10,716","10,444","10,636","9,290","9,591","9,900","10,247","10,312","10,494","9,663","9,546","9,252","11,051","10,209","10,251","8,664","8,732","8,625","8,525","7,397","6,942","7,045","0,000","2,931","2,977","6,707"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
