index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. euro),15793,11857,17103,17798,17943,10967,16979,18160,29756,15463,21242,19200,19335,13090,22725,20740,17955,13850,19408,21014,-16828,11420,17765,17786,23039,20351,26768,28099,23468,14715,23063,24441,23502,18240,26054,26576,17635,14521,20914,22260,8373,8595,15096,17473,0,0,12147
Zysk (strata) z dzialal. oper. (tys. euro),3114,-455,10664,4366,-9685,-530,-18645,6155,27218,-524,-585,5922,2236,95,5602,3002,-157,-1514,4395,2806,-4644,-330,6028,3718,4948,2910,10507,5893,-19627,-7316,-75315,6212,30585,6888,5927,3426,6379,1852,7087,7664,38009,-650,11891,5181,0,0,3370
Zysk (strata) brutto (tys. euro),-9992,-283,14360,-5752,-25060,-4423,-18160,-9185,21636,-8518,-3326,-192,10033,-3966,-2349,-2494,9493,180,725,-1518,-6383,-3249,103,730,9471,-2612,4579,1380,-27466,-9928,-93142,1544,23525,-2590,2171,-1528,8279,-576,5950,4677,37742,-937,10866,3344,0,0,-2016
Zysk (strata) netto (tys. euro),-10960,-1045,8173,-1654,-3746,-6316,-9541,2325,8353,-8768,-1747,-719,8939,-4268,-1338,19,9287,503,-220,-1270,-5476,-2787,-468,446,8038,-726,4413,1259,-28208,-10180,-78832,-109,22448,-1958,2094,-1073,8507,67,5412,5946,36313,-828,10026,3210,0,0,-1300
Amortyzacja (tys. euro),9898,1287,-5206,454,13162,2158,22921,4208,-21186,2462,6329,43,-4680,2035,-79,1522,3546,2913,2365,2762,0,2908,3070,4151,66681,4879,5021,4397,16774,3476,77281,6357,2700,2954,3234,3052,2024,2164,2348,2556,0,1876,1917,2183,0,0,0
EBITDA (tys. euro),13012,832,5458,4820,3477,1628,4276,10363,6032,1938,5744,5965,-2444,2130,5523,4524,3389,1399,6760,5568,-4644,2578,9098,7869,71629,7789,15528,10290,-2853,-3840,1966,12569,33285,9842,9161,6478,8403,4016,9435,10220,38009,1226,13808,7364,0,0,3370
Aktywa (tys. euro),350235,344729,361669,357279,493404,456079,438971,406524,506052,492535,485209,498601,418256,415798,515880,501828,412285,416217,416812,416003,394806,390392,398051,0,610873,605345,618994,0,642190,649495,588246,0,508360,562673,584395,0,385001,409669,0,0,264749,259593,0,0,154936,195480,0
Kapital wlasny (tys. euro),53765,51523,58936,57152,72143,66527,52505,59966,90151,83515,82631,84190,91526,87276,81055,82282,79382,79525,79681,78649,73768,70663,70370,0,62102,60605,90041,0,141050,125059,45003,0,177040,178942,172810,0,86747,147334,0,0,67885,67059,0,0,36237,32112,0
Liczba akcji (tys. szt.),"54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","54000,000","39599,999","39599,999","54000,000","54000,000","36000,000","36000,000","36000,000","36000,000","36000,000","36000,000","36000,000","36000,000","30000,000","36000,000","36000,000","36000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000"
Zysk na akcje (euro),"-0,203","-0,019","0,151","-0,031","-0,069","-0,117","-0,177","0,043","0,155","-0,162","-0,032","-0,013","0,166","-0,079","-0,025","0,000","0,172","0,009","-0,004","-0,024","-0,101","-0,052","-0,009","0,008","0,203","-0,018","0,082","0,023","-0,784","-0,283","-2,190","-0,003","0,624","-0,054","0,058","-0,030","0,284","0,002","0,150","0,165","1,210","-0,028","0,334","0,107","0,000","0,000","-0,043"
Wartosc ksiegowa na akcje (euro),"0,996","0,954","1,091","1,058","1,336","1,232","0,972","1,110","1,669","1,547","1,530","1,559","1,695","1,616","1,501","1,524","1,470","1,473","1,476","1,456","1,366","1,309","1,303","0,000","1,568","1,530","1,667","0,000","3,918","3,474","1,250","0,000","4,918","4,971","4,800","0,000","2,892","4,093","0,000","0,000","2,263","2,235","0,000","0,000","1,208","1,070","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
