index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),124844,44646,48379,46406,110302,115816,90867,120614,110006,85125,88427,88669,118438,77678,78329,105860,88721,40205,62181,66302,104616,46682,66134,71039,112668,40978,60382,88441,109459,28376,63264,39749,155217,53615,162773,80707,72301,64666,124654,55976,142840,26147,70008
Zysk (strata) z dzialal. oper. (tys. zl),10173,-743,-2295,629,8682,13410,1113,8926,3299,4686,2500,3071,6827,4057,7353,4049,12048,163,1585,3376,4645,3798,4924,239,3368,-930,1920,2921,9678,-1898,2730,-3863,26893,1700,3682,4766,8810,2650,514,5575,12754,-451,64319
Zysk (strata) brutto (tys. zl),9906,-315,-1412,1033,8463,13338,797,9151,-173,4369,2154,2843,7158,4533,6813,2436,11282,723,1561,2683,3534,4506,4084,1088,3647,-82,2383,3975,7060,-2560,3655,-2290,28019,2482,4416,4172,8896,2679,835,6378,13588,32,64286
Zysk (strata) netto (tys. zl),7455,-547,-1734,562,5663,9935,370,6967,-2296,3672,1406,1941,5033,3190,4993,1498,8485,516,1155,1886,2993,3562,2995,1291,2271,57,1284,3033,5704,-2614,2855,-1530,22252,1918,3028,3189,8054,1782,406,5433,11566,-54,964
Amortyzacja (tys. zl),3916,3512,3567,3576,3691,3409,3639,4624,3383,3084,3953,3258,3776,3756,3448,3688,3930,2652,2429,2110,4220,2840,2979,2791,3166,3021,3058,3289,2261,2369,2553,2872,1928,1619,2090,2154,1573,1581,1967,1869,1758,1378,1356
EBITDA (tys. zl),14089,2769,1272,4205,12373,16819,4752,13550,6682,7770,6453,6329,10603,7813,10801,7737,15978,2815,4014,5486,8865,6638,7903,3030,6534,2091,4978,6210,11939,471,5283,-991,28821,3319,5772,6920,10383,4231,2481,7444,14512,927,65675
Aktywa (tys. zl),304262,277864,279177,269991,328481,385151,344366,325040,340164,353660,367333,367625,364752,328970,355218,333349,0,248591,244358,325425,269192,243291,237359,0,247187,200926,0,0,232516,205366,223949,0,288833,218628,367168,0,172065,191840,289590,0,231753,135413,141797
Kapital wlasny (tys. zl),216924,216388,208274,208837,192381,202392,200614,208788,180960,184633,185126,187068,177223,180414,182001,183257,0,172310,170304,172190,159694,163014,162443,0,152287,152427,0,0,154844,152230,152408,0,150122,152041,145950,0,119656,125699,122457,0,97831,98227,93447
Liczba akcji (tys. szt.),"91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","91187,500","4000,000","4000,000","4000,000"
Zysk na akcje (zl),"0,082","-0,006","-0,019","0,006","0,062","0,109","0,004","0,076","-0,025","0,040","0,015","0,021","0,055","0,035","0,055","0,016","0,093","0,006","0,013","0,021","0,033","0,039","0,033","0,014","0,025","0,001","0,014","0,033","0,063","-0,029","0,031","-0,017","0,244","0,021","0,033","0,035","0,088","0,020","0,004","0,060","2,892","-0,014","0,241"
Wartosc ksiegowa na akcje (zl),"2,379","2,373","2,284","2,290","2,110","2,220","2,200","2,290","1,984","2,025","2,030","2,051","1,944","1,978","1,996","2,010","0,000","1,890","1,868","1,888","1,751","1,788","1,781","0,000","1,670","1,672","0,000","0,000","1,698","1,669","1,671","0,000","1,646","1,667","1,601","0,000","1,312","1,378","1,343","0,000","24,458","24,557","23,362"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
