index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006,III Q 2006,II Q 2003,III Q 2003,IV Q 2003,I Q 2004,II Q 2002,III Q 2002,IV Q 2002,I Q 2003,II Q 2001,III Q 2001,IV Q 2001,I Q 2002,IV Q 1999,II Q 2000,IV Q 2000,I Q 2001, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),71190,68258,68439,67606,61567,60411,63678,59896,69695,65300,61170,58501,55908,64488,69871,67476,64503,63557,62807,63687,66316,58787,67577,45519,79956,76006,77249,43132,76076,75341,80896,79230,125471,120719,109497,83120,139978,143926,141442,134978,0,0,0,151729,148768,144623,151301,163728,94953,108272,143536,146751,106303,105165,66863,102552,0,0,0,116402,163728
Zysk (strata) z dzialal. oper. (tys. zl),4230,3096,6257,5408,3424,2913,2971,1630,3580,3028,2773,1888,-7743,1701,2287,4525,-998,-895,163,1273,-15797,-8527,7795,-561,-3276,-1099,-2975,-2101,12930,-5289,-1908,-2055,-20851,-8551,-14201,-11575,-8689,5688,4973,2083,0,0,0,712,14578,12920,3304,13189,3740,6892,-533,12724,-246,3131,-2772,6866,0,0,0,5886,13189
Zysk (strata) brutto (tys. zl),4405,2886,6102,4908,545,2740,2585,1442,4953,2633,2998,2834,-7624,791,1176,6055,-6774,-1230,-1142,-369,-17743,-10110,7738,-9902,-10064,-2739,-4660,-15444,-75191,-7860,-6222,-153,-22087,-10736,-13095,-40633,-10779,2701,2418,384,0,0,0,-489,13217,11748,6140,14788,-202,8341,-1244,14913,895,3176,-3833,9776,0,0,0,8612,14788
Zysk (strata) netto (tys. zl),4536,2390,4866,3714,-334,2456,1953,1374,4532,2102,2493,2462,-10078,826,564,5290,-5085,-1167,-1343,-523,-16128,-7081,4571,-8853,-7834,-1253,-3705,-15490,-68886,-6217,-7232,-514,-19340,-10399,-11579,-33496,-12915,2274,905,-1541,0,0,0,-1380,9547,9063,2942,11485,1128,7075,-2656,11607,1265,3865,-4331,7659,0,0,0,6910,11485
Amortyzacja (tys. zl),3479,3702,3328,3609,3194,3063,3768,3533,3463,3451,3298,3203,3603,4319,3623,3564,10345,4628,5641,3768,12719,12871,-2602,11271,8636,8079,7777,3334,2943,8271,8647,8733,10549,11022,13936,8940,11333,10366,10794,10678,0,0,0,11775,8941,7506,10200,8224,9788,5816,15336,9095,8736,8288,11221,7651,0,0,0,6883,3748
EBITDA (tys. zl),7709,6798,9585,9017,6618,5976,6739,5163,7043,6479,6071,5091,-4140,6020,5910,8089,9347,3733,5804,5041,-3078,4344,5193,10710,5360,6980,4802,1233,15873,2982,6739,6678,-10302,2471,-265,-2635,2644,16054,15767,12761,0,0,0,12487,23519,20426,13504,21413,13528,12708,14803,21819,8490,11419,8449,14517,0,0,0,12769,16937
Aktywa (tys. zl),206886,209272,210303,215973,204588,211858,207866,207677,203779,211230,208509,209310,209185,216920,211910,209791,232888,235533,228037,225609,282941,274441,249440,0,410655,390307,384565,0,468583,462964,448433,0,633248,648231,619401,0,677637,696531,0,0,629676,718866,0,0,430301,436429,429121,459876,331612,425488,415347,431911,316830,311626,305598,307568,170476,166432,176049,320241,459876
Kapital wlasny (tys. zl),100502,103611,108477,112191,89216,91672,93593,95061,81879,83982,83869,86358,74173,74883,71618,77307,91685,89754,88512,83781,117192,110043,99631,0,146366,145692,140158,0,165963,163430,154935,0,308475,295381,285657,0,324480,331955,0,0,348508,342671,0,0,132209,140978,143182,154804,111387,117354,112676,122341,95993,99858,100296,111390,78807,83640,93405,94071,154804
Liczba akcji (tys. szt.),"1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000","1000,000"
Zysk na akcje (zl),"4,536","2,390","4,866","3,714","-0,334","2,456","1,953","1,374","4,532","2,102","2,493","2,462","-10,078","0,826","0,564","5,290","-5,085","-1,167","-1,343","-0,523","-16,128","-7,081","4,571","-8,853","-7,834","-1,253","-3,705","-15,490","-68,886","-6,217","-7,232","-0,514","-19,340","-10,399","-11,579","-33,496","-12,915","2,274","0,905","-1,541","0,000","0,000","0,000","-1,380","9,547","9,063","2,942","11,485","1,128","7,075","-2,656","11,607","1,265","3,865","-4,331","7,659","0,000","0,000","0,000","6,910","11,485"
