index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2012,IV Q 2013,II Q 2014,III Q 2014,IV Q 2009,I Q 2010,IV Q 2010,I Q 2011, Q 0000,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),53524,30277,32337,39317,48252,26266,28982,42874,0,0,0,38962,0,10843,0,12966,0,0
Zysk (strata) z dzialal. oper. (tys. zl),14507,3259,3646,4624,14403,2650,4900,8810,0,0,0,8724,0,-977,0,-4600,0,0
Zysk (strata) brutto (tys. zl),14391,2256,5542,3891,13311,2380,4965,8468,0,0,0,7821,0,-1511,0,-6109,0,0
Zysk (strata) netto (tys. zl),12260,1854,4828,2764,12579,1995,6358,6498,0,0,0,5975,0,-1511,0,-6109,0,0
Amortyzacja (tys. zl),1168,1357,1122,1116,860,982,1025,1094,0,0,0,1088,0,999,0,1792,0,0
EBITDA (tys. zl),15675,4616,4768,5740,15263,3632,5925,9904,0,0,0,9812,0,22,0,-2808,0,0
Aktywa (tys. zl),187550,183694,184798,163047,152397,121063,137167,145757,111132,113491,120848,134612,69240,70785,119231,110352,0,82900
Kapital wlasny (tys. zl),102926,104937,97960,100893,54447,59453,58086,64584,3543,27691,36582,42558,27090,25641,31244,25171,0,21676
Liczba akcji (tys. szt.),"18100,000","18100,000","18100,000","18100,000","144647,140","16500,000","16500,000","16500,000","104005,000","144647,140","144647,140","144647,140","104005,000","104005,000","104005,000","104005,000",,"104005,000"
Zysk na akcje (zl),"0,677","0,102","0,267","0,153","0,087","0,121","0,385","0,394","0,000","0,000","0,000","0,041","0,000","-0,015","0,000","-0,059",,"0,000"
Wartosc ksiegowa na akcje (zl),"5,687","5,798","5,412","5,574","0,376","3,603","3,520","3,914","0,034","0,191","0,253","0,294","0,260","0,247","0,300","0,242",,"0,208"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
