index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),610831,591983,611185,616004,515598,474541,502574,548771,269424,345870,389986,488302,187296,188681,221430,238857,174867,170642,182814,186695,142819,139339,145252,158463,0,0,134807
Zysk (strata) z dzialal. oper. (tys. zl),33338,16677,15496,22847,35642,16315,16575,25296,19150,16217,16171,21113,14083,9089,8528,11220,10955,7660,8415,8909,9339,5617,6245,8295,0,0,7463
Zysk (strata) brutto (tys. zl),26465,9037,8565,14636,24557,14947,5519,18692,15873,15865,7559,14579,12334,6611,4251,6159,10138,4588,4840,3076,6231,3354,3193,5893,0,0,4110
Zysk (strata) netto (tys. zl),9481,1699,1353,5715,16323,9962,38,8135,13792,11481,3166,5279,11029,5726,2496,4449,10509,3883,3423,2022,7236,2479,3243,5407,0,0,3496
Amortyzacja (tys. zl),4076,3711,4197,3885,3130,2720,2895,3000,1304,1747,2135,2521,1160,1104,1096,1310,869,898,1063,1114,763,747,854,810,0,0,593
EBITDA (tys. zl),37414,20388,19693,26732,38772,19035,19470,28296,20454,17964,18306,23634,15243,10193,9624,12530,11824,8558,9478,10023,10102,6364,7099,9105,0,0,8056
Aktywa (tys. zl),1120510,1084286,1124091,1144714,874810,901679,924150,1019547,470373,710188,744139,859972,355383,429889,412187,439942,268647,302063,343240,0,249168,0,261550,0,281648,207844,0
Kapital wlasny (tys. zl),285632,287346,300808,302883,307071,302243,307964,314822,224100,231796,233807,235149,112862,218051,214661,216735,76768,104386,101612,0,79997,0,82030,0,128026,56694,0
Liczba akcji (tys. szt.),"65094,823","65094,823","65094,823","65094,823","65039,507","65039,507","65039,507","65094,823","47947,996","47947,996","47947,996","60039,507","47947,996","47947,996","47947,996","47947,996","58337,906","58337,906","47947,996","47947,996","58337,906","58337,906","58337,906","58337,906","58337,906","58337,906","58337,906"
Zysk na akcje (zl),"0,146","0,026","0,021","0,088","0,251","0,153","0,001","0,125","0,288","0,239","0,066","0,088","0,230","0,119","0,052","0,093","0,180","0,067","0,071","0,042","0,124","0,042","0,056","0,093","0,000","0,000","0,060"
Wartosc ksiegowa na akcje (zl),"4,388","4,414","4,621","4,653","4,721","4,647","4,735","4,836","4,674","4,834","4,876","3,917","2,354","4,548","4,477","4,520","1,316","1,789","2,119","0,000","1,371","0,000","1,406","0,000","2,195","0,972","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
