index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),51768,70132,73760,57790,57576,54567,51985,47614,56571,45480,56393,57751,39403,39499,45049,45664,48489,47962,43685,38535,29184,25166,40585,43942,0,0,20230
Zysk (strata) z dzialal. oper. (tys. zl),-445,2744,4268,-20443,5620,5010,7345,4425,9296,9137,9160,6963,5479,8514,9723,7772,6197,10489,9594,7204,-2091,1263,9032,11368,0,0,1880
Zysk (strata) brutto (tys. zl),-1145,1714,2513,-19375,4073,6777,7600,4055,9506,9499,8601,6960,6639,7875,9494,10097,15457,9773,10769,9778,-2638,762,8995,7201,0,0,2396
Zysk (strata) netto (tys. zl),-1117,1256,1659,-16088,3165,5492,5988,3590,7771,9078,7150,5660,5946,6442,7609,8110,10787,7729,8495,7466,-2266,611,7342,5683,0,0,1700
Amortyzacja (tys. zl),2833,3347,3362,3236,2644,2800,3003,2502,1653,2794,2411,2496,1486,1490,1514,1612,1539,1522,1517,1498,1549,1533,1534,1533,0,0,0
EBITDA (tys. zl),2388,6091,7630,-17207,8264,7810,10348,6927,10949,11931,11571,9459,6965,10004,11237,9384,7736,12011,11111,8702,-542,2796,10566,12901,0,0,1880
Aktywa (tys. zl),265816,387377,381376,361839,264323,290488,278703,259904,218889,270637,254627,258219,176524,184765,195313,200388,203889,205903,198787,0,199800,0,208655,0,97485,87080,0
Kapital wlasny (tys. zl),154272,155812,186107,170009,140217,146702,151828,155438,115793,121633,131150,136913,116453,122899,99545,108046,123205,130933,122153,0,98781,0,106734,0,41814,52361,0
Liczba akcji (tys. szt.),"96300,000","105920,000","105920,000","105920,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000","96300,000"
Zysk na akcje (zl),"-0,012","0,012","0,016","-0,152","0,033","0,057","0,062","0,037","0,081","0,094","0,074","0,059","0,062","0,067","0,079","0,084","0,112","0,080","0,088","0,078","-0,024","0,006","0,076","0,059","0,000","0,000","0,018"
Wartosc ksiegowa na akcje (zl),"1,602","1,471","1,757","1,605","1,456","1,523","1,577","1,614","1,202","1,263","1,362","1,422","1,209","1,276","1,034","1,122","1,279","1,360","1,268","0,000","1,026","0,000","1,108","0,000","0,434","0,544","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
