index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2009,IV Q 2010,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),693032,680042,687478,686020,708674,755194,752328,747262,747003,667672,677085,626680,735314,663198,664129,689510,646564,643851,631380,712849,0,0,647623
Zysk (strata) z dzialal. oper. (tys. zl),-1849677,114386,104594,92747,28114,37836,-4179,20198,45549,80559,49470,-10713,128429,95423,91980,125595,35318,138636,99775,116737,0,0,134739
Zysk (strata) brutto (tys. zl),-1859717,102641,75336,84493,8054,41754,-22440,7168,45533,67476,44285,-21830,106604,68255,54586,131382,31530,194125,72889,123123,0,0,56611
Zysk (strata) netto (tys. zl),-1902265,73951,64453,77804,15055,34915,-19812,6076,18649,52442,34351,-19871,88280,54583,42590,101125,27204,157410,58786,102019,0,0,41094
Amortyzacja (tys. zl),106671,57734,45701,48425,83429,91994,91349,90921,90098,88476,90981,90063,90292,88912,86692,90153,99974,69341,53195,65529,0,0,33368
EBITDA (tys. zl),-1743006,172120,150295,141172,111543,129830,87170,111119,135647,169035,140451,79350,218721,184335,178672,215748,135292,207977,152970,182266,0,0,168107
Aktywa (tys. zl),4974381,4954545,4678077,4702469,6867688,6891853,6764225,6820538,6470936,6427158,6561114,6812100,6259184,6267290,6278517,6302052,5326437,0,5368682,6362800,5184277,5163602,0
Kapital wlasny (tys. zl),1884823,1959949,2025706,2106053,3819717,3855281,3776495,3782867,3782616,3834687,3836307,3816203,3541835,3590917,3641654,3753883,3229483,0,3440096,3545895,2588581,2932709,0
Liczba akcji (tys. szt.),"50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","50823,547","52026,000","52026,000","50823,547","50823,547","52026,000","52026,000","52026,000","52026,000","52026,000","52026,000","52026,000"
Zysk na akcje (zl),"-37,429","1,455","1,268","1,531","0,296","0,687","-0,390","0,120","0,367","1,032","0,676","-0,391","1,697","1,049","0,838","1,990","0,523","3,026","1,130","1,961","0,000","0,000","0,790"
Wartosc ksiegowa na akcje (zl),"37,086","38,564","39,858","41,439","75,156","75,856","74,306","74,431","74,426","75,451","75,483","75,087","68,078","69,022","71,653","73,861","62,074","0,000","66,123","68,156","49,756","56,370","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
