index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),22431,12141,20316,13474,28689,18116,23350,26580,28032,27347,25977,25675,43410,18927,31047,34944,34551,16229,33479,31695,32292,15259,25514,25317,10686,11539,36172,22334,10141,9423,5796,11578,8440
Zysk (strata) z dzialal. oper. (tys. zl),-4124,-4822,-878,-3952,393,-1129,1801,-570,1061,-99,1210,1034,1318,-683,1073,662,-97,-228,873,445,-2643,-2647,-1007,-2314,-697,351,377,-5111,374,989,-210,791,560
Zysk (strata) brutto (tys. zl),-4190,-4947,-913,-4380,779,-1459,1989,-628,906,-135,1146,988,1243,-844,1097,480,-726,-593,162,209,-3100,-4842,-596,-1519,-1000,-43,726,-5569,319,1301,23,751,516
Zysk (strata) netto (tys. zl),-2648,-4399,-1232,-2668,227,-1452,1005,-397,311,-22,993,775,907,-848,952,457,-506,-557,381,-302,-2003,-4776,-125,-1385,-781,-385,851,-4757,746,1031,-24,559,534
Amortyzacja (tys. zl),800,493,519,505,449,448,425,501,454,419,411,463,516,446,477,462,540,487,505,515,-233,490,538,548,570,877,966,1018,212,176,256,338,0
EBITDA (tys. zl),-3324,-4329,-359,-3447,842,-681,2226,-69,1515,320,1621,1497,1834,-237,1550,1124,443,259,1378,960,-2876,-2157,-469,-1766,-127,1228,1343,-4093,586,1165,46,1129,560
Aktywa (tys. zl),68321,58308,64494,57623,61762,60635,71500,73867,65685,64909,63348,62474,74478,66453,64674,67044,56654,52098,74477,65804,72530,47540,54816,0,51100,65652,76873,0,22520,22224,22004,0,0
Kapital wlasny (tys. zl),26035,19549,18612,15739,26580,25086,26367,26097,24518,25389,25231,26010,21386,20527,22683,23050,18634,18049,21386,19140,23553,20698,20923,0,27748,35045,36092,0,16402,17433,17409,0,0
Liczba akcji (tys. szt.),"8722,500","8722,500","8722,500","8722,500","8722,500","8722,500","8722,500","8722,500","7540,100","8722,500","8722,500","8722,500","7042,500","7042,500","7540,100","7540,100","6580,000","6580,000","6900,000","6900,000","6580,000","6580,000","6580,000","6580,000","6300,000","6300,000","6300,000","6300,000","6300,000","6300,000","6300,000","6300,000","6300,000"
Zysk na akcje (zl),"-0,304","-0,504","-0,141","-0,306","0,026","-0,166","0,115","-0,046","0,041","-0,003","0,114","0,089","0,129","-0,120","0,126","0,061","-0,077","-0,085","0,055","-0,044","-0,304","-0,726","-0,019","-0,210","-0,124","-0,061","0,135","-0,755","0,118","0,164","-0,004","0,089","0,085"
Wartosc ksiegowa na akcje (zl),"2,985","2,241","2,134","1,804","3,047","2,876","3,023","2,992","3,252","2,911","2,893","2,982","3,037","2,915","3,008","3,057","2,832","2,743","3,099","2,774","3,579","3,146","3,180","0,000","4,404","5,563","5,729","0,000","2,603","2,767","2,763","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
