date,open,high,low,close,volume
1999-05-25,818.8,818.8,791.3,793.0,5499307
1999-05-26,777.6,793.0,762.1,764.9,5270384
1999-05-27,763.4,772.4,731.2,737.9,4538571
1999-05-28,733.3,784.3,720.9,740.0,4871740
1999-06-01,746.7,769.8,736.4,746.7,4880393
1999-06-02,736.4,771.4,733.8,755.9,3927017
1999-06-03,757.0,775.0,757.0,761.6,9584039
1999-06-04,760.6,764.7,747.7,763.7,3870525
1999-06-07,762.1,790.4,762.1,788.6,8649640
1999-06-08,798.2,836.8,798.2,811.0,7421156
1999-06-09,807.2,829.3,807.2,825.2,7822224
1999-06-10,829.3,845.8,825.3,837.3,11778328
1999-06-11,845.5,856.1,845.5,848.6,9553706
1999-06-14,843.2,845.8,832.9,839.6,11868354
1999-06-15,841.4,842.7,829.0,831.6,10839206
1999-06-16,831.6,841.9,824.4,827.3,12827299
1999-06-17,822.6,822.6,785.3,802.3,10917347
1999-06-18,803.6,811.0,767.3,781.4,47813628
1999-06-21,781.4,786.6,767.3,770.9,11139578
1999-06-22,762.1,763.7,751.3,754.7,6599757
1999-06-23,746.2,746.4,715.3,718.3,7672242
1999-06-24,724.8,742.8,724.8,735.1,2082947
1999-06-25,741.5,757.0,738.9,745.4,2576678
1999-06-28,748.2,769.1,740.2,744.9,1383142
1999-06-29,745.8,753.1,745.8,749.2,4721746
1999-06-30,749.2,777.8,749.2,774.2,5523155
1999-07-01,780.1,804.9,780.1,802.0,4691960
1999-07-02,808.5,813.6,775.0,803.3,1580132
1999-07-05,799.5,820.0,799.5,819.5,2366953
1999-07-06,818.2,836.8,813.6,834.7,5868682
1999-07-07,830.3,830.3,817.5,823.4,2239249
1999-07-08,813.1,835.5,813.1,823.9,5944935
1999-07-09,821.8,836.3,821.6,829.3,3606052
1999-07-12,826.0,836.8,825.5,829.0,10854807
1999-07-13,824.4,828.3,820.0,825.5,3207419
1999-07-14,825.2,847.1,822.0,827.8,1086533
1999-07-15,823.9,829.0,821.3,826.7,3679039
1999-07-16,822.6,823.9,820.8,822.6,3244406
1999-07-19,816.2,825.7,816.2,821.8,993645
1999-07-20,817.5,822.6,813.6,817.2,2098654
1999-07-21,805.9,811.0,799.5,800.7,4870559
1999-07-22,798.2,811.0,772.4,809.5,1733012
1999-07-23,811.0,814.9,797.6,810.3,5429940
1999-07-26,808.5,819.5,807.9,817.7,2998793
1999-07-27,817.7,822.9,812.3,822.4,2129155
