date,open,high,low,close,volume
1990-01-02,209.0,209.0,209.0,209.0,458000
1990-01-03,208.0,208.0,208.0,208.0,202000
1990-01-04,209.5,209.5,209.5,209.5,1814000
1990-01-05,210.0,210.0,210.0,210.0,1026000
1990-01-09,211.0,211.0,211.0,211.0,980000
1990-01-10,209.5,209.5,209.5,209.5,194000
1990-01-11,211.5,211.5,211.5,211.5,666000
1990-01-12,207.5,207.5,207.5,207.5,586000
1990-01-15,205.0,205.0,205.0,205.0,128000
1990-01-16,204.5,204.5,204.5,204.5,494000
1990-01-17,205.5,205.5,205.5,205.5,108000
1990-01-18,204.5,204.5,204.5,204.5,1190000
1990-01-19,205.0,205.0,205.0,205.0,872000
1990-01-22,200.5,200.5,200.5,200.5,2000000
1990-01-23,201.5,201.5,201.5,201.5,1902000
1990-01-24,199.5,199.5,199.5,199.5,1230000
1990-01-25,200.0,200.0,200.0,200.0,218000
1990-01-26,199.5,199.5,199.5,199.5,2200000
1990-01-29,197.5,197.5,197.5,197.5,1670000
1990-01-30,199.0,199.0,199.0,199.0,386000
1990-01-31,197.5,197.5,197.5,197.5,750000
1990-02-01,199.5,199.5,199.5,199.5,1080000
1990-02-02,200.0,200.0,200.0,200.0,980000
1990-02-06,198.5,198.5,198.5,198.5,672000
1990-02-07,199.0,199.0,199.0,199.0,184000
1990-02-08,200.0,200.0,200.0,200.0,648000
1990-02-09,199.0,199.0,199.0,199.0,298000
1990-02-12,198.5,198.5,198.5,198.5,366000
1990-02-13,198.5,198.5,198.5,198.5,524000
1990-02-14,199.0,199.0,199.0,199.0,568000
1990-02-15,200.0,200.0,200.0,200.0,282000
1990-02-16,194.5,194.5,194.5,194.5,58000
1990-02-19,198.0,198.0,198.0,198.0,1366000
1990-02-20,198.5,198.5,198.5,198.5,110000
1990-02-21,197.5,197.5,197.5,197.5,730000
1990-02-22,197.5,197.5,197.5,197.5,260000
1990-02-23,196.5,196.5,196.5,196.5,358000
1990-02-26,199.5,199.5,199.5,199.5,652000
1990-02-27,198.5,198.5,198.5,198.5,1568000
1990-02-28,198.5,198.5,198.5,198.5,412000
1990-03-01,198.5,198.5,198.5,198.5,212000
1990-03-02,198.0,198.0,198.0,198.0,482000
1990-03-05,196.0,196.0,196.0,196.0,336000
1990-03-06,192.0,192.0,192.0,192.0,354000
1990-03-07,192.5,192.5,192.5,192.5,46000
1990-03-08,193.0,193.0,193.0,193.0,124000
1990-03-09,200.0,200.0,200.0,200.0,700000
1990-03-12,196.0,196.0,196.0,196.0,542000
1990-03-13,196.5,196.5,196.5,196.5,412000
1990-03-14,196.0,196.0,196.0,196.0,578000
1990-03-15,197.5,197.5,197.5,197.5,144000
1990-03-16,199.0,199.0,199.0,199.0,886000
1990-03-19,196.0,196.0,196.0,196.0,220000
1990-03-20,197.0,197.0,197.0,197.0,342000
1990-03-21,195.0,195.0,195.0,195.0,124000
1990-03-22,196.0,196.0,196.0,196.0,304000
1990-03-23,195.5,195.5,195.5,195.5,768000
1990-03-26,194.0,194.0,194.0,194.0,1560000
1990-03-27,194.5,194.5,194.5,194.5,18000
1990-03-28,195.0,195.0,195.0,195.0,30000
1990-03-29,191.0,191.0,191.0,191.0,164000
1990-03-30,195.2,195.2,195.2,195.2,850000
1990-04-02,192.5,192.5,192.5,192.5,446000
1990-04-03,194.0,194.0,194.0,194.0,348000
1990-04-04,194.5,194.5,194.5,194.5,174000
1990-04-05,194.0,194.0,194.0,194.0,616000
1990-04-06,192.5,192.5,192.5,192.5,498000
1990-04-09,194.5,194.5,194.5,194.5,32000
1990-04-10,194.0,194.0,194.0,194.0,122000
1990-04-11,194.5,194.5,194.5,194.5,16000
1990-04-12,195.0,195.0,195.0,195.0,178000
1990-04-17,194.0,194.0,194.0,194.0,388000
1990-04-18,194.0,194.0,194.0,194.0,146000
1990-04-19,193.0,193.0,193.0,193.0,136000
1990-04-20,192.0,192.0,192.0,192.0,174000
1990-04-23,192.0,192.0,192.0,192.0,102000
1990-04-24,192.5,192.5,192.5,192.5,28000
1990-04-25,195.0,195.0,195.0,195.0,520000
1990-04-26,194.5,194.5,194.5,194.5,338000
1990-04-27,194.0,194.0,194.0,194.0,1214000
1990-04-30,193.5,193.5,193.5,193.5,100000
1990-05-01,192.0,192.0,192.0,192.0,1398000
1990-05-02,192.5,192.5,192.5,192.5,1280000
1990-05-03,189.0,189.0,189.0,189.0,544000
1990-05-04,188.0,188.0,188.0,188.0,868000
1990-05-08,189.0,189.0,189.0,189.0,432000
1990-05-09,188.0,188.0,188.0,188.0,452000
1990-05-10,186.3,186.3,186.3,186.3,212000
1990-05-11,187.5,187.5,187.5,187.5,1526000
1990-05-14,189.5,189.5,189.5,189.5,562000
1990-05-15,189.0,189.0,189.0,189.0,236000
1990-05-16,189.5,189.5,189.5,189.5,122000
1990-05-17,193.0,193.0,193.0,193.0,138000
1990-05-18,194.0,194.0,194.0,194.0,292000
1990-05-21,195.0,195.0,195.0,195.0,530000
1990-05-22,198.0,198.0,198.0,198.0,1340000
1990-05-23,197.5,197.5,197.5,197.5,278000
1990-05-24,196.5,196.5,196.5,196.5,410000
1990-05-25,197.0,197.0,197.0,197.0,498000
1990-05-29,199.5,199.5,199.5,199.5,1048000
1990-05-30,201.0,201.0,201.0,201.0,1148000
1990-05-31,200.5,200.5,200.5,200.5,1130000
1990-06-01,200.0,200.0,200.0,200.0,1012000
1990-06-04,199.0,199.0,199.0,199.0,136000
1990-06-05,202.5,202.5,202.5,202.5,1276000
1990-06-06,204.5,204.5,204.5,204.5,276000
1990-06-07,208.5,208.5,208.5,208.5,466000
1990-06-08,209.0,209.0,209.0,209.0,864000
1990-06-11,206.0,206.0,206.0,206.0,10000
1990-06-12,208.0,208.0,208.0,208.0,910000
1990-06-13,211.5,211.5,211.5,211.5,1420000
1990-06-14,210.5,210.5,210.5,210.5,980000
1990-06-15,209.0,209.0,209.0,209.0,432000
1990-06-18,205.5,205.5,205.5,205.5,244000
1990-06-19,203.5,203.5,203.5,203.5,160000
1990-06-20,204.5,204.5,204.5,204.5,118000
1990-06-21,205.5,205.5,205.5,205.5,72000
1990-06-22,204.0,204.0,204.0,204.0,564000
1990-06-25,204.0,204.0,204.0,204.0,38000
1990-06-26,202.5,202.5,202.5,202.5,1456000
1990-06-27,199.0,199.0,199.0,199.0,246000
1990-06-28,198.5,198.5,198.5,198.5,204000
1990-06-29,197.5,198.5,196.5,196.5,1062000
1990-07-02,199.0,199.0,196.5,197.5,75880
1990-07-03,198.0,200.0,196.5,201.5,1244746
1990-07-04,202.5,204.5,202.5,203.5,758780
1990-07-05,207.3,207.5,204.0,205.0,947318
1990-07-06,207.5,208.5,206.5,209.0,562968
1990-07-09,205.0,207.5,205.0,206.5,428498
1990-07-10,205.0,206.5,205.0,205.5,246944
1990-07-11,206.5,206.5,204.5,206.0,1276100
1990-07-12,206.0,207.5,205.0,206.5,217900
1990-07-13,205.0,207.0,205.0,205.0,737900
1990-07-16,204.5,206.5,204.0,206.0,745166
1990-07-17,207.5,209.0,207.5,208.5,1401770
1990-07-18,209.5,209.5,207.5,208.0,609944
1990-07-19,207.0,208.5,206.5,207.5,102900
1990-07-20,207.5,208.5,206.5,207.5,385686
1990-07-23,206.0,209.0,205.0,206.5,49388
1990-07-24,206.3,207.5,205.0,206.5,28714
1990-07-25,207.5,209.0,207.5,208.5,101884
1990-07-26,209.0,209.0,206.5,207.5,236128
1990-07-27,208.0,208.0,206.5,208.0,221092
1990-07-30,207.0,208.5,205.0,208.0,198012
1990-07-31,208.0,209.5,207.5,209.0,160668
1990-08-01,210.0,211.0,209.0,210.5,65458
1990-08-02,209.0,210.5,206.5,207.5,145526
1990-08-03,206.5,208.5,203.0,204.0,47242
1990-08-06,202.0,202.0,198.0,199.5,329470
1990-08-07,198.5,202.0,198.5,201.5,638268
1990-08-08,201.0,201.5,200.0,201.0,18722
1990-08-09,201.0,202.5,200.0,201.0,397736
1990-08-10,202.0,202.0,200.0,201.0,165478
1990-08-13,199.0,201.5,199.0,200.0,343580
1990-08-14,202.0,202.0,200.0,201.0,415260
1990-08-15,201.0,202.5,201.0,203.0,570948
1990-08-16,201.5,202.5,201.5,202.5,42100
1990-08-17,202.5,203.5,201.0,202.5,266038
1990-08-20,201.5,203.5,201.5,203.0,143896
1990-08-21,202.5,205.0,201.0,202.0,667904
1990-08-22,202.5,203.0,201.5,202.0,931562
1990-08-23,200.0,200.0,198.5,200.5,432416
1990-08-24,199.5,203.5,199.5,202.5,279684
1990-08-28,208.5,208.5,204.9,206.0,775176
1990-08-29,206.5,207.0,204.0,206.5,10644
1990-08-30,207.5,209.5,207.5,209.0,979856
1990-08-31,209.0,210.0,208.0,209.5,727508
1990-09-03,210.0,211.0,209.0,210.5,531174
1990-09-04,209.0,210.0,208.5,209.5,133170
1990-09-05,209.0,212.3,208.5,211.0,1137744
1990-09-06,211.5,211.5,208.5,209.0,730602
1990-09-07,207.5,207.5,200.4,202.0,2040756
1990-09-10,203.0,205.0,201.5,204.0,484582
1990-09-11,204.5,205.0,202.5,204.0,383898
1990-09-12,205.5,205.5,203.0,204.0,103802
1990-09-13,204.0,205.0,203.0,204.0,205300
1990-09-14,203.5,203.5,201.5,202.5,257548
1990-09-17,201.5,204.0,201.5,204.0,300586
1990-09-18,203.3,203.6,202.5,203.5,115654
1990-09-19,205.0,205.0,203.0,204.0,64636
1990-09-20,203.5,204.0,202.5,202.5,591636
1990-09-21,202.0,202.0,196.5,198.0,1625860
1990-09-24,198.5,200.0,197.5,198.0,513248
1990-09-25,199.0,199.0,196.5,197.5,221124
1990-09-26,198.5,202.3,198.5,202.0,1142300
1990-09-27,201.5,206.4,201.5,204.0,1936346
1990-09-28,204.0,204.0,201.0,202.0,669152
1990-10-01,203.0,205.0,203.0,204.5,647900
1990-10-02,206.0,207.5,205.0,206.5,394758
1990-10-03,204.5,207.5,204.5,207.5,512966
1990-10-04,205.5,206.5,203.5,205.0,612688
1990-10-05,201.8,210.0,201.5,203.0,611724
1990-10-08,207.4,207.5,202.5,204.0,1354960
