date,open,high,low,close,volume
2004-09-24,254.6,256.9,253.8,254.7,4133535
2004-09-27,255.4,255.6,252.4,254.3,4685552
2004-09-28,254.3,256.8,254.3,255.8,4378319
2004-09-29,255.2,257.5,255.2,255.6,2732676
2004-09-30,256.5,256.8,254.7,255.2,2866171
2004-10-01,254.4,258.3,254.4,257.8,1324800
2004-10-04,258.7,261.4,257.8,261.4,1328414
2004-10-05,261.8,261.8,258.7,260.5,654790
2004-10-06,258.9,260.0,257.8,259.6,1144741
2004-10-07,262.7,262.9,257.8,260.5,276460
2004-10-08,258.7,259.6,257.8,258.7,951267
2004-10-11,260.3,260.3,258.7,259.8,245835
2004-10-13,259.2,260.3,259.2,259.8,8772
2004-10-14,259.6,262.3,259.3,261.1,797391
2004-10-15,258.7,260.5,257.3,260.5,2999326
2004-10-18,259.4,261.4,258.9,261.4,691450
2004-10-19,260.5,261.4,260.0,260.0,63462
2004-10-20,257.8,259.6,257.8,259.6,643664
2004-10-21,260.5,261.4,259.6,260.9,1282842
2004-10-22,261.4,266.3,261.4,265.6,1111250
2004-10-25,265.5,265.5,263.1,264.9,507769
2004-10-26,263.6,263.6,262.3,263.6,1467593
2004-10-27,264.0,264.9,261.4,262.9,881920
2004-10-28,265.8,265.8,263.1,263.1,385802
2004-10-29,263.6,263.6,258.7,258.9,1365633
2004-11-01,259.6,260.0,257.8,257.8,693514
2004-11-02,258.3,260.8,257.8,258.7,1845589
2004-11-03,259.2,262.3,259.2,260.9,141294
2004-11-04,261.4,262.4,260.9,260.9,87786
2004-11-05,262.7,262.7,260.9,260.9,58279
2004-11-08,262.3,263.1,261.4,262.3,377807
2004-11-09,261.4,264.0,261.4,262.5,311918
2004-11-10,265.8,265.8,262.3,263.6,443739
2004-11-11,264.0,264.0,262.3,263.8,151383
2004-11-12,264.9,273.8,264.9,271.6,3836520
2004-11-15,269.8,272.3,269.8,270.2,3036168
2004-11-16,269.3,270.2,268.9,268.9,270033
2004-11-17,268.5,272.9,268.5,272.2,764576
2004-11-18,272.7,272.9,270.7,271.8,83144
2004-11-19,271.6,274.7,271.6,273.8,1012669
2004-11-22,274.2,274.7,272.9,273.8,128890
2004-11-23,274.4,276.9,273.8,276.0,1105976
2004-11-24,276.1,279.1,274.7,278.2,1997840
2004-11-25,279.1,280.8,276.9,275.8,601912
2004-11-26,277.3,277.3,272.9,274.7,149660
2004-11-29,274.7,277.3,273.5,276.4,1612109
2004-11-30,276.1,277.3,275.1,275.5,1466171
2004-12-01,275.3,276.4,275.3,276.0,643878
2004-12-02,277.8,277.8,276.4,275.5,163881
2004-12-03,275.1,280.1,275.1,280.0,1872436
2004-12-06,280.9,285.3,280.9,285.1,1561436
2004-12-07,285.0,285.3,281.1,284.2,1429728
2004-12-08,282.6,283.5,280.9,281.3,705119
2004-12-09,281.3,281.5,281.0,281.8,394133
2004-12-10,280.9,283.1,280.0,283.5,1517620
2004-12-13,283.5,284.6,283.5,284.6,2233700
2004-12-14,283.5,285.2,283.5,285.1,1653565
2004-12-15,285.3,288.7,285.3,287.3,1285283
2004-12-16,288.8,289.7,283.7,284.4,1828051
2004-12-17,289.4,289.7,278.4,278.4,2107283
2004-12-20,280.0,283.5,280.0,282.6,798075
2004-12-21,282.5,284.9,279.1,280.9,401533
2004-12-22,282.2,282.2,276.4,278.6,163895
2004-12-23,276.4,280.6,276.4,280.0,274846
2004-12-24,279.1,279.1,278.0,279.1,7121
2004-12-29,281.8,282.2,279.1,281.8,517685
2004-12-30,283.5,285.1,281.8,285.1,252378
2004-12-31,286.2,286.2,283.8,285.7,7805
2005-01-04,286.2,291.5,285.5,291.5,915016
2005-01-05,289.7,296.8,289.7,294.6,1546281
2005-01-06,296.6,300.1,294.6,297.3,398261
2005-01-07,299.5,303.9,296.5,303.0,952881
2005-01-10,303.9,303.9,300.1,302.1,1314438
2005-01-11,303.0,303.7,301.2,302.6,1777438
2005-01-12,301.7,301.7,279.0,293.7,3307159
2005-01-13,292.4,298.6,290.6,295.0,867984
2005-01-14,294.1,294.1,289.3,290.6,1800067
2005-01-17,288.5,297.7,288.0,297.7,5292759
2005-01-18,296.8,299.5,296.8,298.6,937783
2005-01-19,298.6,299.3,297.7,297.7,223383
2005-01-20,298.4,299.3,295.0,295.9,515555
2005-01-21,295.0,298.7,295.0,298.6,729359
2005-01-24,299.5,302.1,298.6,301.2,650741
2005-01-25,303.0,311.9,303.0,307.9,1168374
2005-01-26,307.4,311.0,307.4,308.8,180760
2005-01-27,307.0,310.1,307.0,309.9,180399
2005-01-28,309.2,310.1,306.6,310.1,117604
2005-01-31,310.1,313.0,309.2,309.9,477455
2005-02-01,310.5,310.5,306.6,308.3,443520
2005-02-02,309.0,311.9,308.8,311.4,683080
2005-02-03,311.0,311.9,308.3,310.1,219752
2005-02-04,309.2,309.7,305.0,305.5,939489
2005-02-07,306.6,307.4,305.2,307.4,235439
2005-02-08,308.8,314.3,308.3,313.6,234053
2005-02-09,313.6,314.5,311.9,313.2,867948
2005-02-10,312.8,312.8,308.8,308.8,169243
2005-02-11,309.2,311.6,306.6,306.6,1140087
2005-02-14,307.4,309.2,305.7,305.7,330099
2005-02-15,307.6,307.6,298.6,300.8,384010
2005-02-16,301.2,301.2,298.4,298.6,414626
2005-02-17,298.6,302.1,296.8,302.1,841897
2005-02-18,301.2,307.0,300.4,305.7,881486
2005-02-21,306.1,306.1,304.8,304.8,27823
2005-02-22,304.8,308.3,301.1,301.7,658317
2005-02-23,299.5,301.0,297.3,299.0,819011
2005-02-24,297.3,299.3,295.9,298.6,768268
2005-02-25,296.4,298.6,295.7,296.8,345289
2005-02-28,295.0,300.8,295.0,298.4,617630
2005-03-01,299.7,303.5,298.6,302.4,609626
2005-03-02,301.9,303.9,301.5,303.7,617425
2005-03-03,304.8,307.4,303.7,307.2,147021
2005-03-04,307.4,310.1,303.9,308.3,440179
2005-03-07,308.3,310.1,307.7,309.4,470240
2005-03-08,309.2,309.2,303.9,305.7,858664
2005-03-09,304.8,309.4,304.8,307.4,600518
2005-03-10,307.4,308.5,307.4,307.7,118984
2005-03-11,310.1,310.1,306.8,307.4,274663
2005-03-14,306.6,310.1,306.6,310.1,34106
