date,open,high,low,close,volume
2012-12-14,59.5,61.8,59.5,60.9,3035630
2012-12-17,60.05,61.5,60.05,61.25,206878
2012-12-18,61.8,62.4,61.5,62.25,390101
2012-12-19,62.4,62.55,62.25,62.45,157317
2012-12-20,62.0,62.6,61.9,62.25,75807
2012-12-21,62.3,62.4,62.0,62.25,124552
2012-12-27,62.2,63.55,62.05,63.25,88000
2012-12-28,63.2,63.5,62.25,62.65,24568
2013-01-02,62.65,63.4,62.65,63.35,41174
2013-01-03,63.5,65.0,63.3,64.9,92190
2013-01-04,64.9,65.6,64.9,65.55,31413
2013-01-07,65.55,66.0,65.55,65.9,76905
2013-01-08,65.9,66.05,61.0,64.0,80096
2013-01-09,64.0,64.5,62.65,64.5,36619
2013-01-10,64.6,65.0,63.3,64.45,62472
2013-01-11,64.0,64.1,63.05,64.1,22522
2013-01-14,64.35,64.35,63.05,63.1,161045
2013-01-15,63.0,63.0,62.0,62.5,150706
2013-01-16,62.0,63.5,61.2,63.0,155670
2013-01-17,62.6,64.45,62.6,64.2,105254
2013-01-18,64.2,65.75,64.2,65.4,71475
2013-01-21,66.6,69.5,66.6,69.5,219650
2013-01-22,70.5,77.5,70.4,72.8,407757
2013-01-23,75.0,76.0,73.5,74.85,744541
2013-01-24,74.8,74.8,73.2,74.0,131633
2013-01-25,74.0,75.5,73.5,74.5,83268
2013-01-28,74.5,75.9,74.5,75.5,233551
2013-01-29,75.7,75.8,75.1,75.4,98357
2013-01-30,75.05,75.6,73.5,73.65,138349
2013-01-31,73.5,73.85,70.5,71.7,274154
2013-02-01,71.9,72.8,71.2,72.25,194468
2013-02-04,74.25,74.25,72.55,73.1,110558
2013-02-05,74.0,74.25,73.35,73.5,196439
2013-02-06,73.8,73.95,72.5,72.75,183396
2013-02-07,72.75,72.95,71.45,72.4,84926
2013-02-08,72.0,73.0,72.0,72.95,28963
2013-02-11,72.9,73.3,72.6,73.0,26499
2013-02-12,73.5,73.5,72.6,72.8,34485
2013-02-13,72.85,73.4,72.5,72.7,48852
2013-02-14,72.5,73.5,72.4,73.5,7413
2013-02-15,73.0,73.15,70.1,73.0,15209
2013-02-18,72.8,72.8,70.7,70.8,124622
2013-02-19,70.5,71.3,68.7,70.0,257720
2013-02-20,70.1,71.4,70.1,71.15,25460
2013-02-21,70.8,70.8,69.55,70.0,13622
2013-02-22,70.0,70.5,69.1,70.0,15625
2013-02-25,70.1,71.5,70.0,71.0,24918
2013-02-26,70.0,70.95,69.65,70.5,51883
2013-02-27,70.6,71.5,70.0,70.0,75653
2013-02-28,71.35,71.35,70.1,70.7,32869
2013-03-01,70.5,70.7,69.85,70.0,70199
2013-03-04,71.0,71.05,69.55,70.2,44323
2013-03-05,70.2,71.0,70.2,71.0,15278
2013-03-06,70.5,70.85,69.7,70.85,29398
2013-03-07,69.0,69.0,66.5,68.0,244362
