date,open,high,low,close,volume
1990-01-02,19.57,19.57,19.57,19.57,0
1990-01-05,19.77,19.77,19.77,19.77,0
1990-01-08,20.16,20.16,20.16,20.16,0
1990-01-09,20.36,20.36,20.36,20.36,0
1990-01-10,21.63,21.63,21.63,21.63,0
1990-01-12,20.44,20.44,20.44,20.44,0
1990-01-15,20.84,20.84,20.84,20.84,0
1990-01-16,21.04,21.04,21.04,21.04,0
1990-01-18,21.24,21.24,21.24,21.24,0
1990-01-19,21.04,21.04,21.04,21.04,0
1990-01-22,21.24,21.24,21.24,21.24,0
1990-01-24,20.84,20.84,20.84,20.84,0
1990-01-25,21.24,21.24,21.24,21.24,0
1990-01-30,21.63,21.63,21.63,21.63,0
1990-01-31,22.43,22.43,22.43,22.43,0
1990-02-01,22.82,22.82,22.82,22.82,0
1990-02-02,23.22,23.22,23.22,23.22,0
1990-02-06,23.62,23.62,23.62,23.62,0
1990-02-07,23.42,23.42,23.42,23.42,0
1990-02-08,23.82,23.82,23.82,23.82,0
1990-02-12,23.34,23.34,23.34,23.34,0
1990-02-13,23.74,23.74,23.74,23.74,0
1990-02-19,23.54,23.54,23.54,23.54,0
1990-02-21,23.34,23.34,23.34,23.34,0
1990-02-23,23.14,23.14,23.14,23.14,0
1990-02-26,23.02,23.02,23.02,23.02,0
1990-02-27,23.34,23.34,23.34,23.34,0
1990-02-28,23.02,23.02,23.02,23.02,0
1990-03-01,23.34,23.34,23.34,23.34,0
1990-03-02,23.02,23.02,23.02,23.02,0
1990-03-05,23.34,23.34,23.34,23.34,0
1990-03-06,23.74,23.74,23.74,23.74,0
1990-03-07,24.01,24.01,24.01,24.01,0
1990-03-08,22.63,22.63,22.63,22.63,0
1990-03-13,22.43,22.43,22.43,22.43,0
1990-03-14,22.23,22.23,22.23,22.23,0
1990-03-15,22.43,22.43,22.43,22.43,0
1990-03-20,22.23,22.23,22.23,22.23,0
1990-03-21,22.03,22.03,22.03,22.03,0
1990-03-26,22.23,22.23,22.23,22.23,0
1990-03-27,22.03,22.03,22.03,22.03,0
1990-03-28,22.23,22.23,22.23,22.23,0
1990-04-09,21.83,21.83,21.83,21.83,0
1990-04-17,22.03,22.03,22.03,22.03,0
1990-04-19,22.23,22.23,22.23,22.23,0
1990-04-30,21.83,21.83,21.83,21.83,0
1990-05-01,22.23,22.23,22.23,22.23,0
1990-05-02,22.03,22.03,22.03,22.03,0
1990-05-03,22.23,22.23,22.23,22.23,0
1990-05-04,22.03,22.03,22.03,22.03,0
1990-05-10,22.23,22.23,22.23,22.23,0
1990-05-11,22.43,22.43,22.43,22.43,0
1990-05-14,22.63,22.63,22.63,22.63,0
1990-05-17,22.82,22.82,22.82,22.82,0
1990-05-18,22.63,22.63,22.63,22.63,0
1990-05-21,22.82,22.82,22.82,22.82,0
1990-05-23,23.02,23.02,23.02,23.02,0
1990-05-24,23.22,23.22,23.22,23.22,0
1990-05-30,23.62,23.62,23.62,23.62,0
1990-05-31,23.82,23.82,23.82,23.82,0
1990-06-04,24.21,24.21,24.21,24.21,0
1990-06-05,24.41,24.41,24.41,24.41,0
1990-06-06,24.41,24.41,24.41,24.41,0
1990-06-08,24.61,24.61,24.61,24.61,0
1990-06-11,24.21,24.21,24.21,24.21,0
1990-06-14,24.61,24.61,24.61,24.61,0
1990-06-15,24.41,24.41,24.41,24.41,0
1990-06-18,24.61,24.61,24.61,24.61,0
1990-06-20,24.41,24.41,24.41,24.41,0
