date,open,high,low,close,volume
1996-12-06,80.4,80.4,75.5,76.6,344830
1996-12-09,77.1,77.1,75.5,76.3,47831
1996-12-10,75.5,76.8,75.5,76.3,495373
1996-12-11,75.5,75.5,74.8,75.6,172413
1996-12-12,76.1,77.1,76.0,76.3,266754
1996-12-13,77.3,79.5,76.1,79.0,129522
1996-12-16,79.8,79.8,78.8,79.3,12740
1996-12-17,79.8,79.8,78.5,79.0,42466
1996-12-18,79.0,79.8,78.5,79.0,1106249
1996-12-19,79.0,79.0,79.0,79.0,0
1996-12-20,79.0,80.8,79.0,79.9,345648
1996-12-23,79.9,79.9,79.9,79.9,0
1996-12-24,79.9,79.9,79.9,79.9,0
1996-12-27,79.9,79.9,79.9,79.9,0
1996-12-30,80.8,80.8,80.8,80.6,15571
1996-12-31,81.4,84.8,81.4,84.9,45297
1997-01-02,92.1,93.1,88.1,89.4,244609
1997-01-03,89.8,89.8,89.8,89.3,5577
1997-01-06,89.8,92.1,88.8,91.8,101520
1997-01-07,92.8,93.1,92.1,92.3,78925
1997-01-08,93.1,93.1,92.1,92.6,8210
1997-01-09,93.1,93.1,92.1,92.6,5869
1997-01-10,93.1,93.1,92.1,92.6,157692
1997-01-13,93.1,93.1,91.4,92.3,86796
1997-01-14,89.1,90.8,89.1,90.3,148632
1997-01-15,89.4,90.1,89.1,89.8,14028
1997-01-16,89.1,89.1,89.1,88.9,6268
1997-01-17,88.1,89.8,88.1,88.9,77869
1997-01-20,89.4,89.4,87.8,88.9,181926
1997-01-21,89.8,89.8,89.8,88.9,960
1997-01-22,89.4,89.8,88.1,88.9,19535
1997-01-23,89.1,89.1,88.8,88.9,201857
1997-01-24,89.8,89.8,89.8,88.9,1048
1997-01-27,88.4,88.4,88.4,88.9,2831
1997-01-28,88.7,88.7,88.4,88.9,27037
1997-01-29,89.8,89.8,88.1,88.9,398901
1997-01-30,88.9,88.9,88.9,88.9,0
1997-01-31,88.9,88.9,88.9,88.9,0
1997-02-03,88.1,89.8,88.1,88.9,38786
1997-02-04,88.4,89.8,88.4,88.9,2834
1997-02-05,89.8,89.8,89.4,88.9,2469
1997-02-06,88.9,88.9,88.9,88.9,0
1997-02-07,89.8,89.8,89.8,88.9,878
1997-02-10,88.3,88.3,88.3,88.9,4247
1997-02-11,89.1,89.1,89.1,88.9,212332
1997-02-12,88.9,88.9,88.9,88.9,0
1997-02-13,88.9,88.9,88.9,88.9,0
1997-02-14,89.8,89.8,89.8,88.9,1132
1997-02-17,89.8,89.8,89.8,88.9,243
1997-02-18,89.8,89.8,89.8,88.9,2070
1997-02-19,89.8,89.8,89.8,88.9,5096
1997-02-20,88.9,88.9,88.9,88.9,0
1997-02-21,88.9,88.9,88.9,88.9,0
1997-02-24,88.1,88.1,88.1,88.9,8493
1997-02-25,88.1,88.1,88.1,88.9,3825
1997-02-26,88.9,88.9,88.9,88.9,0
1997-02-27,88.4,88.4,88.4,88.9,7992
1997-02-28,89.8,89.8,89.8,88.9,20
1997-03-03,88.9,88.9,88.9,88.9,0
1997-03-04,89.4,89.8,88.8,88.9,142579
1997-03-05,89.8,89.8,89.8,88.9,1699
1997-03-06,88.9,88.9,88.9,88.9,0
1997-03-07,88.9,88.9,88.9,88.9,0
1997-03-10,89.8,89.8,89.8,88.9,1132
1997-03-11,89.8,89.8,89.8,88.9,1016
1997-03-12,88.9,88.9,88.9,88.9,0
1997-03-13,88.9,88.9,88.9,88.9,0
1997-03-14,88.6,88.6,88.6,88.6,0
1997-03-17,87.4,87.8,79.8,84.4,2217112
1997-03-18,80.1,80.1,80.1,80.6,2123
1997-03-19,79.8,79.8,79.8,80.6,6795
1997-03-20,80.8,80.8,80.8,80.6,2831
1997-03-21,80.8,80.8,80.8,80.3,1416
1997-03-24,77.5,78.1,77.5,77.3,56905
1997-03-25,77.1,78.5,77.1,78.0,3709
1997-03-26,78.0,78.0,78.0,78.0,0
1997-03-27,78.8,78.8,78.8,78.0,1699
1997-04-01,76.5,76.5,76.5,77.3,2070
1997-04-02,77.8,77.8,77.8,77.3,991
1997-04-03,77.3,77.3,77.3,77.3,0
1997-04-04,77.3,77.3,77.3,77.3,0
1997-04-07,77.3,77.3,77.3,77.3,0
1997-04-08,75.8,75.8,75.8,76.6,7078
1997-04-09,75.8,75.8,75.8,76.6,8493
1997-04-10,76.6,76.6,76.6,76.6,0
1997-04-11,76.6,76.6,76.6,76.6,0
1997-04-14,75.8,75.8,75.8,76.6,708
1997-04-15,76.5,76.5,76.5,76.5,0
1997-04-16,75.8,75.8,75.5,75.0,20953
