date,open,high,low,close,volume
1990-06-05,474.28,474.28,474.28,474.28,792222
1990-06-06,469.5,469.5,469.5,469.5,312278
1990-06-07,481.91,481.91,481.91,481.91,675904
1990-06-08,487.64,487.64,487.64,487.64,2095827
1990-06-11,493.36,493.36,493.36,493.36,1257496
1990-06-12,491.45,491.45,491.45,491.45,2095827
1990-06-13,493.36,493.36,493.36,493.36,1467079
1990-06-14,499.09,499.09,499.09,499.09,1571870
1990-06-15,495.27,495.27,495.27,495.27,1257496
1990-06-18,490.5,490.5,490.5,490.5,1016476
1990-06-19,492.41,492.41,492.41,492.41,416022
1990-06-20,499.09,499.09,499.09,499.09,544915
1990-06-21,497.18,497.18,497.18,497.18,1257496
1990-06-22,495.27,495.27,495.27,495.27,280841
1990-06-25,499.09,499.09,499.09,499.09,298655
1990-06-26,498.13,498.13,498.13,498.13,519765
1990-06-27,501.0,501.0,501.0,501.0,471561
1990-06-28,491.45,491.45,491.45,491.45,478896
1990-06-29,492.41,494.32,488.59,488.59,589975
1990-07-02,489.54,492.41,487.64,489.54,216022
1990-07-03,487.64,490.5,483.82,486.68,356061
1990-07-04,482.86,485.73,481.91,485.73,400784
1990-07-05,483.82,483.82,480.0,481.91,519631
1990-07-06,475.23,482.86,475.23,482.86,807995
1990-07-09,481.91,484.77,479.05,480.96,240662
1990-07-10,480.0,482.86,475.23,480.96,381920
1990-07-11,479.05,488.59,479.05,488.59,1038907
1990-07-12,489.54,492.41,488.59,490.5,152718
1990-07-13,488.59,493.36,488.59,492.41,212438
1990-07-16,490.5,496.22,490.5,495.27,215653
1990-07-17,497.18,501.95,494.32,500.04,569472
1990-07-18,498.13,503.86,498.13,500.04,649293
1990-07-19,498.13,501.0,494.32,496.22,406204
1990-07-20,496.22,499.09,494.32,497.18,237051
1990-07-23,496.22,498.13,492.41,494.32,603800
1990-07-24,494.32,495.27,492.41,498.13,108549
1990-07-25,496.22,501.95,490.98,492.41,1275092
1990-07-26,488.59,491.45,479.05,481.91,258655
1990-07-27,477.14,481.91,477.14,480.0,196033
1990-07-30,475.23,476.66,471.41,474.28,301418
1990-07-31,477.14,477.14,471.41,473.32,53156
1990-08-01,473.8,477.14,473.32,476.18,618632
1990-08-02,473.32,473.32,459.96,462.82,750833
1990-08-03,456.14,459.96,451.37,455.19,626870
1990-08-06,448.51,448.51,436.1,441.83,444144
1990-08-07,439.92,449.46,438.97,445.65,258174
1990-08-08,445.41,451.37,442.78,448.51,1469520
1990-08-09,456.14,460.92,454.24,459.01,1025792
1990-08-10,461.87,472.61,459.01,469.5,1701550
1990-08-13,465.69,475.23,465.69,476.18,1129993
1990-08-14,479.05,484.77,476.18,477.14,721596
1990-08-15,477.14,479.05,475.23,476.18,696687
1990-08-16,468.55,469.5,462.82,464.73,517479
1990-08-17,465.69,465.69,450.42,454.24,1118992
1990-08-20,442.78,446.6,441.35,446.6,454807
1990-08-21,447.56,448.51,433.24,437.06,1042721
1990-08-22,438.97,445.65,436.1,437.06,972702
1990-08-23,431.33,431.33,425.61,429.42,771334
1990-08-24,433.24,435.15,430.38,431.33,472435
1990-08-28,436.1,436.1,431.33,435.15,161285
1990-08-29,431.33,432.29,428.47,431.33,241808
1990-08-30,434.2,439.92,433.24,438.01,1047768
1990-08-31,438.01,439.92,438.01,440.88,257344
1990-09-03,438.97,441.83,438.01,440.88,265449
1990-09-04,437.06,437.06,435.15,438.97,317539
1990-09-05,440.88,445.65,435.15,443.74,742057
1990-09-06,441.83,442.78,435.15,437.06,1380838
1990-09-07,429.42,434.2,427.52,429.42,752158
1990-09-10,425.61,428.47,421.79,424.65,273867
1990-09-11,421.79,427.52,418.93,426.56,1382330
1990-09-12,429.42,436.1,428.47,430.38,1300587
1990-09-13,431.33,431.33,428.47,431.33,638206
1990-09-14,430.38,438.97,430.38,431.33,945777
1990-09-17,427.52,432.29,425.01,431.33,610321
1990-09-18,435.15,435.15,419.88,421.79,1366959
1990-09-19,422.74,423.7,419.88,421.79,313956
1990-09-20,420.84,420.84,405.57,407.48,678726
1990-09-21,406.52,406.52,387.44,394.12,1433642
1990-09-24,390.3,395.07,385.53,389.35,269082
1990-09-25,392.21,397.93,392.21,398.89,993545
1990-09-26,400.8,400.8,395.07,396.98,1056271
1990-09-27,396.98,405.09,396.03,399.84,609148
1990-09-28,396.5,396.5,389.35,395.07,465319
1990-10-01,398.89,406.52,398.89,406.52,793149
1990-10-02,416.06,416.06,410.34,414.16,676980
1990-10-03,412.25,421.79,412.25,419.88,838077
1990-10-04,420.84,425.61,420.84,423.7,500547
1990-10-05,419.88,435.15,419.88,423.7,1171865
1990-10-08,474.28,483.82,463.78,479.05,1919294
1990-10-09,475.23,475.23,456.14,459.01,1600946
1990-10-10,448.51,459.96,448.51,457.1,663222
1990-10-11,456.14,457.1,446.6,454.24,642184
1990-10-12,469.5,469.5,450.42,453.28,490787
1990-10-15,451.37,458.05,450.42,451.37,415213
1990-10-16,456.14,458.53,448.51,450.42,422959
1990-10-17,448.27,450.42,443.74,448.51,516081
1990-10-18,446.6,451.37,440.88,439.44,1089818
1990-10-19,438.97,443.74,438.97,440.88,536281
1990-10-22,438.97,438.97,434.2,438.97,240928
1990-10-23,442.78,446.6,438.97,441.83,714712
1990-10-24,440.88,440.88,434.2,437.06,1127047
1990-10-25,436.1,438.01,430.38,433.24,303518
1990-10-26,428.47,428.47,422.74,425.61,726724
1990-10-29,421.79,426.56,421.79,424.65,453537
1990-10-30,419.88,419.88,415.11,417.02,385508
1990-10-31,415.11,419.88,411.29,418.93,866374
1990-11-01,414.16,417.97,411.29,414.16,472450
1990-11-02,406.52,420.84,406.52,419.88,1948499
1990-11-05,424.65,424.65,419.88,424.65,412662
1990-11-06,425.61,427.52,421.31,429.42,416075
1990-11-07,435.15,437.06,432.29,434.2,689171
1990-11-08,430.38,431.33,424.65,431.33,886273
1990-11-09,434.2,437.06,429.42,431.33,543830
1990-11-12,434.2,434.2,429.42,432.29,287882
1990-11-13,438.97,446.6,437.06,445.65,1130298
1990-11-14,431.33,438.97,431.33,434.2,428578
1990-11-15,438.73,443.74,432.29,440.88,1571228
1990-11-16,438.97,448.51,438.97,445.65,414870
1990-11-19,451.37,454.24,443.74,447.56,432439
1990-11-20,445.65,458.05,445.65,458.05,2500319
1990-11-21,454.24,470.46,454.24,465.69,1203038
1990-11-22,469.5,472.37,462.82,465.69,761749
1990-11-23,462.82,477.14,462.82,474.28,393751
1990-11-26,481.91,483.82,465.69,469.5,1181802
1990-11-27,467.6,478.09,467.6,476.18,431035
1990-11-28,477.14,477.14,467.6,472.37,1149469
1990-11-29,469.5,470.46,459.96,460.92,1065246
1990-11-30,462.82,466.64,459.96,464.73,766146
1990-12-03,469.5,470.46,465.69,467.6,800050
1990-12-04,465.69,469.5,453.28,455.67,977087
1990-12-05,458.05,460.92,451.37,462.82,585687
1990-12-06,463.3,473.32,463.3,471.41,977257
1990-12-07,467.6,474.28,467.6,473.32,476141
1990-12-10,474.28,477.38,473.32,477.14,833080
1990-12-11,476.18,487.64,476.18,478.09,764529
1990-12-12,474.28,479.05,471.41,474.28,365116
1990-12-13,467.6,470.46,464.73,469.5,1739097
1990-12-14,472.37,472.37,462.82,464.73,232845
1990-12-17,460.92,464.73,456.14,459.01,624285
1990-12-18,457.1,467.6,457.1,464.73,566693
1990-12-19,467.6,467.6,464.73,467.6,269449
1990-12-20,462.82,467.6,455.19,458.05,1812789
1990-12-21,453.28,453.28,451.37,454.24,602001
1990-12-24,450.42,451.37,447.56,450.42,361484
1990-12-27,445.65,447.56,445.65,448.51,174977
1990-12-28,445.65,450.42,441.83,443.74,178353
1990-12-31,434.2,436.1,434.2,436.1,420646
1991-01-02,426.56,430.38,422.74,427.52,185175
1991-01-03,421.79,436.1,421.79,434.2,678243
1991-01-04,431.33,441.83,431.33,438.01,436037
1991-01-07,434.2,438.97,427.52,430.38,1150401
1991-01-08,424.65,429.42,422.74,426.56,985196
