date,open,high,low,close,volume
1990-01-02,91.89,91.89,91.89,91.89,13072285
1990-01-03,93.01,93.01,93.01,93.01,15562245
1990-01-04,92.37,92.37,92.37,92.37,8714857
1990-01-05,93.01,93.01,93.01,93.01,9337347
1990-01-08,92.69,92.69,92.69,92.69,14522687
1990-01-09,92.85,92.85,92.85,92.85,11895780
1990-01-10,91.41,91.41,91.41,91.41,4463252
1990-01-11,91.25,91.25,91.25,91.25,7469877
1990-01-12,89.8,89.8,89.8,89.8,9337347
1990-01-15,89.0,89.0,89.0,89.0,4257830
1990-01-16,88.68,88.68,88.68,88.68,10582326
1990-01-17,89.96,89.96,89.96,89.96,8714857
1990-01-18,89.64,89.64,89.64,89.64,13072285
1990-01-19,89.16,89.16,89.16,89.16,4176906
1990-01-22,88.19,88.19,88.19,88.19,11204816
1990-01-23,88.35,88.35,88.35,88.35,14317265
1990-01-24,88.68,88.68,88.68,88.68,14317265
1990-01-25,87.55,87.55,87.55,87.55,11204816
1990-01-26,89.0,89.0,89.0,89.0,9959837
1990-01-29,89.8,89.8,89.8,89.8,6847388
1990-01-30,91.09,91.09,91.09,91.09,8092367
1990-01-31,92.53,92.53,92.53,92.53,9959837
1990-02-01,94.14,94.14,94.14,94.14,16527104
1990-02-02,94.3,94.3,94.3,94.3,12499595
1990-02-05,93.5,93.5,93.5,93.5,4886545
1990-02-06,91.73,91.73,91.73,91.73,6199998
1990-02-07,90.76,90.76,90.76,90.76,3934135
1990-02-08,90.93,90.93,90.93,90.93,9959837
1990-02-09,90.76,90.76,90.76,90.76,4183131
1990-02-12,89.16,89.16,89.16,89.16,6224898
1990-02-13,89.0,89.0,89.0,89.0,6224898
1990-02-14,88.35,88.35,88.35,88.35,9959837
1990-02-15,87.71,87.71,87.71,87.71,8092367
1990-02-16,88.68,88.68,88.68,88.68,9959837
1990-02-19,88.52,88.52,88.52,88.52,19297184
1990-02-20,89.16,89.16,89.16,89.16,17429714
1990-02-21,88.84,88.84,88.84,88.84,11827306
1990-02-22,89.32,89.32,89.32,89.32,9959837
1990-02-23,88.35,88.35,88.35,88.35,9959837
1990-02-26,90.93,90.93,90.93,90.93,8092367
1990-02-27,90.6,90.6,90.6,90.6,10582326
1990-02-28,91.41,91.41,91.41,91.41,8092367
1990-03-01,93.17,93.17,93.17,93.17,39216856
1990-03-02,93.17,93.17,93.17,93.17,21961440
1990-03-05,92.53,92.53,92.53,92.53,9959837
1990-03-06,93.33,93.33,93.33,93.33,13072285
1990-03-07,93.98,93.98,93.98,93.98,18674692
1990-03-08,94.14,94.14,94.14,94.14,6156424
1990-03-09,94.3,94.3,94.3,94.3,14939755
1990-03-12,91.41,91.41,91.41,91.41,11827306
1990-03-13,90.93,90.93,90.93,90.93,6847388
1990-03-14,91.09,91.09,91.09,91.09,14939755
1990-03-15,91.09,91.09,91.09,91.09,7743773
1990-03-16,91.41,91.41,91.41,91.41,6785139
1990-03-19,90.28,90.28,90.28,90.28,6847388
1990-03-20,92.05,92.05,92.05,92.05,6847388
1990-03-21,91.09,91.09,91.09,91.09,18052204
1990-03-22,91.25,91.25,91.25,91.25,14939755
1990-03-23,92.53,92.53,92.53,92.53,23654612
1990-03-26,94.3,94.3,94.3,94.3,12779715
1990-03-27,93.98,93.98,93.98,93.98,9959837
1990-03-28,94.62,94.62,94.62,94.62,6224898
1990-03-29,94.78,94.78,94.78,94.78,7469877
1990-03-30,94.3,94.3,94.3,94.3,16807224
1990-04-02,93.01,93.01,93.01,93.01,13072285
1990-04-03,93.17,93.17,93.17,93.17,26144572
1990-04-04,92.85,92.85,92.85,92.85,11827306
1990-04-05,92.53,92.53,92.53,92.53,9748190
1990-04-06,91.89,91.89,91.89,91.89,9337347
1990-04-09,92.05,92.05,92.05,92.05,5527709
1990-04-10,92.21,92.21,92.21,92.21,11827306
1990-04-11,92.05,92.05,92.05,92.05,8328913
1990-04-12,92.37,92.37,92.37,92.37,6224898
1990-04-17,90.76,90.76,90.76,90.76,8714857
1990-04-18,88.35,88.35,88.35,88.35,27389550
1990-04-19,87.39,87.39,87.39,87.39,20542164
1990-04-20,86.11,86.11,86.11,86.11,16807224
1990-04-23,83.37,83.37,83.37,83.37,36726896
1990-04-24,82.57,82.57,82.57,82.57,34236936
1990-04-25,81.13,81.13,81.13,81.13,14939755
1990-04-26,81.45,81.45,81.45,81.45,19919672
1990-04-27,80.32,80.32,80.32,80.32,10582326
1990-04-30,80.97,80.97,80.97,80.97,5633533
1990-05-01,81.77,81.77,81.77,81.77,4774497
1990-05-02,83.54,83.54,83.54,83.54,11204816
1990-05-03,83.54,83.54,83.54,83.54,7637950
1990-05-04,85.62,85.62,85.62,85.62,12449796
1990-05-08,86.75,86.75,86.75,86.75,17429714
1990-05-09,84.18,84.18,84.18,84.18,17429714
1990-05-10,84.66,84.66,84.66,84.66,9959837
1990-05-11,85.14,85.14,85.14,85.14,16184734
1990-05-14,86.27,86.27,86.27,86.27,4394778
1990-05-15,85.95,85.95,85.95,85.95,15562245
1990-05-16,86.27,86.27,86.27,86.27,26767060
1990-05-17,88.19,88.19,88.19,88.19,18052204
1990-05-18,87.87,87.87,87.87,87.87,19297184
1990-05-21,88.35,88.35,88.35,88.35,3959035
1990-05-22,89.8,89.8,89.8,89.8,21164652
1990-05-23,87.39,87.39,87.39,87.39,36104408
1990-05-24,86.59,86.59,86.59,86.59,8714857
1990-05-25,86.59,86.59,86.59,86.59,12005148
1990-05-29,87.04,87.04,87.04,87.04,6224892
1990-05-30,89.29,89.29,89.29,89.29,14228324
1990-05-31,90.19,90.19,90.19,90.19,7558797
1990-06-01,91.09,91.09,91.09,91.09,18674676
1990-06-04,92.21,92.21,92.21,92.21,6224892
1990-06-05,93.56,93.56,93.56,93.56,13783689
1990-06-06,91.99,91.99,91.99,91.99,9781973
1990-06-07,90.41,90.41,90.41,90.41,16451499
1990-06-08,89.96,89.96,89.96,89.96,4419673
1990-06-11,89.06,89.06,89.06,89.06,3668240
1990-06-12,89.51,89.51,89.51,89.51,14228324
1990-06-13,91.09,91.09,91.09,91.09,15117594
1990-06-14,89.74,89.74,89.74,89.74,9337337
1990-06-15,88.39,88.39,88.39,88.39,5780256
1990-06-18,87.04,87.04,87.04,87.04,7114162
1990-06-19,87.71,87.71,87.71,87.71,23565660
1990-06-20,90.41,90.41,90.41,90.41,13783689
1990-06-21,90.64,90.64,90.64,90.64,6669527
