date,open,high,low,close,volume
2011-04-21,111.0,128.0,111.0,122.0,34865
2011-04-26,121.7,123.2,120.0,122.0,1351
2011-04-27,122.2,122.5,121.7,122.1,1291
2011-04-28,123.0,129.0,123.0,127.5,1679
2011-04-29,130.0,130.0,128.1,129.0,1695
2011-05-02,129.0,129.1,128.9,129.0,388
2011-05-04,129.0,130.0,125.0,130.0,14452
2011-05-05,130.0,134.7,130.0,133.9,959
2011-05-06,130.0,132.5,129.0,132.5,508
2011-05-09,134.8,134.9,130.0,134.9,3603
2011-05-10,134.0,134.9,132.5,134.9,256
2011-05-11,134.9,134.9,134.0,134.1,1036
2011-05-12,134.8,138.0,134.5,138.0,3402
2011-05-13,149.9,158.0,145.0,150.0,5281
2011-05-16,148.0,158.0,148.0,157.0,1517
2011-05-17,159.0,164.4,155.0,155.0,1470
2011-05-18,157.0,157.0,141.3,149.0,498
2011-05-19,143.0,143.0,140.0,142.2,530
2011-05-20,135.1,145.0,135.1,145.0,1053
2011-05-23,143.0,144.9,143.0,144.0,225
2011-05-25,140.0,140.0,140.0,140.0,10
2011-05-26,140.0,142.0,140.0,142.0,724
2011-05-30,144.7,154.0,144.7,150.5,110
2011-06-01,145.5,152.0,145.5,152.0,83
2011-06-02,152.0,154.0,148.0,153.5,122
2011-06-03,145.0,156.5,145.0,156.5,237
2011-06-06,156.5,157.0,156.5,157.0,37
2011-06-07,155.0,155.0,155.0,155.0,70
2011-06-08,151.0,155.0,149.0,149.0,186
2011-06-10,150.0,150.0,150.0,150.0,40
2011-06-14,145.0,145.0,145.0,145.0,2
2011-06-16,145.0,150.0,140.1,150.0,200
2011-06-20,141.2,149.0,141.2,149.0,100
2011-06-21,140.0,148.0,140.0,148.0,50
2011-06-22,146.0,146.0,146.0,146.0,2806
2011-06-24,149.0,150.0,149.0,150.0,95
2011-06-27,151.1,154.9,150.0,150.0,7317
2011-06-28,150.0,151.0,150.0,151.0,42
2011-06-29,154.9,159.0,151.2,159.0,854
2011-06-30,160.0,160.0,155.1,157.0,5071
2011-07-01,159.0,159.0,155.5,159.0,3073
2011-07-04,159.0,159.0,159.0,159.0,1
2011-07-05,155.5,155.5,155.5,155.5,37
2011-07-06,155.5,155.5,155.5,155.5,112
2011-07-07,160.5,160.5,160.5,160.5,126
2011-07-08,160.5,163.0,160.5,163.0,251
2011-07-11,162.0,162.0,160.0,160.0,20043
2011-07-12,160.0,160.0,160.0,160.0,11810
2011-07-13,159.9,160.0,155.4,155.5,240
2011-07-18,155.4,155.4,155.4,155.4,15
2011-07-19,155.5,155.5,155.0,155.0,496
2011-07-20,155.0,155.0,155.0,155.0,25
2011-07-21,150.1,159.0,150.0,159.0,181
2011-07-25,150.6,150.6,150.6,150.6,14
2011-07-26,150.6,158.0,150.6,158.0,54
2011-07-27,158.0,160.0,158.0,160.0,32
2011-07-29,160.0,160.0,160.0,160.0,50
2011-08-02,158.0,158.0,158.0,158.0,8024
2011-08-03,155.0,155.0,155.0,155.0,20062
2011-08-04,155.0,155.0,149.0,154.9,217
2011-08-05,143.0,151.0,143.0,151.0,7516
2011-08-08,145.1,151.0,140.1,150.0,792
2011-08-09,140.1,143.5,140.1,142.5,14357
2011-08-10,142.5,142.5,128.3,139.6,487
2011-08-11,138.5,138.5,138.5,138.5,14
2011-08-12,140.7,145.0,140.7,145.0,282
2011-08-16,145.4,150.0,145.4,150.0,520
2011-08-17,144.0,144.0,144.0,144.0,53
2011-08-18,145.0,145.0,145.0,145.0,15
2011-08-19,139.0,141.7,137.0,141.7,978
2011-08-22,137.0,140.9,136.0,140.9,310
2011-08-23,140.9,140.9,135.0,135.0,113
2011-08-25,131.5,133.0,130.0,133.0,1343
2011-08-26,133.0,140.0,132.0,135.0,333
2011-08-29,135.0,136.8,134.0,136.8,5108
2011-08-30,140.5,140.5,138.5,138.5,130
2011-08-31,139.5,139.5,138.0,138.0,2697
2011-09-01,132.9,132.9,132.9,132.9,15
2011-09-02,134.0,137.0,134.0,137.0,4465
2011-09-05,135.0,135.4,130.0,135.4,24
2011-09-06,135.4,135.4,135.3,135.3,123
2011-09-07,137.0,140.1,137.0,137.0,50
2011-09-09,134.0,140.0,132.0,140.0,1255
2011-09-12,133.0,135.0,133.0,135.0,72
2011-09-13,135.0,137.5,135.0,135.0,103
2011-09-14,136.5,136.5,136.5,136.5,55
2011-09-15,135.0,137.5,130.0,137.5,7052
2011-09-19,132.7,139.9,132.7,139.9,59
2011-09-21,137.4,137.4,131.0,135.8,483
2011-09-22,131.5,135.8,129.5,135.8,165
2011-09-23,135.0,135.0,135.0,135.0,19
2011-09-26,134.0,135.9,129.5,134.0,841
2011-09-27,133.0,139.9,133.0,139.9,901
2011-09-28,139.9,139.9,132.0,137.5,2611
2011-09-29,136.0,136.0,136.0,136.0,56
2011-09-30,136.3,141.0,136.3,141.0,5018
2011-10-03,137.0,137.0,137.0,137.0,3
2011-10-04,135.5,135.5,135.5,135.5,41
2011-10-05,135.5,135.5,135.5,135.5,68
2011-10-06,136.0,136.0,136.0,136.0,250
2011-10-07,138.6,138.6,138.6,138.6,10
2011-10-10,133.0,139.6,133.0,138.6,39
2011-10-11,136.5,141.7,135.6,135.6,179
2011-10-12,143.9,143.9,143.9,143.9,1
2011-10-18,142.0,142.0,142.0,142.0,16
