date,open,high,low,close,volume
2009-07-24,441.5,464.3,438.3,460.8,0
2009-07-28,458.4,459.9,437.3,443.1,0
2009-07-29,441.9,448.0,436.6,442.9,0
2009-07-30,444.9,450.1,436.9,448.4,0
2009-07-31,446.4,467.8,446.3,460.6,0
2009-08-03,459.5,472.6,458.6,459.9,0
2009-08-04,461.9,461.9,449.3,451.8,0
2009-08-05,459.4,465.9,450.9,454.6,0
2009-08-06,457.9,475.8,457.9,464.0,0
2009-08-07,462.9,475.3,457.0,475.3,0
2009-08-10,472.9,478.4,467.3,475.9,0
2009-08-11,476.1,478.1,454.6,456.8,0
2009-08-12,457.1,457.3,440.1,448.0,0
2009-08-13,451.1,467.4,443.0,463.1,0
2009-08-14,462.4,497.9,462.4,480.5,0
2009-08-17,476.8,479.6,452.7,459.3,0
2009-08-18,462.6,465.6,450.2,462.1,0
2009-08-19,459.6,468.8,455.9,460.2,0
2009-08-20,464.8,492.3,462.2,486.0,0
2009-08-21,484.5,490.7,476.0,485.6,0
2009-08-24,490.0,493.2,481.3,484.1,0
2009-08-25,483.8,490.9,480.0,483.5,0
2009-08-28,4.9,5.0,4.8,4.9,0
2009-08-31,4.9,4.9,4.9,4.9,0
2009-09-01,4.8,5.0,4.8,4.9,0
2009-09-02,4.8,4.9,4.7,4.7,0
2009-09-03,4.7,4.8,4.7,4.8,0
2009-09-04,4.8,4.9,4.8,4.9,0
2009-09-08,5.1,5.3,5.0,5.1,0
2009-09-09,5.0,5.1,5.0,5.0,0
2009-09-10,5.0,5.1,4.8,4.9,0
2009-09-11,4.9,4.9,4.8,4.8,0
2009-09-14,4.8,4.8,4.7,4.7,0
2009-09-15,4.7,4.8,4.6,4.6,0
2009-09-16,4.6,4.8,4.6,4.8,0
2009-09-17,4.8,4.9,4.8,4.8,0
2009-09-18,478.6,484.8,471.0,479.8,0
2009-09-21,477.1,480.0,470.5,476.4,0
2009-09-23,4.9,5.1,4.9,5.0,0
2009-09-24,5.0,5.1,5.0,5.0,0
2009-09-25,5.0,5.0,4.9,4.9,0
2009-09-28,4.9,5.0,4.8,5.0,0
2009-09-29,5.0,5.1,5.0,5.0,0
2009-09-30,5.1,5.2,5.0,5.0,0
2009-10-02,496.3,504.8,492.5,503.3,0
2009-10-05,502.0,504.8,498.6,503.3,0
2009-10-06,503.8,509.3,495.5,499.8,0
2009-10-07,498.0,515.0,497.5,507.8,0
2009-10-08,509.5,533.0,509.3,531.5,0
2009-10-09,533.5,540.8,524.5,527.8,0
2009-10-12,532.5,545.5,532.0,541.3,0
2009-10-13,540.5,550.5,532.5,537.0,0
2009-10-14,542.8,571.8,540.5,564.5,0
2009-10-15,575.3,591.5,564.5,578.8,0
2009-10-16,580.0,580.0,550.8,559.5,0
