date,open,high,low,close,volume
2009-07-24,114.05,115.85,113.6,115.0,0
2009-07-28,111.98,114.3,111.72,111.9,0
2009-07-29,112.52,113.77,111.58,112.73,0
2009-07-30,119.57,128.82,119.57,127.15,0
2009-07-31,127.05,128.9,125.02,126.57,0
2009-08-03,126.73,126.73,123.98,125.23,0
2009-08-04,125.2,127.47,124.92,126.43,0
2009-08-05,126.55,129.43,126.4,129.03,0
2009-08-06,129.55,130.52,128.22,129.25,0
2009-08-07,129.25,131.17,128.03,131.02,0
2009-08-10,133.15,134.78,131.7,134.07,0
2009-08-11,134.82,135.35,133.82,134.83,0
2009-08-12,133.8,135.12,132.65,135.12,0
2009-08-13,135.2,135.2,132.32,132.53,0
2009-08-14,132.9,135.28,132.7,133.83,0
2009-08-17,133.65,133.75,132.4,133.2,0
2009-08-18,133.78,134.8,133.13,133.75,0
2009-08-19,133.32,133.32,131.22,131.48,0
2009-08-20,133.42,135.12,133.08,134.97,0
2009-08-21,134.78,139.27,133.95,138.78,0
2009-08-24,139.78,142.7,138.35,139.23,0
2009-08-25,138.5,141.58,138.2,141.58,0
2009-08-28,1.38,1.4,1.38,1.39,0
2009-08-31,1.39,1.39,1.39,1.39,0
2009-09-01,1.39,1.4,1.36,1.36,0
2009-09-02,1.36,1.36,1.3,1.31,0
2009-09-03,1.31,1.32,1.28,1.28,0
2009-09-04,1.29,1.31,1.28,1.29,0
2009-09-08,1.33,1.36,1.32,1.32,0
2009-09-09,1.31,1.34,1.31,1.34,0
2009-09-10,1.35,1.35,1.31,1.32,0
2009-09-11,1.32,1.33,1.28,1.29,0
2009-09-14,1.29,1.3,1.28,1.3,0
2009-09-15,1.32,1.37,1.32,1.36,0
2009-09-16,1.37,1.38,1.34,1.38,0
2009-09-17,1.39,1.41,1.38,1.39,0
2009-09-18,138.78,139.65,138.05,139.23,0
2009-09-21,139.23,140.35,136.68,138.3,0
2009-09-23,1.39,1.39,1.34,1.35,0
2009-09-24,1.35,1.36,1.33,1.34,0
2009-09-25,1.33,1.34,1.32,1.33,0
2009-09-28,1.33,1.33,1.3,1.31,0
2009-09-29,1.31,1.31,1.3,1.31,0
2009-09-30,1.31,1.34,1.31,1.31,0
2009-10-02,129.32,130.57,127.95,128.68,0
2009-10-05,128.8,129.98,126.28,129.8,0
2009-10-06,130.2,131.82,129.85,130.63,0
2009-10-07,130.43,131.65,129.78,131.15,0
2009-10-08,132.78,135.88,132.55,134.78,0
2009-10-09,134.28,137.57,134.13,135.85,0
2009-10-12,136.55,138.07,134.73,134.93,0
2009-10-13,134.8,136.93,134.3,135.85,0
2009-10-14,135.48,136.9,134.03,134.13,0
2009-10-15,133.77,136.68,133.23,135.88,0
2009-10-16,135.6,136.32,132.65,133.55,0
2009-10-19,133.23,133.23,133.23,133.23,0
2009-10-20,133.23,133.23,133.23,133.23,0
2009-10-21,133.23,133.23,133.23,133.23,0
2009-10-22,133.23,140.15,133.23,140.15,0
2009-10-23,139.6,139.6,134.85,135.55,0
2009-10-26,135.35,136.75,134.2,134.85,0
