date,open,high,low,close,volume
1995-05-25,9.5,9.5,9.5,9.5,334211
1995-05-26,9.5,9.5,9.5,9.5,261737
1995-05-29,9.7,9.7,9.7,9.7,213814
1995-05-30,8.75,8.75,8.75,8.75,163257
1995-05-31,8.85,8.85,8.85,8.85,102316
1995-06-01,8.1,8.1,8.1,8.1,41111
1995-06-02,8.2,8.2,8.2,8.2,64268
1995-06-05,8.7,8.7,8.7,8.7,31667
1995-06-06,8.7,8.7,8.7,8.7,76207
1995-06-07,8.85,8.85,8.85,8.85,80113
1995-06-08,8.85,8.85,8.85,8.85,65028
1995-06-09,8.8,8.8,8.8,8.8,44261
1995-06-12,8.55,8.55,8.55,8.55,41813
1995-06-13,8.6,8.6,8.6,8.6,38953
1995-06-14,8.8,8.8,8.8,8.8,27102
1995-06-16,8.6,8.6,8.6,8.6,27035
1995-06-19,8.3,8.3,8.3,8.3,19217
1995-06-20,8.5,8.5,8.5,8.5,29353
1995-06-21,8.5,8.5,8.5,8.5,35294
1995-06-22,8.5,8.5,8.5,8.5,48235
1995-06-23,8.6,8.6,8.6,8.6,24186
1995-06-26,9.0,9.0,9.0,9.0,110611
1995-06-27,9.3,9.3,9.3,9.3,111022
1995-06-28,9.0,9.0,9.0,9.0,52556
1995-06-29,9.2,9.2,9.2,9.2,89728
1995-06-30,9.25,9.25,9.25,9.25,54757
1995-07-03,9.5,9.5,9.5,9.5,122000
1995-07-04,9.4,9.4,9.4,9.4,95319
1995-07-05,9.3,9.3,9.3,9.3,45000
1995-07-06,9.35,9.35,9.35,9.35,36043
1995-07-07,9.25,9.25,9.25,9.25,28270
1995-07-10,9.25,9.25,9.25,9.25,13676
1995-07-11,9.2,9.2,9.2,9.2,35870
1995-07-12,9.1,9.1,9.1,9.1,27363
1995-07-13,9.3,9.3,9.3,9.3,65591
1995-07-14,9.4,9.4,9.4,9.4,25426
1995-07-17,9.6,9.6,9.6,9.6,164219
1995-07-18,10.2,10.2,10.2,10.2,234020
1995-07-19,11.2,11.2,11.2,11.2,0
1995-07-20,12.3,12.3,12.3,12.3,317846
1995-07-21,12.9,12.9,12.9,12.9,336163
1995-07-24,13.0,13.0,13.0,13.0,332385
1995-07-25,14.3,14.3,14.3,14.3,213811
1995-07-26,15.7,15.7,15.7,15.7,387675
1995-07-27,17.0,17.0,17.0,17.0,271147
1995-07-28,16.1,16.1,16.1,16.1,190466
1995-07-31,14.5,14.5,14.5,14.5,189966
1995-08-01,14.5,14.5,14.5,14.5,137207
1995-08-02,14.5,14.5,14.5,14.5,140759
1995-08-03,14.2,14.2,14.2,14.2,168662
1995-08-04,14.5,14.5,14.5,14.5,103759
1995-08-07,14.6,14.6,14.6,14.6,105719
1995-08-08,14.3,14.3,14.3,14.3,74545
1995-08-09,14.1,14.1,14.1,14.1,72234
1995-08-10,14.8,14.8,14.8,14.8,109223
1995-08-11,15.7,15.7,15.7,15.7,149076
1995-08-16,16.0,16.0,16.0,16.0,161781
1995-08-17,16.0,16.0,16.0,16.0,156394
1995-08-18,15.4,15.4,15.4,15.4,113377
1995-08-22,16.5,16.5,16.5,16.5,251818
1995-08-23,16.6,16.6,16.6,16.6,162229
1995-08-24,17.1,17.1,17.1,17.1,171696
1995-08-25,18.8,18.8,18.8,18.8,193191
1995-08-28,19.7,19.7,19.7,19.7,200685
1995-08-29,19.5,19.5,19.5,19.5,190974
1995-08-30,19.0,19.0,19.0,19.0,186921
1995-08-31,18.9,18.9,18.9,18.9,175370
1995-09-01,20.7,20.7,20.7,20.7,0
1995-09-04,22.7,22.7,22.7,22.7,116322
1995-09-05,24.9,24.9,24.9,24.9,429036
1995-09-06,24.0,24.0,24.0,24.0,251229
1995-09-07,25.5,25.5,25.5,25.5,162471
1995-09-08,27.1,27.1,27.1,27.1,294557
1995-09-11,28.2,28.2,28.2,28.2,224255
1995-09-12,26.4,26.4,26.4,26.4,114564
1995-09-13,25.9,25.9,25.9,25.9,167683
1995-09-14,26.1,26.1,26.1,26.1,176456
1995-09-15,24.8,24.8,24.8,24.8,106935
1995-09-18,23.6,23.6,23.6,23.6,165742
1995-09-19,21.3,21.3,21.3,21.3,123615
1995-09-20,22.4,22.4,22.4,22.4,150268
1995-09-21,22.4,22.4,22.4,22.4,181674
1995-09-22,21.7,21.7,21.7,21.7,89424
1995-09-25,21.7,21.7,21.7,21.7,70806
1995-09-26,23.0,23.0,23.0,23.0,85848
1995-09-27,24.1,24.1,24.1,24.1,112635
1995-09-28,24.0,24.0,24.0,24.0,184688
1995-09-29,24.1,24.1,24.1,24.1,128008
1995-10-02,25.0,25.0,25.0,25.0,130680
1995-10-03,24.9,24.9,24.9,24.9,126044
1995-10-04,23.1,23.1,23.1,23.1,112727
1995-10-05,23.1,23.1,23.1,23.1,104113
1995-10-06,22.7,22.7,22.7,22.7,96630
1995-10-09,20.5,20.5,20.5,20.5,144317
1995-10-10,19.6,19.6,19.6,19.6,107857
1995-10-11,19.3,19.3,19.3,19.3,98420
1995-10-12,19.0,19.0,19.0,19.0,107105
1995-10-13,18.5,18.5,18.5,18.5,83432
1995-10-16,18.9,18.9,18.9,18.9,68730
1995-10-17,19.3,19.3,19.3,19.3,111477
1995-10-18,19.3,19.3,19.3,19.3,112073
1995-10-19,17.4,17.4,17.4,17.4,100000
1995-10-20,16.2,16.2,16.2,16.2,108642
1995-10-23,16.7,16.7,16.7,16.7,77485
1995-10-24,16.6,16.6,16.6,16.6,44458
1995-10-25,17.5,17.5,17.5,17.5,34057
1995-10-26,18.1,18.1,18.1,18.1,85884
1995-10-27,17.8,17.8,17.8,17.8,63118
1995-10-30,17.8,17.8,17.8,17.8,46348
1995-10-31,17.4,17.4,17.4,17.4,51351
1995-11-02,18.3,18.3,18.3,18.3,62541
1995-11-03,20.1,20.1,20.1,20.1,142488
1995-11-06,21.4,21.4,21.4,21.4,154626
1995-11-07,21.5,21.5,21.5,21.5,134930
1995-11-08,22.3,22.3,22.3,22.3,198229
1995-11-09,21.4,21.4,21.4,21.4,157897
1995-11-10,20.4,20.4,20.4,20.4,206985
1995-11-13,20.4,20.4,20.4,20.4,81936
1995-11-14,21.4,21.4,21.4,21.4,134720
1995-11-15,21.0,21.0,21.0,21.0,88738
1995-11-16,21.3,21.3,21.3,21.3,94413
1995-11-17,23.0,23.0,23.0,23.0,128587
1995-11-20,20.7,20.7,20.7,20.7,86812
1995-11-21,21.8,21.8,21.8,21.8,127110
1995-11-22,22.4,22.4,22.4,22.4,173482
1995-11-23,22.0,22.0,22.0,22.0,97000
1995-11-24,21.8,21.8,21.8,21.8,131399
1995-11-27,22.3,22.3,22.3,22.3,107915
1995-11-28,24.5,24.5,24.5,24.5,536429
1995-11-29,23.8,23.8,23.8,23.8,212899
1995-11-30,23.7,23.7,23.7,23.7,151477
1995-12-01,23.0,23.0,23.0,23.0,138891
1995-12-04,22.9,22.9,22.9,22.9,138908
1995-12-05,22.3,22.3,22.3,22.3,100516
1995-12-06,21.1,21.1,21.1,21.1,89621
1995-12-07,20.4,20.4,20.4,20.4,102181
1995-12-08,20.1,20.1,20.1,20.1,83507
1995-12-11,21.0,21.0,21.0,21.0,64952
1995-12-12,20.7,20.7,20.7,20.7,84662
1995-12-13,20.0,20.0,20.0,20.0,86225
1995-12-14,19.4,19.4,19.4,19.4,54433
1995-12-15,19.5,19.5,19.5,19.5,64462
1995-12-18,19.4,19.4,19.4,19.4,46263
1995-12-19,18.8,18.8,18.8,18.8,34601
1995-12-20,17.0,17.0,17.0,17.0,56382
1995-12-21,17.4,17.4,17.4,17.4,73218
1995-12-22,18.0,18.0,18.0,18.0,80444
1995-12-27,18.8,18.8,18.8,18.8,55160
1995-12-28,18.8,18.8,18.8,18.8,79149
1995-12-29,18.6,18.6,18.6,18.6,32151
1996-01-02,19.5,19.5,19.5,19.5,30256
1996-01-03,20.3,20.3,20.3,20.3,48916
1996-01-04,20.2,20.2,20.2,20.2,69084
1996-01-05,21.3,21.3,21.3,21.3,129859
1996-01-08,21.3,21.3,21.3,21.3,90892
1996-01-09,21.8,21.8,21.8,21.8,84610
1996-01-10,21.1,21.1,21.1,21.1,59573
1996-01-11,21.3,21.3,21.3,21.3,135939
1996-01-12,19.5,19.5,19.5,19.5,77462
1996-01-15,19.5,19.5,19.5,19.5,105000
1996-01-16,19.5,19.5,19.5,19.5,72949
1996-01-17,20.4,20.4,20.4,20.4,118529
1996-01-18,20.2,20.2,20.2,20.2,66312
1996-01-19,19.0,19.0,19.0,19.0,94184
1996-01-22,19.7,19.7,19.7,19.7,67640
1996-01-23,18.8,18.8,18.8,18.8,207340
1996-01-24,19.0,19.0,19.0,19.0,168000
1996-01-25,19.5,19.5,19.5,19.5,113615
1996-01-26,19.5,19.5,19.5,19.5,150949
1996-01-29,20.0,20.0,20.0,20.0,136225
1996-01-30,20.0,20.0,20.0,20.0,102625
1996-01-31,22.0,22.0,22.0,22.0,249341
1996-02-01,22.0,22.0,22.0,22.0,165432
1996-02-02,22.6,22.6,22.6,22.6,172765
1996-02-05,22.6,22.6,22.6,22.6,217058
1996-02-06,21.2,21.2,21.2,21.2,121722
1996-02-07,21.0,21.0,21.0,21.0,86786
1996-02-08,21.0,21.0,21.0,21.0,98881
1996-02-09,21.0,21.0,21.0,21.0,90143
1996-02-12,21.8,21.8,21.8,21.8,90344
1996-02-13,21.0,21.0,21.0,21.0,116310
1996-02-14,20.1,20.1,20.1,20.1,34428
1996-02-15,19.6,19.6,19.6,19.6,63878
1996-02-16,19.6,19.6,19.6,19.6,55969
1996-02-19,19.6,19.6,19.6,19.6,40765
1996-02-20,19.0,19.0,19.0,19.0,51105
1996-02-21,19.2,19.2,19.2,19.2,28880
1996-02-22,19.6,19.6,19.6,19.6,65128
