date,open,high,low,close,volume
2013-04-30,1671.4,1722.2,1459.5,1591.4,1755272
2013-05-01,1623.4,1623.4,1508.5,1534.9,377226
2013-05-02,1466.1,1536.7,1466.1,1520.7,1296597
2013-05-03,1534.9,1534.9,1506.6,1516.0,341846
2013-05-07,1531.1,1566.9,1507.6,1539.6,312487
2013-05-08,1597.0,1624.3,1540.8,1617.7,687981
2013-05-09,1616.8,1666.7,1605.5,1638.4,246982
2013-05-10,1638.4,1671.4,1632.8,1648.8,431879
2013-05-13,1605.5,1658.2,1600.8,1634.7,176535
2013-05-14,1620.6,1646.0,1606.4,1638.4,282753
2013-05-15,1694.9,1694.9,1611.1,1666.7,503888
2013-05-16,1676.1,1765.6,1631.8,1765.6,332726
2013-05-17,1694.9,1695.9,1647.9,1671.4,7514931
2013-05-20,1677.0,1741.1,1677.0,1717.5,131819
2013-05-21,1722.2,1722.2,1683.6,1694.0,116931
2013-05-22,1732.6,1732.6,1659.2,1692.1,281291
2013-05-23,1648.8,1704.4,1634.7,1668.6,170648
2013-05-24,1704.4,1704.4,1661.0,1686.5,172806
2013-05-28,1648.8,1704.4,1648.8,1704.4,211509
2013-05-29,1653.5,1694.9,1653.5,1668.6,87486
2013-05-30,1655.4,1694.9,1653.5,1664.8,79234
2013-05-31,1633.7,1740.6,1633.7,1740.1,1224783
2013-06-03,1683.6,1695.9,1649.7,1690.2,393640
2013-06-04,1689.3,1696.8,1634.7,1645.0,215532
2013-06-05,1629.0,1688.3,1629.0,1650.7,141789
2013-06-06,1642.2,1670.5,1636.6,1638.4,89149
2013-06-07,1633.7,1647.9,1600.8,1624.3,115773
2013-06-10,1660.1,1671.4,1572.5,1610.2,193879
2013-06-11,1610.2,1610.2,1516.0,1530.2,207878
2013-06-12,1508.5,1545.2,1451.1,1534.9,189623
2013-06-13,1517.9,1517.9,1400.2,1439.8,374604
2013-06-14,1441.6,1516.0,1441.6,1497.2,227399
2013-06-17,1483.1,1543.3,1464.2,1520.7,171719
2013-06-18,1500.0,1590.4,1483.1,1542.4,167693
2013-06-19,1523.6,1573.5,1499.1,1531.1,152503
2013-06-20,1511.3,1520.7,1448.2,1483.1,221393
2013-06-21,1505.7,1505.7,1412.4,1412.4,335395
2013-06-24,1426.6,1427.5,1319.2,1403.0,127461
2013-06-25,1458.6,1458.6,1381.4,1425.6,126450
2013-06-26,1403.0,1444.5,1359.7,1379.5,159402
2013-06-27,1365.4,1420.9,1363.5,1394.6,286321
2013-06-28,1395.5,1472.7,1395.5,1449.2,336104
2013-07-01,1452.0,1506.6,1451.1,1489.7,94266
2013-07-02,1485.9,1536.7,1482.1,1529.2,149582
2013-07-03,1544.3,1544.3,1492.5,1511.3,150779
2013-07-04,1534.9,1570.6,1521.7,1553.7,100786
2013-07-05,1572.5,1602.7,1544.3,1565.0,168235
2013-07-08,1576.3,1627.1,1551.8,1595.1,169250
2013-07-09,1638.4,1638.4,1580.1,1602.7,73080
2013-07-10,1612.1,1612.1,1548.0,1581.0,231185
2013-07-11,1598.9,1613.0,1580.1,1600.8,206232
2013-07-12,1618.7,1618.7,1545.2,1581.0,151118
2013-07-15,1563.1,1603.6,1563.1,1577.2,170688
2013-07-16,1572.5,1597.0,1525.4,1534.9,162851
2013-07-17,1518.9,1591.4,1518.9,1575.4,100296
2013-07-18,1551.8,1571.6,1519.8,1544.3,141079
2013-07-19,1560.3,1560.3,1501.0,1521.7,92425
2013-07-22,1506.6,1530.2,1506.6,1520.7,125990
2013-07-23,1516.0,1539.6,1498.1,1529.2,54771
2013-07-24,1507.6,1554.6,1507.6,1532.0,85541
2013-07-25,1506.6,1565.0,1506.6,1557.5,108149
2013-07-26,1531.1,1582.8,1531.1,1549.0,104258
2013-07-29,1537.7,1600.8,1517.0,1582.9,139075
2013-07-30,1592.3,1614.0,1559.3,1591.4,119326
2013-07-31,1591.4,1636.6,1591.4,1612.1,240240
2013-08-01,1619.6,1705.3,1614.9,1694.9,267290
2013-08-02,1647.9,1715.7,1647.9,1694.9,162877
2013-08-05,1718.5,1759.0,1681.8,1713.8,220147
2013-08-06,1713.8,1713.8,1684.6,1713.8,300634
2013-08-07,1704.4,1735.4,1695.9,1728.8,203577
2013-08-08,1713.8,1808.9,1696.8,1789.1,191560
2013-08-09,1783.5,1833.4,1746.7,1798.5,284989
2013-08-12,1789.1,1789.1,1746.7,1760.9,353462
2013-08-13,1760.9,1779.7,1727.0,1736.4,267608
2013-08-14,1718.5,1781.6,1701.5,1735.4,380737
2013-08-15,1718.5,1722.2,1664.8,1670.5,218964
2013-08-16,1682.7,1686.5,1624.3,1669.5,362194
2013-08-19,1657.3,1681.8,1629.0,1645.0,303316
2013-08-20,1647.9,1688.3,1577.2,1665.7,1009340
2013-08-21,1662.0,1687.4,1647.9,1667.6,221789
2013-08-22,1651.6,1701.5,1651.6,1670.5,322749
2013-08-23,1695.9,1737.3,1675.2,1703.4,346314
2013-08-27,1684.6,1686.3,1638.4,1647.9,330942
2013-08-28,1658.2,1660.1,1624.3,1638.4,260159
2013-08-29,1632.8,1673.3,1617.7,1651.6,359310
2013-08-30,1662.9,1684.7,1639.4,1678.0,880899
2013-09-02,1652.6,1719.4,1652.6,1697.8,265378
2013-09-03,1741.1,1741.1,1677.0,1694.9,171207
2013-09-04,1690.2,1756.1,1685.5,1748.6,475260
2013-09-05,1734.5,1756.1,1730.7,1747.7,168317
2013-09-06,1739.2,1764.6,1724.1,1764.6,261996
2013-09-09,1762.7,1792.9,1762.7,1775.0,355230
2013-09-10,1765.6,1802.3,1764.6,1781.6,357488
2013-09-11,1784.4,1802.3,1779.7,1801.3,343652
2013-09-12,1803.2,1819.2,1739.2,1819.2,696834
2013-09-13,1800.4,1830.5,1800.4,1824.9,373687
2013-09-16,1831.5,1863.5,1825.8,1843.7,437728
2013-09-17,1845.6,1858.8,1830.5,1850.3,568681
2013-09-18,1838.1,1855.0,1831.5,1855.0,739855
2013-09-19,1855.0,1857.8,1807.9,1808.9,936151
2013-09-20,1775.0,1789.1,1720.4,1760.9,15883139
2013-09-23,1735.4,1745.8,1705.3,1718.5,955030
2013-09-24,1717.5,1763.7,1713.8,1755.2,407318
2013-09-25,1747.7,1750.5,1723.2,1735.4,170079
2013-09-26,1732.6,1740.1,1715.7,1736.4,292137
2013-09-27,1732.6,1745.8,1718.0,1745.8,345348
2013-09-30,1723.2,1752.4,1723.2,1742.0,479351
2013-10-01,1739.2,1743.9,1700.6,1718.5,395566
2013-10-02,1711.9,1716.6,1662.0,1667.6,578977
2013-10-03,1659.2,1672.3,1653.5,1655.4,213441
2013-10-04,1648.8,1660.1,1645.0,1660.1,225707
2013-10-07,1648.8,1660.1,1638.4,1645.0,158547
2013-10-08,1638.4,1646.9,1623.4,1626.2,188724
2013-10-09,1619.6,1629.0,1607.4,1621.5,214355
2013-10-10,1621.5,1651.6,1621.5,1633.7,300113
2013-10-11,1636.6,1638.4,1614.9,1627.1,188682
2013-10-14,1616.8,1652.6,1616.8,1628.1,467453
2013-10-15,1646.9,1657.3,1606.4,1629.0,477325
2013-10-16,1647.9,1652.6,1624.3,1650.7,357761
2013-10-17,1640.3,1661.0,1637.5,1646.9,228613
2013-10-18,1662.0,1672.3,1627.1,1658.2,471444
2013-10-21,1646.9,1678.9,1645.0,1661.0,225066
2013-10-22,1658.2,1679.9,1614.9,1664.8,221763
2013-10-23,1661.0,1683.6,1643.1,1682.7,260878
2013-10-24,1678.0,1719.4,1666.7,1709.1,191206
2013-10-25,1707.2,1723.2,1707.2,1707.2,237871
2013-10-28,1716.6,1732.6,1709.1,1716.6,304543
2013-10-29,1701.5,1709.1,1678.9,1693.1,299242
2013-10-30,1680.8,1710.5,1679.9,1687.4,145930
2013-10-31,1706.2,1715.7,1688.3,1696.8,372849
2013-11-01,1701.5,1701.5,1678.0,1681.8,161812
2013-11-04,1684.6,1694.9,1663.9,1664.8,149926
2013-11-05,1667.6,1669.5,1611.1,1659.2,406014
2013-11-06,1661.0,1677.5,1647.9,1653.5,262651
2013-11-07,1647.9,1711.9,1614.9,1694.9,370568
2013-11-08,1678.0,1701.5,1669.3,1687.4,392976
2013-11-11,1696.8,1696.8,1656.3,1663.9,339476
2013-11-12,1666.7,1666.7,1627.1,1652.6,404139
2013-11-13,1651.6,1654.6,1627.1,1640.3,348804
2013-11-14,1644.1,1657.3,1642.2,1657.3,248912
2013-11-15,1652.6,1677.0,1633.7,1657.3,254732
2013-11-18,1629.0,1683.6,1629.0,1678.0,165096
2013-11-19,1674.2,1682.7,1654.4,1679.9,221822
2013-11-20,1674.2,1685.5,1655.4,1679.9,199776
2013-11-21,1672.3,1679.9,1662.0,1674.2,185058
2013-11-22,1681.8,1694.0,1662.9,1682.7,272073
2013-11-25,1662.9,1699.6,1662.9,1690.2,255475
2013-11-26,1685.5,1691.2,1636.6,1636.6,1022949
2013-11-27,1636.6,1650.7,1622.4,1641.3,317184
2013-11-28,1636.6,1640.3,1620.6,1621.5,167595
2013-11-29,1627.1,1629.0,1614.0,1616.8,183799
2013-12-02,1625.3,1628.1,1597.0,1620.6,215351
2013-12-03,1622.4,1641.3,1604.5,1604.5,415395
2013-12-04,1601.7,1609.3,1582.9,1591.4,169150
2013-12-05,1583.8,1606.4,1574.4,1579.1,199192
2013-12-06,1572.5,1609.3,1572.5,1596.1,206887
2013-12-09,1599.8,1603.6,1573.5,1590.4,188794
2013-12-10,1586.7,1606.4,1579.1,1599.8,267646
2013-12-11,1595.1,1605.5,1582.9,1588.5,191266
2013-12-12,1588.5,1588.5,1534.9,1538.6,383498
2013-12-13,1529.2,1550.9,1509.4,1516.0,617367
2013-12-16,1507.6,1564.1,1507.6,1549.0,244349
2013-12-17,1543.3,1550.9,1526.4,1536.7,271354
2013-12-18,1530.2,1563.1,1529.2,1561.2,238602
2013-12-19,1569.7,1598.9,1569.7,1581.0,419952
2013-12-20,1594.2,1630.0,1566.9,1627.1,729426
2013-12-23,1624.3,1630.9,1603.6,1629.0,378078
2013-12-24,1551.8,1642.2,1551.8,1634.7,73332
2013-12-27,1645.0,1659.2,1630.0,1650.7,233260
2013-12-30,1645.0,1665.7,1638.4,1645.0,232180
2013-12-31,1646.0,1662.0,1619.6,1659.2,98470
2014-01-02,1650.7,1676.1,1646.0,1658.2,159883
2014-01-03,1649.7,1667.6,1622.4,1624.3,287703
2014-01-06,1621.5,1660.1,1620.6,1651.6,234679
2014-01-07,1656.3,1694.9,1647.9,1694.9,301062
2014-01-08,1687.4,1707.2,1676.1,1676.1,485341
2014-01-09,1678.9,1698.7,1661.0,1665.7,149271
2014-01-10,1680.8,1702.5,1675.2,1691.2,290606
2014-01-13,1696.8,1704.4,1679.9,1693.1,166283
2014-01-14,1681.8,1688.3,1661.0,1673.3,539854
2014-01-15,1677.0,1692.2,1637.5,1645.0,244347
2014-01-16,1654.4,1656.3,1619.6,1619.6,182467
2014-01-17,1620.6,1637.5,1608.3,1609.3,436765
2014-01-20,1613.0,1631.8,1606.4,1629.0,308356
2014-01-21,1617.7,1667.6,1617.7,1664.8,592118
2014-01-22,1662.0,1681.8,1660.1,1671.4,263467
2014-01-23,1668.6,1676.1,1632.8,1649.7,250122
2014-01-24,1642.2,1654.4,1591.4,1597.0,300295
2014-01-27,1602.7,1670.5,1543.3,1573.5,411094
2014-01-28,1568.8,1584.8,1558.4,1584.8,237331
2014-01-29,1580.1,1596.1,1520.7,1555.6,278359
2014-01-30,1543.3,1581.0,1519.8,1569.7,280020
2014-01-31,1561.2,1569.7,1484.0,1518.9,592071
2014-02-03,1510.4,1529.2,1490.6,1492.5,442342
2014-02-04,1493.4,1501.0,1478.4,1489.7,335101
2014-02-05,1492.5,1522.6,1476.5,1505.7,325584
2014-02-06,1506.6,1520.7,1492.5,1517.0,380569
2014-02-07,1517.9,1522.6,1501.0,1511.3,323083
2014-02-10,1519.8,1519.8,1500.0,1507.6,370015
2014-02-11,1491.5,1500.8,1474.6,1485.9,662960
2014-02-12,1501.0,1505.7,1489.7,1499.1,283552
2014-02-13,1506.6,1509.4,1483.1,1496.3,194161
2014-02-14,1496.3,1502.8,1446.3,1462.4,456786
2014-02-17,1431.3,1494.4,1431.3,1491.5,311181
2014-02-18,1498.1,1498.1,1480.2,1492.5,286786
2014-02-19,1499.1,1508.5,1487.8,1500.0,262154
2014-02-20,1497.2,1507.6,1493.4,1501.9,174844
2014-02-21,1506.6,1506.6,1459.5,1459.5,416176
2014-02-24,1454.8,1481.1,1419.0,1427.5,317413
2014-02-25,1432.2,1442.6,1418.1,1435.0,690757
2014-02-26,1431.3,1440.7,1423.7,1435.0,201403
2014-02-27,1428.5,1451.1,1410.6,1411.5,256413
2014-02-28,1415.3,1426.6,1392.7,1398.3,319453
2014-03-03,1367.3,1384.2,1344.7,1357.8,252464
2014-03-04,1372.9,1433.2,1372.9,1430.3,371193
2014-03-05,1423.7,1436.9,1401.2,1421.9,185344
2014-03-06,1422.8,1449.2,1413.4,1423.7,327221
2014-03-07,1435.0,1443.5,1393.6,1393.6,201356
2014-03-10,1388.0,1416.2,1383.3,1385.1,185589
2014-03-11,1380.4,1406.8,1356.0,1404.0,379763
2014-03-12,1393.6,1420.9,1379.5,1385.1,283375
2014-03-13,1391.7,1416.2,1380.4,1383.3,273773
2014-03-14,1380.4,1391.7,1342.8,1349.4,269562
2014-03-17,1350.3,1401.1,1350.3,1398.3,341796
2014-03-18,1388.9,1436.0,1385.1,1427.5,405006
2014-03-19,1425.6,1438.8,1423.7,1429.4,617164
2014-03-20,1420.0,1430.3,1401.1,1401.1,320902
2014-03-21,1402.1,1412.4,1370.1,1389.9,960149
2014-03-24,1383.3,1397.4,1370.1,1390.8,404174
2014-03-25,1391.7,1412.4,1391.7,1398.3,321282
2014-03-26,1404.9,1412.4,1399.3,1407.7,547535
2014-03-27,1401.1,1412.4,1393.6,1412.4,244176
2014-03-28,1414.3,1426.6,1410.6,1417.2,337579
2014-03-31,1419.0,1424.7,1401.1,1406.8,329355
2014-04-01,1407.7,1414.3,1396.4,1412.4,234991
2014-04-02,1410.6,1420.0,1406.8,1407.7,581623
2014-04-03,1404.0,1410.6,1388.0,1397.4,400693
2014-04-04,1399.3,1412.4,1397.4,1408.7,632600
2014-04-07,1400.2,1415.3,1400.2,1411.5,319085
2014-04-08,1405.9,1412.4,1396.4,1409.6,275090
2014-04-09,1412.4,1427.5,1409.6,1411.5,427061
2014-04-10,1412.4,1417.2,1403.0,1409.6,267710
2014-04-11,1398.3,1407.7,1394.6,1404.9,275166
2014-04-14,1400.2,1416.2,1394.6,1414.3,390798
2014-04-15,1413.4,1417.0,1406.8,1407.7,803020
2014-04-16,1412.4,1417.2,1404.9,1412.4,434294
2014-04-17,1412.4,1431.3,1402.1,1430.3,317356
2014-04-22,1432.2,1440.7,1425.6,1429.4,403786
2014-04-23,1430.3,1434.1,1367.3,1380.4,399910
2014-04-24,1387.0,1391.7,1363.5,1386.1,271603
2014-04-25,1383.3,1411.5,1378.6,1394.6,318175
2014-04-28,1402.1,1413.4,1397.4,1406.8,225398
2014-04-29,1412.4,1420.9,1400.2,1413.4,293247
2014-04-30,1406.8,1412.4,1401.1,1410.6,396993
2014-05-01,1403.0,1414.3,1399.3,1409.6,80588
2014-05-02,1404.9,1410.6,1389.9,1393.6,207883
2014-05-06,1394.6,1401.1,1346.5,1360.7,272608
2014-05-07,1364.4,1386.1,1352.2,1381.4,342926
2014-05-08,1388.9,1393.6,1362.5,1374.8,230989
2014-05-09,1376.7,1376.7,1350.3,1365.4,180807
2014-05-12,1366.3,1369.8,1336.2,1350.3,254932
2014-05-13,1356.0,1356.0,1327.4,1349.4,327606
2014-05-14,1349.4,1356.9,1342.8,1352.2,141161
2014-05-15,1348.4,1370.1,1335.2,1362.5,513161
2014-05-16,1362.5,1371.0,1288.2,1300.4,613056
2014-05-19,1313.6,1317.3,1264.6,1267.4,369845
2014-05-20,1272.1,1301.3,1260.8,1294.7,367744
2014-05-21,1294.7,1308.9,1291.9,1301.3,249965
2014-05-22,1300.4,1314.5,1288.2,1298.5,281999
2014-05-23,1299.5,1302.3,1281.6,1289.1,251245
2014-05-27,1294.7,1308.9,1283.4,1292.9,216912
2014-05-28,1291.9,1295.7,1275.9,1288.2,294872
2014-05-29,1291.9,1292.9,1264.6,1285.3,277892
2014-05-30,1280.6,1318.3,1280.6,1291.9,463693
2014-06-02,1297.6,1348.4,1289.1,1335.2,384296
2014-06-03,1333.4,1341.8,1298.5,1299.5,315000
2014-06-04,1297.6,1320.2,1283.4,1287.2,306773
2014-06-05,1289.1,1300.4,1279.7,1284.4,355959
2014-06-06,1285.3,1318.3,1281.6,1299.5,276978
2014-06-09,1306.0,1314.5,1282.5,1305.1,285655
2014-06-10,1295.7,1318.3,1286.3,1307.9,314250
2014-06-11,1311.7,1326.8,1294.7,1323.9,399128
2014-06-12,1326.8,1326.8,1311.7,1318.3,273191
2014-06-13,1316.4,1327.7,1313.6,1326.8,364279
2014-06-16,1328.6,1328.6,1298.5,1303.2,391500
2014-06-17,1301.3,1309.8,1283.4,1302.3,334828
2014-06-18,1299.5,1306.0,1283.4,1289.1,168554
2014-06-19,1295.7,1319.2,1295.7,1302.3,359826
2014-06-20,1306.0,1319.2,1301.3,1309.8,354250
2014-06-23,1306.0,1306.0,1278.7,1288.2,222162
2014-06-24,1290.0,1295.7,1269.5,1288.2,281507
2014-06-25,1286.3,1288.2,1248.6,1254.3,353208
2014-06-26,1259.0,1281.6,1250.5,1273.1,250424
2014-06-27,1275.9,1282.5,1265.6,1273.1,212930
2014-06-30,1275.9,1286.3,1263.7,1263.7,218533
2014-07-01,1268.4,1277.8,1256.1,1259.9,401987
2014-07-02,1260.8,1297.6,1256.1,1274.0,254481
2014-07-03,1274.0,1280.6,1255.2,1258.0,230862
2014-07-04,1259.9,1261.8,1233.5,1248.6,290752
2014-07-07,1252.4,1252.4,1233.4,1242.0,246651
2014-07-08,1244.8,1265.6,1239.2,1252.4,305627
2014-07-09,1225.1,1241.1,1215.6,1235.4,414962
2014-07-10,1240.1,1246.7,1222.2,1235.4,657335
2014-07-11,1259.9,1275.9,1259.9,1272.1,768316
2014-07-14,1270.3,1300.0,1268.4,1291.0,341468
2014-07-15,1292.9,1313.6,1291.9,1309.8,384003
2014-07-16,1307.0,1320.2,1299.5,1317.3,443061
2014-07-17,1312.6,1320.1,1305.1,1312.6,315130
2014-07-18,1309.8,1322.1,1298.5,1319.2,431969
2014-07-21,1319.2,1323.9,1293.8,1297.6,299544
2014-07-22,1302.3,1323.9,1298.5,1311.7,241358
2014-07-23,1307.0,1316.4,1297.6,1307.0,332825
2014-07-24,1307.9,1321.1,1298.5,1300.4,261652
2014-07-25,1294.7,1322.1,1294.7,1300.4,211738
2014-07-28,1302.3,1312.6,1298.5,1301.3,224649
2014-07-29,1307.0,1335.2,1301.3,1331.5,229691
2014-07-30,1330.5,1330.5,1306.0,1309.8,211447
2014-07-31,1303.2,1311.7,1293.8,1309.8,330036
2014-08-01,1305.1,1315.5,1275.9,1288.2,354141
2014-08-04,1288.2,1293.8,1280.6,1286.3,195615
2014-08-05,1287.2,1301.3,1282.5,1293.8,248151
2014-08-06,1291.0,1321.1,1283.4,1294.7,395906
2014-08-07,1282.5,1306.0,1219.4,1226.0,844156
2014-08-08,1229.8,1237.3,1209.1,1213.8,562222
2014-08-11,1218.5,1242.0,1210.0,1211.9,451036
2014-08-12,1209.1,1222.2,1206.2,1212.8,420257
2014-08-13,1205.3,1254.3,1202.5,1250.5,400148
2014-08-14,1248.6,1268.4,1246.7,1249.5,335921
2014-08-15,1248.6,1270.3,1245.8,1249.5,275405
2014-08-18,1251.4,1266.5,1248.6,1261.8,308200
2014-08-19,1262.7,1280.6,1262.7,1274.0,225372
2014-08-20,1270.3,1288.2,1270.3,1285.3,354487
2014-08-21,1283.4,1297.6,1281.6,1291.9,201740
2014-08-22,1291.9,1313.6,1284.4,1295.7,317893
2014-08-26,1299.5,1323.0,1296.6,1314.5,243560
2014-08-27,1308.9,1321.1,1302.3,1317.3,235662
2014-08-28,1314.5,1319.2,1303.2,1319.2,754479
2014-08-29,1321.1,1333.4,1319.2,1331.5,351043
2014-09-01,1305.1,1322.1,1295.7,1322.1,179177
2014-09-02,1321.1,1327.7,1313.6,1322.1,237998
2014-09-03,1323.9,1368.2,1323.9,1347.5,637005
2014-09-04,1347.5,1384.2,1340.9,1383.3,347923
2014-09-05,1372.9,1372.9,1322.1,1333.4,447043
2014-09-08,1327.7,1346.5,1320.2,1345.6,338934
2014-09-09,1341.8,1343.7,1313.6,1313.6,348365
2014-09-10,1308.9,1322.1,1297.6,1319.2,205718
2014-09-11,1322.1,1322.1,1289.1,1299.5,573031
2014-09-12,1304.2,1306.0,1291.9,1292.9,254696
2014-09-15,1291.0,1293.8,1275.0,1288.2,319924
2014-09-16,1282.5,1282.5,1271.2,1276.9,402726
2014-09-17,1272.1,1282.5,1268.4,1271.2,362893
2014-09-18,1267.4,1279.7,1267.4,1274.0,1487718
2014-09-19,1283.4,1294.7,1276.9,1287.2,858101
2014-09-22,1283.4,1294.7,1277.8,1292.9,457773
2014-09-23,1293.8,1293.8,1259.9,1260.8,467814
2014-09-24,1259.0,1263.7,1250.5,1261.8,2075159
2014-09-25,1261.8,1271.7,1249.5,1250.5,371176
2014-09-26,1249.5,1250.5,1230.7,1247.7,297246
2014-09-29,1245.8,1265.6,1241.9,1263.7,311821
2014-09-30,1257.1,1263.7,1245.8,1255.2,490982
2014-10-01,1261.8,1263.7,1241.1,1249.5,314824
2014-10-02,1244.8,1264.6,1243.0,1245.8,433935
2014-10-03,1247.7,1255.2,1239.2,1245.8,372820
2014-10-06,1244.8,1254.3,1238.2,1249.5,463367
2014-10-07,1249.5,1259.0,1242.0,1252.4,332200
2014-10-08,1243.0,1258.0,1237.3,1250.5,436060
2014-10-09,1257.1,1265.6,1240.1,1242.0,424598
2014-10-10,1235.4,1248.6,1225.1,1231.7,382127
2014-10-13,1224.1,1226.9,1207.2,1224.1,541863
2014-10-14,1216.6,1248.6,1209.1,1244.8,638491
2014-10-15,1244.8,1245.8,1193.0,1193.0,776993
2014-10-16,1200.6,1208.1,1176.7,1197.8,1280183
2014-10-17,1192.1,1217.5,1189.3,1215.6,547088
2014-10-20,1210.9,1222.2,1198.7,1204.3,845592
2014-10-21,1200.6,1237.3,1194.9,1236.4,465172
2014-10-22,1232.6,1253.3,1224.1,1251.4,530029
2014-10-23,1243.9,1255.2,1227.9,1253.3,257833
2014-10-24,1248.6,1251.4,1237.3,1243.0,2021345
2014-10-27,1255.2,1255.2,1239.2,1248.6,328822
2014-10-28,1255.2,1279.7,1253.3,1258.0,383785
2014-10-29,1264.6,1284.4,1264.6,1266.5,440491
2014-10-30,1266.5,1271.2,1253.3,1270.3,283035
2014-10-31,1280.6,1292.9,1269.3,1279.7,563212
2014-11-03,1278.7,1290.0,1273.1,1279.7,359400
2014-11-04,1275.9,1288.2,1265.6,1265.6,438225
2014-11-05,1269.3,1307.0,1269.3,1298.5,666600
2014-11-06,1280.6,1318.3,1250.5,1311.7,652772
2014-11-07,1315.5,1323.0,1278.7,1280.6,487744
2014-11-10,1285.3,1293.8,1265.6,1285.3,318176
2014-11-11,1281.6,1289.1,1275.9,1287.2,189702
2014-11-12,1284.4,1298.5,1282.5,1287.2,309752
2014-11-13,1284.4,1301.3,1284.4,1295.7,528043
2014-11-14,1294.7,1297.6,1282.5,1293.8,266218
2014-11-17,1288.2,1301.3,1282.5,1294.7,283043
2014-11-18,1303.2,1315.5,1298.5,1307.9,284894
2014-11-19,1307.9,1333.4,1304.2,1316.4,443971
2014-11-20,1314.5,1346.5,1309.2,1339.9,567079
2014-11-21,1346.5,1385.1,1337.1,1371.0,655850
2014-11-24,1374.8,1375.7,1351.2,1355.0,308466
2014-11-25,1356.0,1375.7,1355.0,1361.6,514354
2014-11-26,1357.8,1364.4,1342.8,1344.7,552275
2014-11-27,1349.4,1368.2,1346.8,1362.5,305460
2014-11-28,1362.5,1372.9,1362.5,1367.3,575690
2014-12-01,1360.7,1371.0,1329.6,1330.5,538625
2014-12-02,1330.5,1364.4,1330.5,1343.7,749628
2014-12-03,1337.1,1338.1,1318.3,1319.2,519974
2014-12-04,1326.8,1333.4,1308.9,1326.8,891632
2014-12-05,1334.3,1358.8,1334.3,1347.5,312189
2014-12-08,1348.4,1351.2,1321.1,1321.1,308031
2014-12-09,1319.2,1324.9,1224.1,1251.4,774022
