date,open,high,low,close,volume
2005-02-10,29.6,30.0,28.0,28.1,1397541
2005-02-11,28.4,28.4,27.9,28.3,146970
2005-02-14,28.2,28.7,28.1,28.5,106446
2005-02-15,28.6,28.7,28.5,28.6,36758
2005-02-16,28.6,29.0,28.5,28.9,174048
2005-02-17,28.9,28.9,28.5,28.8,80853
2005-02-18,28.6,28.8,28.2,28.8,68359
2005-02-21,28.3,29.0,28.0,28.8,123084
2005-02-22,28.7,29.2,28.4,29.1,92140
2005-02-23,28.8,29.8,28.8,29.8,125146
2005-02-24,29.9,31.2,29.9,31.0,336280
2005-02-25,31.5,31.8,31.0,31.3,242373
2005-02-28,31.6,31.8,31.0,31.0,97450
2005-03-01,30.5,31.1,30.3,31.0,46322
2005-03-02,31.0,31.1,30.8,31.0,195581
2005-03-03,30.9,31.3,30.9,31.0,29753
2005-03-04,31.0,31.0,30.2,30.5,20890
2005-03-07,30.3,30.6,29.6,30.2,37093
2005-03-08,30.0,30.2,29.6,30.2,51190
2005-03-09,30.2,30.2,29.8,29.9,37684
2005-03-10,29.9,29.9,29.2,29.5,57764
2005-03-11,29.6,29.6,28.9,29.2,53140
2005-03-14,29.2,29.4,28.8,29.1,22170
2005-03-15,29.0,29.3,28.7,29.3,11489
2005-03-16,29.2,29.7,28.9,29.3,40217
2005-03-17,29.0,29.2,28.8,29.0,19244
2005-03-18,29.0,29.2,29.0,29.0,30561
2005-03-21,29.0,29.3,29.0,29.0,17813
2005-03-22,29.0,29.0,28.7,28.8,31618
2005-03-23,28.7,28.8,28.5,28.6,51355
2005-03-24,28.5,28.6,28.3,28.6,101214
2005-03-29,28.5,28.5,28.1,28.3,3264
2005-03-30,28.3,28.9,28.3,28.9,5980
2005-03-31,29.0,29.0,28.7,28.8,8146
2005-04-01,28.6,28.8,28.4,28.8,48448
2005-04-04,28.8,28.8,28.5,28.5,55800
2005-04-05,28.4,28.9,28.4,28.9,3782
2005-04-06,28.9,29.1,28.6,29.1,3329
2005-04-07,29.0,29.2,28.6,29.0,3674
2005-04-11,28.5,29.0,28.5,28.8,4455
2005-04-12,29.0,29.0,28.5,28.5,9752
2005-04-13,28.4,29.0,28.4,28.7,7855
2005-04-14,28.6,29.0,28.6,29.0,9195
2005-04-15,28.7,29.1,28.6,29.0,8615
2005-04-18,28.5,28.9,28.0,28.9,22420
2005-04-19,28.5,28.5,28.1,28.2,1451
2005-04-20,28.2,28.5,27.6,27.9,11247
2005-04-21,28.0,28.0,27.0,27.0,3966
2005-04-22,27.1,27.1,26.1,26.5,5377
2005-04-25,26.0,26.0,24.9,25.3,38750
2005-04-26,25.4,25.5,24.5,24.9,9189
2005-04-27,25.0,25.0,23.9,23.9,21709
2005-04-28,23.8,24.0,22.8,24.0,26397
2005-04-29,24.0,25.2,23.8,25.0,24060
2005-05-02,25.5,25.7,25.3,25.7,2710
2005-05-04,25.9,25.9,25.3,25.5,5036
2005-05-05,25.2,25.4,24.6,25.3,4889
2005-05-06,24.7,25.2,24.7,25.0,4032
2005-05-09,25.3,25.3,25.0,25.2,12869
2005-05-10,25.4,25.4,24.9,25.0,8844
2005-05-11,24.8,25.0,24.8,25.0,6953
2005-05-12,24.9,25.1,24.8,25.0,5815
2005-05-13,24.9,25.0,24.7,25.0,3105
2005-05-16,25.0,25.2,24.5,24.9,8531
2005-05-17,24.9,25.1,24.9,25.1,9998
2005-05-18,24.9,25.0,24.8,25.0,3503
2005-05-19,25.0,25.2,24.5,25.2,4924
2005-05-20,25.1,25.2,25.0,25.1,21698
2005-05-23,25.0,25.1,24.8,25.0,8123
2005-05-24,25.0,25.4,25.0,25.0,10449
2005-05-25,25.1,25.8,25.1,25.5,24186
2005-05-27,25.7,25.9,25.3,25.5,3923
2005-05-30,25.0,25.4,25.0,25.1,3704
2005-05-31,25.3,26.1,25.3,26.0,11243
2005-06-01,26.1,26.8,26.0,26.5,114143
2005-06-02,26.6,26.6,26.2,26.4,21688
2005-06-03,26.6,26.6,26.4,26.4,10840
2005-06-06,26.4,26.5,25.9,26.0,19655
2005-06-07,26.4,26.4,26.0,26.3,5359
2005-06-08,26.1,26.3,25.8,25.9,10774
2005-06-09,26.2,26.3,25.7,26.0,9183
2005-06-10,26.0,26.0,25.8,26.0,9624
2005-06-13,26.0,26.1,25.6,26.0,19814
2005-06-14,26.0,26.2,25.9,26.1,44134
2005-06-15,26.1,27.1,26.1,27.0,318833
2005-06-16,27.5,27.6,26.5,26.9,27708
2005-06-17,27.0,27.1,27.0,27.1,10140
2005-06-20,27.2,27.2,26.6,27.0,7029
2005-06-21,27.0,27.3,26.8,27.3,14983
2005-06-22,27.2,27.4,27.0,27.0,14367
2005-06-23,27.2,27.2,26.8,27.2,9779
2005-06-24,27.2,27.2,26.9,27.2,32799
2005-06-27,27.0,27.0,26.8,27.0,3031
2005-06-28,26.9,27.0,26.8,26.8,2550
2005-06-29,26.8,26.8,26.3,26.6,12228
2005-06-30,26.5,27.2,26.5,27.2,30245
2005-07-01,27.2,27.3,27.0,27.2,54687
2005-07-04,27.2,27.5,27.2,27.4,11843
2005-07-05,27.5,27.5,27.0,27.2,53363
2005-07-06,27.0,27.2,26.8,27.2,6067
2005-07-07,27.3,27.4,26.8,27.1,19379
2005-07-08,27.1,27.2,27.0,27.2,7276
2005-07-11,27.1,27.1,26.8,26.9,4826
2005-07-12,26.6,27.1,26.5,27.1,4960
2005-07-13,27.0,27.0,26.9,27.0,5554
2005-07-14,27.0,27.0,26.7,27.0,5173
2005-07-15,26.8,26.9,26.7,26.9,3102
