date,open,high,low,close,volume
2007-11-30,0.93,1.71,0.93,1.13,1126610
2007-12-03,1.23,1.23,1.0,1.02,212480
2007-12-04,0.98,1.01,0.92,0.93,137500
2007-12-05,0.95,1.0,0.93,0.96,153330
2007-12-06,0.98,0.98,0.94,0.94,52140
2007-12-07,0.95,0.96,0.93,0.96,118870
2007-12-10,0.97,0.97,0.93,0.95,32220
2007-12-11,0.93,0.93,0.87,0.9,26040
2007-12-12,0.88,0.9,0.88,0.89,13130
2007-12-13,0.89,0.89,0.84,0.89,72440
2007-12-14,0.9,0.9,0.84,0.9,49120
2007-12-17,0.83,0.89,0.82,0.83,30400
2007-12-18,0.84,0.9,0.84,0.9,25440
2007-12-19,0.91,0.93,0.89,0.92,12140
2007-12-20,0.9,0.91,0.86,0.91,28490
2007-12-21,0.92,0.92,0.88,0.91,7050
2007-12-27,0.9,0.9,0.9,0.9,2050
2007-12-28,0.85,0.94,0.85,0.9,49020
2008-01-02,0.94,0.94,0.94,0.94,3660
2008-01-03,0.91,0.92,0.9,0.9,22520
2008-01-04,0.91,0.93,0.91,0.91,22870
2008-01-07,0.91,0.91,0.9,0.9,27020
2008-01-08,0.92,0.92,0.88,0.92,13310
2008-01-09,0.91,0.91,0.87,0.87,11760
2008-01-10,0.89,0.9,0.87,0.87,10770
2008-01-11,0.85,0.85,0.85,0.85,200
2008-01-14,0.87,0.9,0.83,0.88,44830
2008-01-15,0.88,0.88,0.87,0.88,11100
2008-01-16,0.88,0.88,0.83,0.84,3620
2008-01-17,0.85,0.85,0.85,0.85,3000
2008-01-18,0.86,0.86,0.83,0.83,5200
2008-01-21,0.83,0.83,0.79,0.79,10200
2008-01-22,0.81,0.81,0.81,0.81,9280
2008-01-23,0.81,0.87,0.78,0.87,9330
2008-01-24,0.87,0.89,0.86,0.89,9760
2008-01-25,0.91,0.91,0.91,0.91,1430
2008-01-28,0.9,0.9,0.9,0.9,3540
2008-01-29,0.93,0.93,0.92,0.92,2250
2008-01-30,0.95,0.95,0.93,0.95,3610
2008-01-31,0.95,0.95,0.91,0.93,7500
2008-02-01,0.95,0.95,0.91,0.93,12940
2008-02-04,0.95,0.95,0.86,0.95,16670
2008-02-05,0.95,0.95,0.93,0.93,750
2008-02-06,0.93,0.93,0.93,0.93,10520
2008-02-07,0.95,0.96,0.95,0.95,2200
2008-02-08,0.95,0.99,0.95,0.99,12400
2008-02-11,0.96,0.99,0.96,0.99,5250
2008-02-12,0.98,0.98,0.96,0.97,19510
2008-02-13,0.97,0.97,0.93,0.93,29000
2008-02-14,0.96,0.96,0.96,0.96,9500
2008-02-15,0.95,0.95,0.95,0.95,8500
2008-02-18,0.95,0.95,0.95,0.95,102000
2008-02-19,0.95,0.95,0.95,0.95,6500
2008-02-20,0.94,0.94,0.91,0.94,11650
2008-02-21,0.94,0.94,0.94,0.94,500
2008-02-22,0.94,0.94,0.93,0.93,170500
2008-02-25,0.88,0.94,0.88,0.94,4500
2008-02-26,0.94,0.94,0.94,0.94,200
2008-02-27,0.94,0.94,0.94,0.94,2000
2008-02-28,0.94,0.94,0.94,0.94,200
