date,open,high,low,close,volume
2001-02-05,583.21,607.96,573.89,584.54,16347884
2001-02-06,589.86,589.86,556.59,570.16,12970628
2001-02-07,574.96,582.41,557.92,573.36,13521552
2001-02-08,571.12,596.25,565.91,587.2,16751064
2001-02-09,577.09,585.6,572.83,577.35,9768704
2001-02-12,562.45,582.14,562.45,571.76,14338817
2001-02-13,578.15,593.06,572.83,588.8,18388124
2001-02-14,587.73,599.18,579.22,590.93,12749670
2001-02-15,596.25,612.22,581.08,601.57,14023772
2001-02-16,601.57,612.22,589.86,604.77,8532459
2001-02-19,593.06,604.77,589.06,595.19,5415122
2001-02-20,589.86,609.99,589.86,598.91,7014679
2001-02-21,604.77,612.22,595.19,598.38,5980279
2001-02-22,597.58,603.7,585.87,596.52,7707812
2001-02-23,576.13,612.12,576.13,603.7,9850552
2001-02-26,598.38,631.39,598.38,602.64,9275206
2001-02-27,588.8,607.96,580.81,590.93,6588708
2001-02-28,585.07,595.19,581.72,587.73,8542732
2001-03-01,593.59,593.59,569.63,587.73,9544886
2001-03-02,585.6,590.93,566.44,574.96,3961044
2001-03-05,584.54,585.6,565.37,579.75,2693614
2001-03-06,569.63,599.45,569.63,588.8,9653913
2001-03-07,593.32,599.45,585.6,595.19,3039936
2001-03-08,617.55,617.55,564.31,588.8,9643814
2001-03-09,617.55,617.55,581.34,585.6,3307068
2001-03-12,583.47,590.66,566.44,576.55,3666073
2001-03-13,569.63,574.16,558.99,563.24,10130826
2001-03-14,563.24,566.44,543.01,551.53,10458738
2001-03-15,547.27,564.31,545.14,564.31,6720120
2001-03-16,564.31,568.57,543.01,553.66,10187378
2001-03-19,553.13,584.27,548.87,579.22,6930097
2001-03-20,579.22,585.07,561.11,567.5,6845431
2001-03-21,539.82,576.55,539.82,556.32,3883591
2001-03-22,559.52,559.52,511.07,531.3,5638256
2001-03-23,540.88,558.99,528.64,553.66,9013142
2001-03-26,564.31,564.31,543.55,553.66,10601519
2001-03-27,549.67,562.18,542.48,553.66,5973603
2001-03-28,552.33,552.6,523.05,540.88,8276109
2001-03-29,540.88,550.47,534.5,545.14,5750776
2001-03-30,553.66,553.66,516.4,534.5,5463837
2001-04-02,537.16,539.02,521.72,535.56,7150491
2001-04-03,535.56,545.14,527.04,539.82,6508507
2001-04-04,539.82,553.66,529.17,553.66,9405195
2001-04-05,546.74,568.57,544.08,563.24,7715902
2001-04-06,568.57,568.57,550.47,555.79,7340859
2001-04-09,555.26,566.97,543.01,556.32,6125872
2001-04-10,556.32,561.11,549.4,561.11,5250388
2001-04-11,552.6,576.55,550.47,574.96,6608480
2001-04-12,571.5,576.02,553.66,569.63,3819149
2001-04-17,565.37,572.29,553.66,566.44,5262078
2001-04-18,530.77,574.96,530.77,569.63,4808967
2001-04-19,575.75,586.93,558.45,574.96,8684214
2001-04-20,561.11,603.7,561.11,580.28,6526890
2001-04-23,553.66,579.75,553.66,573.36,3740859
2001-04-24,578.15,588.8,558.99,571.76,10550366
2001-04-25,555.79,578.15,555.79,569.1,2787745
2001-04-26,572.29,572.83,559.35,568.57,4020658
2001-04-27,568.57,578.95,561.11,570.16,4858951
2001-04-30,565.11,578.15,554.73,570.7,7021573
2001-05-01,549.4,572.83,549.4,567.5,3578113
2001-05-02,563.78,572.29,562.71,569.1,7042701
2001-05-03,566.97,572.83,560.05,564.31,4627460
2001-05-04,565.37,565.37,556.59,564.31,5693601
2001-05-08,556.86,565.37,555.79,561.11,6227980
2001-05-09,558.45,568.57,551.53,562.71,6757543
2001-05-10,561.38,574.96,554.73,574.96,9002062
2001-05-11,574.96,574.96,561.11,562.18,6940670
2001-05-14,566.17,570.7,543.01,543.01,5352443
2001-05-15,561.11,564.31,553.66,556.86,3514619
2001-05-16,557.92,571.76,554.73,570.16,4469655
2001-05-17,568.3,569.63,534.5,537.69,21706788
2001-05-18,540.88,546.21,530.24,541.95,10399899
2001-05-21,541.68,545.41,533.43,541.42,6689759
2001-05-22,541.42,582.41,541.42,577.09,22709112
2001-05-23,576.02,576.02,553.13,566.97,30057808
