date,open,high,low,close,volume
1990-01-03,188.9,188.9,188.9,188.9,0
1990-01-04,195.9,195.9,195.9,195.9,0
1990-01-09,196.9,196.9,196.9,196.9,0
1990-01-11,195.9,195.9,195.9,195.9,0
1990-01-12,194.9,194.9,194.9,194.9,0
1990-01-15,192.9,192.9,192.9,192.9,0
1990-01-16,187.9,187.9,187.9,187.9,0
1990-01-17,186.9,186.9,186.9,186.9,0
1990-01-18,184.9,184.9,184.9,184.9,0
1990-01-19,181.9,181.9,181.9,181.9,0
1990-01-22,179.9,179.9,179.9,179.9,0
1990-01-23,180.9,180.9,180.9,180.9,0
1990-01-24,183.9,183.9,183.9,183.9,0
1990-01-25,184.9,184.9,184.9,184.9,0
1990-01-29,185.9,185.9,185.9,185.9,0
1990-01-30,183.9,183.9,183.9,183.9,0
1990-02-01,184.9,184.9,184.9,184.9,0
1990-02-02,187.9,187.9,187.9,187.9,0
1990-02-05,185.9,185.9,185.9,185.9,0
1990-02-06,183.9,183.9,183.9,183.9,0
1990-02-07,185.9,185.9,185.9,185.9,0
1990-02-09,183.9,183.9,183.9,183.9,0
1990-02-12,181.9,181.9,181.9,181.9,0
1990-02-13,178.9,178.9,178.9,178.9,0
1990-02-16,180.9,180.9,180.9,180.9,0
1990-02-19,175.9,175.9,175.9,175.9,0
1990-02-20,174.9,174.9,174.9,174.9,0
1990-02-22,175.9,175.9,175.9,175.9,0
1990-02-23,169.9,169.9,169.9,169.9,0
1990-02-26,171.9,171.9,171.9,171.9,0
1990-02-27,174.9,174.9,174.9,174.9,0
1990-02-28,177.9,177.9,177.9,177.9,0
1990-03-01,175.9,175.9,175.9,175.9,0
1990-03-05,172.9,172.9,172.9,172.9,0
1990-03-06,167.9,167.9,167.9,167.9,0
1990-03-07,173.9,173.9,173.9,173.9,0
1990-03-08,176.9,176.9,176.9,176.9,0
1990-03-09,177.9,177.9,177.9,177.9,0
1990-03-13,176.9,176.9,176.9,176.9,0
1990-03-14,178.9,178.9,178.9,178.9,0
1990-03-15,179.9,179.9,179.9,179.9,0
1990-03-20,181.9,181.9,181.9,181.9,0
1990-03-21,179.9,179.9,179.9,179.9,0
1990-03-22,173.9,173.9,173.9,173.9,0
1990-03-23,174.9,174.9,174.9,174.9,0
1990-03-26,173.9,173.9,173.9,173.9,0
1990-03-27,171.9,171.9,171.9,171.9,0
1990-03-28,170.9,170.9,170.9,170.9,0
1990-03-29,171.9,171.9,171.9,171.9,0
1990-04-02,173.9,173.9,173.9,173.9,0
1990-04-03,173.4,173.4,173.4,173.4,0
1990-04-04,173.9,173.9,173.9,173.9,0
1990-04-05,174.9,174.9,174.9,174.9,0
1990-04-06,173.9,173.9,173.9,173.9,0
1990-04-09,175.9,175.9,175.9,175.9,0
1990-04-18,176.9,176.9,176.9,176.9,0
1990-04-19,173.9,173.9,173.9,173.9,0
1990-04-23,174.9,174.9,174.9,174.9,0
1990-04-25,176.9,176.9,176.9,176.9,0
1990-04-26,177.9,177.9,177.9,177.9,0
1990-04-27,172.9,172.9,172.9,172.9,0
1990-04-30,161.9,161.9,161.9,161.9,0
1990-05-01,156.9,156.9,156.9,156.9,0
1990-05-02,158.9,158.9,158.9,158.9,0
1990-05-03,159.9,159.9,159.9,159.9,0
1990-05-04,163.9,163.9,163.9,163.9,0
1990-05-08,166.9,166.9,166.9,166.9,0
1990-05-09,164.9,164.9,164.9,164.9,0
1990-05-10,161.9,161.9,161.9,161.9,0
1990-05-11,163.9,163.9,163.9,163.9,0
1990-05-14,165.9,165.9,165.9,165.9,0
1990-05-15,163.9,163.9,163.9,163.9,0
1990-05-16,162.9,162.9,162.9,162.9,0
1990-05-17,165.9,165.9,165.9,165.9,0
1990-05-18,163.9,163.9,163.9,163.9,0
1990-05-21,164.9,164.9,164.9,164.9,0
1990-05-22,166.4,166.4,166.4,166.4,0
1990-05-23,167.9,167.9,167.9,167.9,0
1990-05-24,168.9,168.9,168.9,168.9,0
1990-05-25,166.9,166.9,166.9,166.9,0
1990-05-29,167.9,167.9,167.9,167.9,0
