date,open,high,low,close,volume
1999-01-05,1036.6,1053.5,1035.1,1049.5,2250598
1999-01-06,1069.3,1105.3,1069.3,1104.3,417536
1999-01-07,1098.1,1183.0,1055.2,1059.2,955651
1999-01-08,1054.9,1058.2,1045.8,1053.9,1135825
1999-01-11,1057.2,1059.2,1038.1,1053.1,383805
1999-01-12,1047.6,1047.6,1023.0,1028.6,167208
1999-01-13,1029.1,1029.1,976.0,981.0,242583
1999-01-14,988.6,992.6,891.4,985.6,1515513
1999-01-15,985.8,995.9,985.8,991.8,460754
1999-01-18,991.9,992.9,975.5,978.2,295135
1999-01-19,980.7,980.7,966.5,970.6,967135
1999-01-20,969.8,983.0,963.3,977.9,3690778
1999-01-21,981.8,981.8,969.7,972.8,1140785
1999-01-22,973.7,975.0,962.8,965.9,1329935
1999-01-25,970.6,987.9,970.6,983.8,1145551
1999-01-26,982.1,990.2,982.1,987.2,274709
1999-01-27,989.5,989.7,978.3,985.9,1510571
1999-01-28,996.9,1005.2,994.8,998.9,2728958
1999-01-29,1004.6,1022.3,1002.8,1018.2,1278376
1999-02-01,1022.5,1032.3,1018.4,1030.3,153752
1999-02-02,1027.6,1043.0,1027.6,1043.5,549098
1999-02-03,1050.9,1140.3,1050.5,1136.6,1832285
1999-02-04,1144.0,1208.9,1106.1,1111.2,608205
1999-02-05,1106.7,1113.8,1104.6,1108.2,818731
1999-02-08,1112.9,1124.5,1102.9,1109.1,764680
1999-02-09,1116.7,1121.9,1110.1,1117.8,1556958
1999-02-10,1108.7,1129.0,1104.6,1124.9,681262
1999-02-11,1133.9,1160.6,1133.9,1145.7,1633030
1999-02-12,1147.2,1162.5,1145.1,1156.9,1380934
1999-02-15,1162.4,1162.4,1148.0,1153.2,456823
1999-02-16,1167.2,1172.4,1155.8,1160.0,1891323
1999-02-17,1162.1,1166.6,1153.8,1160.5,1162563
1999-02-18,1160.5,1161.5,1152.2,1157.4,741283
1999-02-19,1151.2,1160.1,1143.7,1155.9,1424404
1999-02-22,1158.3,1165.7,1151.0,1153.1,1336967
1999-02-23,1143.6,1149.8,1138.4,1145.2,1849681
1999-02-24,1135.4,1148.8,1134.4,1150.9,642193
1999-02-25,1155.3,1157.3,1149.1,1154.7,275499
1999-02-26,1155.4,1194.8,1153.3,1190.4,529185
1999-03-01,1218.4,1232.0,1202.7,1202.7,2909654
1999-03-02,1188.4,1193.6,1162.2,1172.2,4010938
1999-03-03,1172.1,1182.6,1172.1,1178.4,1237462
1999-03-04,1180.1,1187.2,1169.5,1174.3,663895
