date,open,high,close,low,volume
2008-11-17,15.6,15.69,15.2,15.25,981126
2008-11-18,15.25,15.25,13.94,14.0,660862
2008-11-19,14.14,14.29,13.91,14.04,276729
2008-11-20,13.8,13.81,13.32,13.6,92501
2008-11-21,13.6,14.18,13.6,14.0,61697
2008-11-24,14.2,14.99,14.2,14.4,162345
2008-11-25,14.7,14.73,14.4,14.5,53323
2008-11-26,14.58,14.58,14.3,14.3,37107
2008-11-27,14.4,14.57,14.3,14.35,13131
2008-11-28,14.4,14.66,14.35,14.62,19523
2008-12-01,14.61,14.75,14.61,14.68,13938
2008-12-02,14.68,15.37,14.68,15.15,34664
2008-12-03,15.2,15.3,15.2,15.27,14087
2008-12-04,15.3,15.46,15.27,15.32,39508
2008-12-05,15.37,15.38,15.03,15.25,35396
2008-12-08,15.31,15.35,15.1,15.15,10573
2008-12-09,15.15,15.35,15.03,15.1,72868
2008-12-10,15.1,15.14,15.0,15.0,29359
2008-12-11,15.0,15.05,14.95,15.0,63369
2008-12-12,15.0,15.1,15.0,15.06,9074
2008-12-15,15.0,15.14,15.0,15.0,18038
2008-12-16,15.0,15.0,14.9,15.0,23185
2008-12-17,14.97,14.97,14.25,14.25,9286
2008-12-18,14.44,14.44,13.76,13.87,6735
2008-12-19,13.87,14.13,13.8,13.9,6118
2008-12-22,14.0,14.0,13.75,13.76,7423
2008-12-23,13.75,13.8,13.6,13.8,21717
2008-12-29,13.9,13.9,13.62,13.79,13527
2008-12-30,13.83,13.9,13.71,13.89,33524
2008-12-31,14.1,14.2,13.9,14.0,19607
2009-01-05,14.21,14.21,14.0,14.08,6105
2009-01-06,14.2,14.25,14.1,14.23,64719
2009-01-07,14.37,14.37,13.99,13.99,29557
2009-01-08,14.1,14.1,13.72,13.92,14432
2009-01-09,13.82,13.95,13.8,13.8,32574
2009-01-12,13.9,13.9,13.55,13.55,83259
2009-01-13,13.6,13.6,13.36,13.4,17647
2009-01-14,13.37,13.5,13.26,13.4,317537
2009-01-15,13.4,13.4,13.01,13.1,136818
2009-01-16,13.21,13.21,13.01,13.07,9181
2009-01-19,13.03,13.03,12.54,12.66,43256
2009-01-20,12.81,12.84,12.4,12.48,38780
2009-01-21,11.72,12.35,11.69,12.3,34045
2009-01-22,12.44,12.44,11.99,12.11,4505
2009-01-23,12.25,12.25,11.55,11.85,34791
2009-01-26,11.94,11.94,11.51,11.6,7291
2009-01-27,11.64,11.74,11.54,11.6,6051
2009-01-28,11.6,11.6,11.49,11.5,32591
2009-01-29,11.5,11.6,11.16,11.4,29176
2009-01-30,11.3,11.35,11.11,11.28,3339
2009-02-02,11.3,11.3,11.01,11.02,9183
2009-02-03,11.01,11.05,10.5,10.72,192229
2009-02-04,10.6,11.2,10.4,11.2,316636
2009-02-05,11.22,12.88,11.06,12.53,22644
2009-02-06,13.01,14.0,13.01,13.89,36291
