date,open,high,low,close,volume
2011-12-22,380.2,390.0,380.2,389.0,0
2011-12-23,391.9,391.9,387.2,390.4,0
2011-12-28,377.7,378.6,377.25,377.6,0
2011-12-29,363.85,365.9,363.7,365.45,0
2011-12-30,372.4,372.4,372.4,372.4,0
2012-01-03,373.0,391.2,373.0,391.2,0
2012-01-04,391.8,391.8,387.3,387.9,0
2012-01-05,388.1,388.1,388.1,388.1,0
2012-01-06,385.15,386.6,383.5,386.6,0
2012-01-09,387.6,389.95,386.4,389.75,0
2012-01-10,393.6,403.35,393.6,401.4,0
2012-01-11,402.55,402.55,396.9,397.7,0
2012-01-12,399.8,411.0,398.95,404.55,0
2012-01-13,407.5,411.75,398.3,402.1,0
2012-01-16,398.6,402.65,390.95,398.7,0
2012-01-17,412.05,417.8,402.4,407.3,0
2012-01-18,406.9,417.85,406.3,417.55,0
2012-01-19,417.55,442.25,416.3,435.95,0
2012-01-20,432.6,434.4,425.25,431.95,0
2012-01-23,433.2,436.35,422.75,433.8,0
2012-01-24,437.7,441.45,422.0,436.3,0
2012-01-25,438.2,448.55,435.15,438.1,0
2012-01-26,443.8,466.25,443.8,457.8,0
2012-01-27,446.05,464.7,431.5,460.2,0
2012-01-30,449.3,452.25,434.35,438.3,0
2012-01-31,445.1,455.0,444.6,450.8,0
2012-02-01,451.45,458.7,448.95,454.85,0
2012-02-02,455.6,455.6,451.25,453.55,0
2012-02-03,454.35,463.05,446.15,460.3,0
2012-02-06,458.55,463.85,449.0,450.05,0
2012-02-07,452.5,453.35,442.8,445.35,0
2012-02-08,448.35,452.7,428.2,430.0,0
2012-02-09,439.4,443.45,423.7,430.2,0
2012-02-10,423.85,427.55,404.85,407.5,0
2012-02-13,416.7,426.3,405.35,425.75,0
2012-02-14,422.95,430.25,421.35,429.05,0
2012-02-15,431.8,442.7,425.1,436.7,0
2012-02-16,431.2,433.6,414.05,419.25,0
2012-02-17,423.3,431.25,419.15,423.8,0
2012-02-20,425.8,428.6,422.45,426.9,0
2012-02-21,433.55,433.55,411.7,415.65,0
2012-02-22,413.85,417.35,392.65,395.65,0
2012-02-23,397.0,399.75,393.5,397.65,0
2012-02-24,401.95,415.65,387.4,414.05,0
2012-02-27,414.25,418.15,408.85,413.7,0
2012-02-28,413.15,416.05,408.05,415.5,0
2012-02-29,418.5,427.9,417.0,424.7,0
2012-03-01,422.55,423.25,412.75,412.75,0
2012-03-02,415.15,416.4,409.75,410.0,0
2012-03-05,410.65,430.45,396.4,408.75,0
2012-03-06,403.55,403.55,376.95,378.9,0
2012-03-07,380.0,399.65,374.2,393.75,0
2012-03-08,394.1,403.4,394.0,402.05,0
2012-03-09,402.35,404.35,394.1,402.35,0
2012-03-12,403.55,404.8,400.3,404.8,0
2012-03-13,406.3,412.35,401.6,409.95,0
2012-03-14,410.85,412.9,406.3,409.8,0
2012-03-15,411.5,411.85,407.35,409.65,0
2012-03-16,409.7,412.65,404.2,408.9,0
2012-03-19,409.2,410.5,401.4,405.35,0
2012-03-20,401.85,406.8,389.5,391.95,0
2012-03-21,394.25,396.9,383.4,389.6,0
2012-03-22,389.85,393.25,376.85,387.95,0
2012-03-23,389.65,393.9,380.2,388.2,0
2012-03-26,392.45,396.1,385.15,388.95,0
2012-03-27,392.0,398.6,370.3,378.95,0
2012-03-28,372.1,377.55,355.45,361.7,0
2012-03-29,361.35,367.4,355.3,357.85,0
2012-03-30,358.0,372.3,358.0,370.45,0
2012-04-02,375.15,384.8,370.75,377.75,0
2012-04-03,380.25,385.45,371.6,379.5,0
2012-04-04,378.0,378.95,352.55,353.1,0
2012-04-05,355.6,361.2,349.05,361.05,0
2012-04-10,356.85,362.6,346.8,350.05,0
2012-04-11,349.6,358.35,348.5,354.2,0
2012-04-12,353.55,359.9,346.65,359.4,0
2012-04-13,357.65,368.65,357.05,364.7,0
2012-04-16,364.7,372.8,360.8,365.45,0
2012-04-17,363.05,378.85,356.75,376.6,0
2012-04-18,377.95,378.4,364.2,369.15,0
2012-04-19,371.45,381.8,369.6,371.95,0
2012-04-20,371.7,381.2,366.0,378.2,0
2012-04-23,370.45,371.15,360.75,363.9,0
2012-04-24,364.65,375.75,362.35,370.2,0
2012-04-25,369.65,377.4,367.0,375.45,0
2012-04-26,376.6,384.25,360.6,361.6,0
2012-04-27,363.05,379.25,361.4,377.65,0
2012-04-30,380.75,382.6,366.5,369.75,0
2012-05-01,377.05,380.2,370.35,375.35,0
2012-05-02,375.1,378.7,365.1,365.8,0
2012-05-03,366.8,371.95,353.85,359.55,0
2012-05-04,360.8,360.8,336.65,348.25,0
2012-05-08,345.75,353.7,340.1,343.45,0
2012-05-09,347.75,358.2,334.05,343.4,0
2012-05-10,344.6,349.15,340.9,347.95,0
2012-05-11,346.15,347.25,333.25,336.6,0
2012-05-14,336.4,336.8,319.35,323.9,0
2012-05-15,322.05,331.35,322.05,328.7,0
2012-05-16,330.95,336.95,321.1,328.7,0
2012-05-17,329.1,333.45,313.45,319.95,0
2012-05-18,316.35,325.25,310.35,316.35,0
2012-05-21,314.75,326.05,314.75,321.65,0
2012-05-22,321.45,326.5,318.4,320.3,0
2012-05-23,314.55,317.75,307.15,309.6,0
2012-05-24,314.1,314.1,302.35,307.95,0
2012-05-25,309.1,316.0,298.85,299.9,0
2012-05-28,302.45,307.55,299.1,299.65,0
2012-05-29,304.2,312.0,301.45,311.2,0
2012-05-30,309.75,309.75,299.7,304.05,0
2012-05-31,307.4,310.85,293.7,295.3,0
2012-06-01,296.25,299.05,275.4,280.8,0
2012-06-06,284.05,289.55,280.45,286.8,0
2012-06-07,287.5,301.8,280.05,288.05,0
2012-06-08,285.75,286.35,274.0,278.25,0
2012-06-11,288.75,294.25,271.9,272.1,0
2012-06-12,272.8,273.05,263.0,265.85,0
2012-06-13,267.25,272.9,255.4,259.45,0
2012-06-14,259.9,263.85,250.3,255.8,0
2012-06-15,258.7,270.4,257.3,269.75,0
2012-06-18,274.65,283.75,270.6,276.0,0
2012-06-19,277.6,284.8,275.4,284.35,0
2012-06-20,283.55,286.65,279.95,280.95,0
2012-06-21,279.75,281.7,271.65,272.65,0
2012-06-22,271.35,273.45,267.3,268.55,0
2012-06-25,267.65,269.65,253.75,254.7,0
2012-06-26,257.1,259.55,252.7,255.6,0
2012-06-27,256.4,258.15,238.85,248.3,0
2012-06-28,248.45,249.35,237.7,241.05,0
2012-06-29,247.9,260.95,245.5,258.75,0
2012-07-02,261.9,264.15,255.85,257.5,0
2012-07-03,260.25,267.8,258.8,266.7,0
2012-07-04,266.5,269.9,262.5,266.1,0
2012-07-05,264.05,267.75,255.75,258.35,0
2012-07-06,256.5,257.5,246.05,246.9,0
2012-07-09,245.65,246.75,237.75,242.35,0
2012-07-10,242.4,249.8,241.8,245.85,0
2012-07-11,244.6,250.15,241.25,249.45,0
2012-07-12,247.65,253.85,242.8,244.95,0
2012-07-13,245.35,256.6,244.7,254.3,0
2012-07-16,254.9,258.05,249.0,253.2,0
2012-07-17,254.3,256.05,247.15,250.25,0
2012-07-18,251.4,252.45,246.1,250.1,0
2012-07-19,249.95,255.0,246.65,250.65,0
2012-07-20,252.05,254.45,234.15,235.45,0
2012-07-23,233.0,233.05,213.2,218.15,0
2012-07-24,219.45,222.45,214.65,216.45,0
2012-07-25,214.2,219.25,211.7,212.75,0
2012-07-26,213.65,221.55,206.7,220.1,0
2012-07-27,221.8,227.75,218.75,227.3,0
2012-07-30,230.8,241.15,229.9,241.0,0
2012-07-31,241.5,245.05,234.95,236.4,0
2012-08-01,236.7,239.1,231.4,237.85,0
2012-08-02,237.45,241.15,229.45,230.05,0
2012-08-03,230.45,241.6,229.95,239.3,0
2012-08-06,237.9,254.2,236.1,251.0,0
2012-08-07,249.9,278.5,249.6,276.9,0
2012-08-08,276.0,280.5,272.8,280.0,0
2012-08-09,280.5,285.8,269.8,273.1,0
2012-08-10,273.6,275.5,268.4,270.4,0
2012-08-13,272.9,273.3,265.6,268.5,0
2012-08-14,274.0,277.7,268.6,273.2,0
2012-08-15,274.4,274.4,259.1,262.4,0
2012-08-16,263.7,271.5,263.7,269.6,0
2012-08-17,273.2,273.3,268.0,270.5,0
2012-08-20,272.0,272.3,257.6,259.2,0
2012-08-21,262.2,268.8,262.2,265.8,0
2012-08-22,263.8,263.8,253.6,255.5,0
2012-08-23,264.3,265.8,253.2,254.6,0
2012-08-24,257.7,257.7,245.7,246.8,0
2012-08-28,246.0,249.0,231.8,233.9,0
2012-08-29,233.0,235.7,228.4,231.4,0
2012-08-30,232.4,237.2,225.1,226.9,0
2012-08-31,225.5,229.9,221.7,225.0,0
2012-09-03,225.0,234.5,225.0,226.9,0
2012-09-04,227.9,228.7,216.8,218.0,0
2012-09-05,219.1,219.5,209.7,211.5,0
2012-09-06,213.2,227.7,211.9,226.7,0
2012-09-07,230.4,260.4,229.7,260.4,0
2012-09-10,257.3,263.5,256.1,260.2,0
2012-09-11,257.9,262.9,250.9,261.1,0
2012-09-12,264.6,275.0,247.7,269.0,0
2012-09-13,270.4,273.7,258.9,259.4,0
2012-09-14,283.0,299.0,267.91,293.7,0
2012-09-17,292.0,292.0,281.0,284.0,0
2012-09-18,280.3,282.3,271.6,279.5,0
2012-09-19,279.7,286.3,275.0,277.5,0
2012-09-20,273.0,274.4,257.2,260.8,0
2012-09-21,264.0,273.6,262.3,271.9,0
2012-09-24,268.6,268.6,258.0,261.5,0
2012-09-25,261.0,261.6,248.0,250.0,0
2012-09-26,245.7,249.9,235.1,238.2,0
2012-09-27,242.2,248.39,236.9,244.5,0
2012-09-28,247.4,253.51,246.0,246.6,0
2012-10-01,246.9,255.4,244.49,253.7,0
2012-10-02,252.0,256.0,245.0,246.3,0
2012-10-03,243.8,252.8,243.6,247.3,0
2012-10-04,247.0,250.3,235.0,245.1,0
2012-10-05,247.0,256.3,247.0,254.1,0
2012-10-08,251.5,253.61,239.4,244.7,0
2012-10-09,245.3,250.4,243.3,247.4,0
2012-10-10,247.1,251.4,242.2,242.2,0
2012-10-11,241.6,249.6,238.0,247.6,0
2012-10-12,245.0,248.3,234.3,234.3,0
2012-10-15,233.7,235.4,226.2,229.2,0
2012-10-16,231.8,245.2,230.94,243.7,0
2012-10-17,246.0,257.8,244.8,252.6,0
2012-10-18,254.0,262.5,252.0,258.9,0
2012-10-19,259.22,259.7,247.5,248.3,0
2012-10-22,248.2,258.7,244.6,247.4,0
2012-10-23,248.7,256.3,241.0,243.0,0
2012-10-24,245.5,252.1,238.87,250.3,0
2012-10-25,250.2,251.4,235.1,235.4,0
2012-10-26,232.2,244.19,231.6,239.7,0
2012-10-29,239.6,243.35,234.1,236.4,0
2012-10-30,236.6,241.0,236.1,237.9,0
2012-10-31,238.0,245.0,236.2,236.2,0
2012-11-01,236.5,241.5,235.2,238.4,0
2012-11-02,238.0,243.55,236.2,243.3,0
2012-11-05,239.6,243.7,237.3,242.3,0
2012-11-06,242.3,256.2,242.3,255.8,0
2012-11-07,259.6,261.36,246.5,247.0,0
2012-11-08,248.81,250.2,241.1,242.4,0
2012-11-09,241.6,243.62,230.7,236.4,0
2012-11-12,235.7,240.3,234.2,236.5,0
2012-11-13,232.2,234.5,228.1,233.8,0
2012-11-14,232.0,233.4,215.0,217.4,0
2012-11-15,215.1,226.7,215.0,225.5,0
2012-11-16,226.7,226.7,217.67,218.6,0
2012-11-19,222.0,227.6,222.0,226.8,0
