date,open,high,low,close,volume
2006-08-04,3.06,3.22,2.94,3.17,5348823
2006-08-07,3.16,3.17,3.13,3.17,735411
2006-08-08,3.17,3.18,3.16,3.18,679129
2006-08-09,3.17,3.2,3.15,3.18,807636
2006-08-10,3.18,3.19,3.16,3.17,259582
2006-08-11,3.17,3.18,3.16,3.17,168418
2006-08-14,3.15,3.17,3.15,3.17,333733
2006-08-16,3.17,3.17,3.14,3.15,221704
2006-08-17,3.15,3.16,3.15,3.15,254660
2006-08-18,3.14,3.15,3.05,3.15,439342
2006-08-21,3.15,3.15,3.13,3.15,395900
2006-08-22,3.12,3.15,3.12,3.13,149479
2006-08-23,3.12,3.15,3.11,3.14,416765
2006-08-24,3.13,3.2,3.13,3.2,1402556
2006-08-25,3.18,3.26,3.18,3.23,1178498
2006-08-28,3.25,3.31,3.25,3.31,847868
2006-08-29,3.28,3.54,3.28,3.54,798434
2006-08-30,3.46,3.46,3.36,3.41,81106
2006-08-31,3.46,3.46,3.37,3.4,207045
2006-09-01,3.44,3.5,3.4,3.48,660404
2006-09-04,3.46,3.52,3.45,3.52,73081
2006-09-05,3.52,3.6,3.46,3.6,397826
2006-09-06,3.6,3.6,3.55,3.57,37343
2006-09-07,3.57,3.57,3.43,3.52,50825
2006-09-08,3.52,3.54,3.52,3.52,83139
2006-09-11,3.52,3.53,3.52,3.53,18832
2006-09-12,3.52,3.55,3.5,3.51,120161
2006-09-13,3.48,3.51,3.48,3.5,113955
2006-09-14,3.5,3.5,3.48,3.5,41302
2006-09-15,3.5,3.5,3.5,3.5,42800
2006-09-18,3.5,3.5,3.48,3.48,3638
2006-09-19,3.5,3.5,3.43,3.47,120482
2006-09-20,3.47,3.47,3.37,3.4,107963
2006-09-21,3.4,3.4,3.27,3.4,147125
2006-09-22,3.4,3.4,3.28,3.39,19795
2006-09-25,3.36,3.38,3.36,3.38,18939
2006-09-26,3.38,3.38,3.36,3.36,33384
2006-09-27,3.35,3.38,3.32,3.37,853111
2006-09-28,3.36,3.37,3.36,3.37,4066
2006-09-29,3.41,3.45,3.37,3.45,53393
2006-10-02,3.46,3.5,3.36,3.36,167348
2006-10-03,3.35,3.41,3.35,3.36,245565
2006-10-04,3.46,3.46,3.35,3.4,132359
2006-10-05,3.46,3.46,3.36,3.44,26429
2006-10-06,3.45,3.54,3.36,3.53,492521
2006-10-09,3.54,3.55,3.46,3.51,411950
2006-10-10,3.46,3.51,3.46,3.51,167348
2006-10-11,3.46,3.54,3.46,3.54,34882
2006-10-12,3.54,3.55,3.51,3.55,716044
2006-10-13,3.55,3.62,3.55,3.62,501616
2006-10-16,3.62,3.63,3.54,3.62,196345
2006-10-17,3.57,3.67,3.55,3.67,89987
2006-10-18,3.59,3.71,3.59,3.71,197629
2006-10-19,3.71,3.71,3.63,3.64,42372
2006-10-20,3.67,3.7,3.64,3.68,48792
2006-10-23,3.64,3.71,3.64,3.65,1670912
2006-10-24,3.59,3.65,3.59,3.64,40339
2006-10-25,3.52,3.64,3.52,3.6,165529
2006-10-26,3.56,3.61,3.52,3.61,19581
2006-10-27,3.65,3.65,3.46,3.55,57459
2006-10-30,3.6,3.63,3.53,3.6,98654
2006-10-31,3.63,3.64,3.53,3.59,145948
2006-11-02,3.59,3.63,3.55,3.6,79715
2006-11-03,3.55,3.63,3.55,3.63,53500
2006-11-06,3.64,3.64,3.6,3.6,29960
2006-11-07,3.6,3.64,3.6,3.61,81641
2006-11-08,3.61,3.61,3.56,3.61,111387
2006-11-09,3.64,3.64,3.57,3.61,65270
2006-11-10,3.58,3.61,3.55,3.61,93946
2006-11-13,3.61,3.61,3.46,3.57,118449
2006-11-14,3.62,3.62,3.51,3.55,244602
2006-11-15,3.51,3.52,3.37,3.52,61311
2006-11-16,3.39,3.51,3.38,3.44,101543
2006-11-17,3.41,3.5,3.35,3.46,224272
2006-11-20,3.47,3.47,3.21,3.36,133964
2006-11-21,3.33,3.46,3.28,3.38,1429520
2006-11-22,3.46,3.53,3.35,3.52,1043250
2006-11-23,3.54,3.57,3.5,3.54,66661
2006-11-24,3.54,3.54,3.47,3.54,185966
