date,open,high,low,close,volume
1990-01-02,650.2,650.2,650.2,650.2,22643
1990-01-03,658.5,658.5,658.5,658.5,16427
1990-01-04,662.7,662.7,662.7,662.7,14207
1990-01-05,652.2,652.2,652.2,652.2,63934
1990-01-11,637.7,637.7,637.7,637.7,762762
1990-01-12,614.7,614.7,614.7,614.7,481721
1990-01-15,608.5,608.5,608.5,608.5,165162
1990-01-16,606.4,606.4,606.4,606.4,63490
1990-01-17,608.5,608.5,608.5,608.5,265502
1990-01-18,598.1,598.1,598.1,598.1,114992
1990-01-19,589.7,589.7,589.7,589.7,212224
1990-01-22,587.6,587.6,587.6,587.6,355186
1990-01-24,589.7,589.7,589.7,589.7,238419
1990-01-25,591.8,591.8,591.8,591.8,35075
1990-01-26,593.9,593.9,593.9,593.9,173153
1990-01-29,591.8,591.8,591.8,591.8,18647
1990-01-30,589.7,589.7,589.7,589.7,1332
1990-01-31,593.9,593.9,593.9,593.9,45286
1990-02-01,591.8,591.8,591.8,591.8,95456
1990-02-02,593.9,593.9,593.9,593.9,13319
1990-02-05,598.1,598.1,598.1,598.1,11100
1990-02-06,596.0,596.0,596.0,596.0,200680
1990-02-07,593.9,593.9,593.9,593.9,59050
1990-02-13,596.0,596.0,596.0,596.0,6660
1990-02-14,593.9,593.9,593.9,593.9,248630
1990-02-15,579.3,579.3,579.3,579.3,2392623
1990-02-19,575.1,575.1,575.1,575.1,49726
1990-02-20,562.6,562.6,562.6,562.6,89684
1990-02-21,564.7,564.7,564.7,564.7,101672
1990-02-23,562.6,562.6,562.6,562.6,10656
1990-02-26,564.7,564.7,564.7,564.7,189581
1990-02-28,568.9,568.9,568.9,568.9,138079
1990-03-01,564.7,564.7,564.7,564.7,81
1990-03-05,562.6,562.6,562.6,562.6,14207
1990-03-06,554.3,554.3,554.3,554.3,0
1990-03-07,550.1,550.1,550.1,550.1,55498
1990-03-08,552.2,552.2,552.2,552.2,38626
1990-03-09,558.5,558.5,558.5,558.5,888
1990-03-12,554.3,554.3,554.3,554.3,116767
1990-03-14,556.4,556.4,556.4,556.4,9768
1990-03-15,568.9,568.9,568.9,568.9,120319
1990-03-16,585.6,585.6,585.6,585.6,67485
1990-03-20,593.9,593.9,593.9,593.9,106112
1990-03-23,600.1,600.1,600.1,600.1,64821
1990-03-26,602.2,602.2,602.2,602.2,14207
1990-03-27,600.1,600.1,600.1,600.1,129643
1990-03-29,598.1,598.1,598.1,598.1,41734
1990-03-30,596.0,596.0,596.0,596.0,47062
1990-04-02,591.8,591.8,591.8,591.8,3996
1990-04-03,593.9,593.9,593.9,593.9,36407
1990-04-04,596.0,596.0,596.0,596.0,34631
1990-04-10,589.7,589.7,589.7,589.7,70593
1990-04-11,587.6,587.6,587.6,587.6,71925
1990-04-12,589.7,589.7,589.7,589.7,70593
1990-04-17,593.9,593.9,593.9,593.9,45730
