date,open,high,low,close,volume
2008-05-12,521.0,530.42,514.05,525.96,1372239
2008-05-13,530.92,545.31,522.98,533.9,2932425
2008-05-14,532.9,550.77,525.96,533.4,2770068
2008-05-15,530.92,535.88,530.92,534.89,1059218
2008-05-16,532.9,546.8,531.91,540.84,1785895
2008-05-19,536.87,545.8,533.4,539.85,1237276
2008-05-20,536.87,550.77,535.88,548.78,3732055
2008-05-21,545.8,570.61,539.03,561.19,9956758
2008-05-22,564.66,564.66,552.75,560.69,1062625
2008-05-23,555.73,560.19,549.28,555.73,1141246
2008-05-27,550.77,555.73,548.78,552.75,585062
2008-05-28,555.73,555.73,544.61,547.79,846060
2008-05-29,548.23,554.74,539.85,545.8,841972
2008-05-30,545.31,545.31,524.02,539.85,2336144
2008-06-02,537.3,540.84,528.93,539.85,1845374
2008-06-03,543.32,550.77,535.88,544.81,2610986
2008-06-04,550.77,555.73,538.36,550.77,1473083
2008-06-05,545.8,550.77,542.83,546.3,3420491
2008-06-06,551.79,551.79,542.83,550.77,1038638
2008-06-09,551.76,551.76,525.96,530.92,867870
2008-06-10,527.18,527.18,512.86,518.02,753049
2008-06-11,522.11,522.11,487.26,498.67,701833
2008-06-12,496.19,505.12,496.19,501.15,489752
2008-06-13,489.64,505.61,480.58,505.61,3886839
2008-06-16,510.9,516.03,499.66,516.03,807217
2008-06-17,507.1,521.0,507.1,511.57,389535
2008-06-18,514.55,515.07,501.15,506.11,218748
2008-06-19,496.19,506.11,483.17,505.12,2539096
2008-06-20,505.12,510.08,494.7,504.13,280356
2008-06-23,504.62,509.09,494.2,494.45,331475
2008-06-24,491.22,506.65,476.09,490.23,185402
2008-06-25,500.16,500.16,473.46,481.05,329694
2008-06-26,486.26,494.2,476.34,481.3,582156
2008-06-27,468.4,486.76,468.4,476.34,842437
2008-06-30,473.36,486.26,473.36,485.27,469105
2008-07-01,481.8,488.5,466.91,485.27,563980
2008-07-02,476.34,496.19,472.37,490.98,826552
2008-07-03,487.01,493.21,472.12,481.3,729286
2008-07-04,474.35,488.74,474.35,482.29,2161792
2008-07-07,480.31,498.17,469.11,473.36,784930
2008-07-08,468.15,471.38,453.76,464.43,472940
2008-07-09,473.36,473.36,435.16,451.53,1421325
2008-07-10,445.08,455.75,434.41,444.58,2093537
2008-07-11,438.13,451.53,429.45,440.12,434247
2008-07-14,445.09,456.49,439.52,446.57,517622
2008-07-15,446.57,446.57,434.16,441.61,311049
2008-07-16,430.69,445.58,425.98,441.61,171579
2008-07-17,441.06,453.98,427.22,441.61,333682
2008-07-18,427.96,441.61,412.83,416.8,412240
2008-07-21,412.69,429.2,403.03,406.87,456641
2008-07-22,399.93,415.8,383.06,395.96,1130985
2008-07-23,396.95,402.41,389.75,401.17,533212
2008-07-24,403.9,406.38,387.03,393.48,651566
2008-07-25,396.2,396.95,383.55,387.03,272593
2008-07-28,390.25,396.95,387.03,396.95,224224
2008-07-29,395.96,398.81,391.24,397.94,547339
2008-07-30,404.89,420.27,385.04,394.72,815405
2008-07-31,399.43,399.43,386.28,391.99,1184811
2008-08-01,391.99,396.95,379.33,386.03,1457208
2008-08-04,387.59,388.49,377.1,385.04,517747
2008-08-05,387.03,387.03,357.25,364.45,517774
2008-08-06,367.67,375.61,364.2,367.18,2095013
2008-08-07,368.17,379.09,365.94,373.13,1193205
2008-08-08,373.13,381.57,358.49,367.18,658219
2008-08-11,367.18,371.4,364.45,367.18,489367
2008-08-12,370.16,370.16,337.65,353.78,2258384
2008-08-13,357.25,371.15,357.25,367.18,1377705
2008-08-14,369.91,379.58,368.61,376.85,353999
2008-08-15,363.21,363.21,352.29,357.25,1466291
2008-08-18,359.74,367.06,356.26,358.99,330305
2008-08-19,348.57,359.98,340.38,350.31,906023
2008-08-20,350.8,363.21,350.8,357.25,1167769
2008-08-21,353.04,377.1,353.04,372.14,1526085
2008-08-22,371.64,387.03,371.15,387.03,1599709
2008-08-26,377.1,394.22,373.13,386.53,272709
2008-08-27,377.35,401.91,377.35,391.99,1376538
2008-08-28,390.0,396.95,385.54,392.48,949076
2008-08-29,390.5,402.9,386.28,401.66,1175287
2008-09-01,396.7,406.87,395.21,401.91,277005
2008-09-02,397.2,401.41,387.03,395.96,876238
2008-09-03,394.96,396.2,387.03,391.99,970720
2008-09-04,391.99,395.96,379.09,380.08,963743
2008-09-05,395.96,395.96,367.18,374.12,713480
2008-09-08,385.54,389.01,379.58,387.03,61618
2008-09-09,377.1,384.79,349.32,349.81,2669036
2008-09-10,363.21,364.7,335.42,336.41,2327880
2008-09-11,344.6,357.75,327.48,338.4,1180791
2008-09-12,339.39,354.28,334.93,344.35,1880526
2008-09-15,346.24,346.24,319.79,327.23,798988
2008-09-16,324.51,330.96,309.87,315.57,792778
2008-09-17,327.48,328.48,296.47,306.15,922493
2008-09-18,307.64,336.17,307.39,327.48,3379818
2008-09-19,335.17,359.74,327.48,335.92,13266079
2008-09-22,335.92,356.01,325.25,337.41,2370221
2008-09-23,326.91,347.08,325.75,333.44,3255695
2008-09-24,342.37,345.35,332.69,338.4,2042976
2008-09-25,337.9,346.98,331.45,346.83,290449
2008-09-26,344.17,344.46,319.05,335.67,383435
2008-09-29,330.46,343.61,312.85,314.58,1120267
2008-09-30,312.6,322.52,298.21,317.56,889916
2008-10-01,321.78,327.48,310.61,311.85,663069
2008-10-02,314.58,316.07,284.56,291.01,776491
2008-10-03,292.75,292.75,267.69,278.61,1438225
2008-10-06,252.56,276.62,219.56,223.28,373171
2008-10-07,221.55,243.38,203.44,232.46,387680
2008-10-08,240.15,240.15,199.22,207.9,968107
2008-10-09,210.13,230.23,198.47,228.25,844447
2008-10-10,205.42,228.25,177.34,209.39,877432
2008-10-13,205.42,223.28,204.92,207.41,1683007
2008-10-14,214.1,225.27,188.55,203.44,828726
2008-10-15,200.71,204.18,170.99,178.63,701246
2008-10-16,158.48,178.63,148.86,168.7,734684
2008-10-17,164.44,188.55,153.02,155.01,654475
2008-10-20,156.5,156.5,148.86,153.72,564514
2008-10-21,160.27,163.54,156.89,158.78,731735
2008-10-22,157.29,208.4,129.41,135.56,548379
2008-10-23,134.47,137.94,113.92,114.12,810831
2008-10-24,118.89,118.89,100.53,107.18,978210
2008-10-27,105.19,114.42,100.33,103.21,1055123
2008-10-28,104.6,114.27,102.26,104.79,1074316
2008-10-29,107.18,126.03,107.18,124.84,1548902
2008-10-30,129.41,129.5,116.31,122.46,1367894
2008-10-31,122.46,124.05,119.58,121.17,970254
2008-11-03,123.95,124.05,112.54,116.11,1020619
2008-11-04,110.75,130.79,110.75,130.79,2897873
2008-11-05,126.53,135.96,125.83,127.52,1184188
2008-11-06,124.05,132.98,119.18,126.03,2139249
2008-11-07,125.54,130.99,124.05,129.21,1070338
2008-11-10,134.37,139.73,129.01,131.99,1151872
2008-11-11,128.61,132.88,120.37,122.56,334937
2008-11-12,122.36,124.15,108.76,117.79,447574
2008-11-13,94.37,113.92,94.37,102.12,846706
2008-11-14,108.76,108.76,6.85,104.1,1528608
2008-11-17,102.51,107.18,99.44,102.02,1196293
2008-11-18,102.71,102.71,95.07,98.24,1185615
2008-11-19,99.24,102.31,94.08,99.63,1160400
2008-11-20,92.29,101.82,92.29,98.94,2718215
2008-11-21,95.66,104.5,95.66,104.5,1908617
2008-11-24,117.1,129.01,109.16,128.31,2126998
2008-11-25,140.42,140.42,122.56,126.73,2048083
2008-11-26,120.77,136.75,120.77,133.97,1603078
2008-11-27,135.86,149.05,133.97,146.97,990723
2008-11-28,146.87,178.63,143.5,152.92,814342
2008-12-01,157.91,157.91,128.02,139.13,1071726
2008-12-02,136.95,149.05,125.83,129.21,1286651
2008-12-03,129.5,133.97,114.82,133.97,2865071
2008-12-04,126.83,143.89,126.83,143.6,1582852
2008-12-05,146.85,146.85,126.13,126.13,907349
2008-12-08,133.67,141.91,120.97,137.25,1232275
2008-12-09,139.92,146.08,129.11,137.94,682706
2008-12-10,131.09,143.89,131.09,140.02,521939
2008-12-11,137.25,171.68,137.15,165.83,1205375
2008-12-12,168.7,168.7,150.86,158.08,860614
2008-12-15,160.76,167.71,158.88,164.44,915159
2008-12-16,168.7,168.7,159.67,166.82,888967
2008-12-17,165.92,183.19,165.92,180.12,2045695
2008-12-18,179.32,201.7,179.32,194.01,2530927
2008-12-19,207.41,207.41,176.15,193.21,7074323
2008-12-22,189.54,201.45,189.54,199.96,1095535
2008-12-23,200.83,215.34,199.47,212.37,1238297
2008-12-24,208.4,212.37,199.49,208.4,94202
2008-12-29,208.65,224.03,208.65,221.05,435402
2008-12-30,211.38,223.04,211.38,218.32,573728
2008-12-31,223.28,234.94,223.28,228.25,446992
2009-01-02,225.52,256.78,225.52,242.88,1922289
2009-01-05,243.13,255.78,230.48,253.06,636442
