date,open,high,low,close,volume
2011-05-20,523.5,532.28,512.63,517.57,207140032
2011-05-23,511.64,513.4,499.79,507.69,94740488
2011-05-24,513.62,522.23,509.67,518.56,127564632
2011-05-25,517.78,535.72,509.67,515.79,35254536
2011-05-26,518.56,520.62,512.45,515.1,24024582
2011-05-27,518.46,519.06,515.2,517.27,25700260
2011-05-31,518.82,524.98,516.09,524.58,64805976
2011-06-01,522.51,522.61,504.24,507.59,20835008
2011-06-02,503.74,507.79,494.06,504.63,14135769
2011-06-03,505.72,505.72,497.82,498.8,16160474
2011-06-06,498.8,514.51,497.82,508.68,12717271
2011-06-07,510.36,515.59,506.9,513.82,4487809
2011-06-08,513.62,513.62,503.15,505.22,11826257
2011-06-09,503.74,512.63,501.75,508.68,15543375
2011-06-10,510.06,518.06,502.66,503.15,10524615
2011-06-13,503.74,520.63,500.38,516.98,12358981
2011-06-14,508.68,512.53,493.86,493.86,33105516
2011-06-15,487.94,488.93,466.5,467.2,28388708
2011-06-16,459.29,471.1,446.75,469.96,24314536
2011-06-17,470.06,480.97,459.64,476.09,13716036
2011-06-20,474.13,475.79,461.66,473.27,9030054
2011-06-21,474.11,490.01,474.01,489.07,5173658
2011-06-22,492.43,492.43,480.14,483.99,4854534
2011-06-23,479.44,480.04,454.45,460.92,11705677
2011-06-24,467.2,477.37,463.25,465.22,7536031
2011-06-27,465.02,474.11,465.02,469.71,2701912
2011-06-28,473.12,484.48,469.57,480.38,6654078
2011-06-29,489.91,491.72,479.1,480.58,13126747
2011-06-30,485.86,487.25,474.16,484.98,9360900
2011-07-01,481.35,486.68,472.38,483.0,7697710
2011-07-04,483.89,483.94,474.16,475.15,4003960
2011-07-05,474.11,481.62,474.11,480.04,4653748
2011-07-06,480.93,488.63,476.78,488.14,5939525
2011-07-07,490.75,502.75,487.54,496.83,7384637
2011-07-08,499.69,502.75,491.1,491.1,8827477
2011-07-11,488.33,493.47,482.51,484.48,7708581
2011-07-12,478.21,493.39,472.73,489.77,8505787
2011-07-13,492.24,498.31,487.94,494.26,5473460
2011-07-14,489.72,491.59,484.09,485.96,3315584
2011-07-15,483.99,492.14,479.59,490.8,3072778
2011-07-18,484.14,489.47,480.18,482.01,5641251
2011-07-19,482.95,485.17,479.05,482.31,5009119
2011-07-20,483.49,485.42,473.42,476.09,6363028
2011-07-21,479.05,479.05,464.53,474.11,10137530
2011-07-22,474.11,481.52,468.68,474.46,4834597
2011-07-25,472.68,482.8,469.37,478.41,2678012
2011-07-26,477.07,479.1,470.55,474.11,2898232
2011-07-27,471.44,474.16,468.43,471.79,4684175
2011-07-28,467.39,470.65,464.63,470.6,5108763
2011-07-29,466.8,474.6,464.43,469.86,5347773
2011-08-01,476.58,476.58,464.97,467.25,4508882
2011-08-02,465.22,469.57,449.22,452.82,9777761
2011-08-03,446.45,451.05,417.91,421.12,15038394
2011-08-04,421.12,434.6,385.31,386.2,16691019
2011-08-05,409.41,424.72,371.19,403.39,19564232
2011-08-08,395.19,409.61,371.88,375.78,13988315
2011-08-09,379.93,393.96,348.17,374.3,18646792
2011-08-10,384.23,391.34,349.66,358.55,12955416
2011-08-11,371.39,381.16,351.04,378.0,17418624
2011-08-12,378.05,405.93,370.3,401.71,9947444
2011-08-15,405.96,407.84,392.13,402.1,3599785
2011-08-16,400.03,400.03,380.28,391.14,4871532
2011-08-17,389.86,408.02,382.35,390.15,5750089
2011-08-18,384.03,387.78,349.11,351.09,7245853
2011-08-19,350.64,353.8,336.42,343.68,11521338
2011-08-22,342.74,354.35,336.82,350.64,10321093
2011-08-23,361.11,370.0,358.0,362.94,8493369
2011-08-24,365.46,386.75,361.56,384.82,8545975
2011-08-25,396.28,408.82,383.58,383.73,18335436
2011-08-26,382.3,383.73,365.51,372.52,8904405
2011-08-30,387.19,396.43,364.68,394.65,11438215
2011-08-31,394.4,425.25,393.96,416.28,12125658
2011-09-01,418.61,418.75,400.18,413.12,6871063
2011-09-02,405.27,406.94,384.72,385.56,9349562
2011-09-05,379.29,383.75,368.42,371.83,6492334
2011-09-06,371.87,389.7,369.51,380.47,7780869
2011-09-07,390.3,400.77,385.21,400.77,7328565
2011-09-08,409.91,434.65,407.93,431.14,26579378
2011-09-09,425.71,430.55,401.46,408.92,11619770
2011-09-12,396.23,412.98,390.6,402.7,10915261
2011-09-13,411.09,414.2,394.35,405.71,7980107
2011-09-14,397.26,421.0,397.26,415.44,7575175
2011-09-15,418.45,437.07,414.85,431.88,11316394
2011-09-16,436.53,449.32,431.84,449.12,13927372
2011-09-19,443.84,448.4,419.83,431.64,9815351
2011-09-20,425.56,449.52,423.04,446.01,6271919
2011-09-21,444.09,444.48,426.6,430.9,7803853
2011-09-22,411.54,417.6,400.38,409.91,14424124
2011-09-23,407.93,414.6,387.08,407.34,12834031
2011-09-26,388.77,412.28,387.98,409.51,9885573
