date,open,high,low,close,volume
2010-11-09,50.75,54.0,50.5,54.0,11087438
2010-11-10,54.0,54.0,52.0,52.0,1336754
2010-11-12,51.1,53.6,50.0,53.6,1645338
2010-11-15,53.4,53.8,52.0,52.6,378991
2010-11-16,52.3,52.5,51.2,51.2,351484
2010-11-17,51.15,52.0,50.7,50.7,421471
2010-11-18,51.5,52.1,51.05,51.05,257552
2010-11-19,51.5,51.6,50.95,51.2,361190
2010-11-22,51.2,51.5,51.05,51.25,343989
2010-11-23,51.2,51.2,50.15,50.15,296379
2010-11-24,50.5,51.0,50.15,51.0,350759
2010-11-25,51.15,51.25,50.3,50.9,81328
2010-11-26,50.9,50.9,49.91,50.6,395358
2010-11-29,50.2,50.25,49.74,49.85,156521
2010-11-30,49.5,50.5,49.5,50.5,98242
2010-12-01,50.5,52.2,50.2,52.1,217283
2010-12-02,52.1,52.35,51.7,52.05,230447
2010-12-03,52.0,52.1,51.5,51.7,57211
2010-12-06,51.65,51.7,50.9,51.1,50660
2010-12-07,50.7,51.0,50.4,50.75,81640
2010-12-08,50.55,51.1,50.4,51.1,318767
2010-12-09,51.0,51.2,50.6,51.0,130438
2010-12-10,51.0,51.1,50.7,50.85,49448
2010-12-13,50.9,51.5,50.9,51.5,77123
2010-12-14,51.1,51.4,50.6,50.6,67486
2010-12-15,50.55,50.7,50.45,50.65,98995
2010-12-16,50.6,50.65,50.25,50.6,69586
2010-12-17,50.4,50.5,50.2,50.25,53590
2010-12-20,50.25,50.5,49.9,50.5,179205
2010-12-21,50.15,50.25,50.0,50.2,89752
2010-12-22,50.0,50.3,49.99,50.1,324375
2010-12-23,50.0,50.1,49.91,49.91,111372
2010-12-27,49.93,49.99,49.31,49.35,111179
2010-12-28,49.3,49.5,48.8,49.2,237616
2010-12-29,49.0,49.98,49.0,49.98,109351
2010-12-30,50.0,50.0,49.6,49.65,50998
2010-12-31,49.65,49.85,48.7,49.0,82855
2011-01-03,49.1,49.4,48.82,49.3,112633
2011-01-04,49.3,50.05,49.3,49.78,132594
2011-01-05,49.74,49.78,48.83,49.5,114104
2011-01-07,49.2,49.25,48.58,48.62,198656
2011-01-10,48.5,48.53,46.62,47.12,145442
2011-01-11,46.95,47.93,46.95,47.8,153720
2011-01-12,48.0,49.19,47.95,49.19,158571
2011-01-13,49.0,49.1,48.5,48.5,363778
2011-01-14,48.5,49.2,48.3,49.2,100212
2011-01-17,49.0,49.0,48.0,48.37,66408
2011-01-18,48.3,48.65,47.9,48.59,81135
2011-01-19,48.37,48.4,48.0,48.3,132563
2011-01-20,48.0,48.25,47.9,48.0,105424
2011-01-21,48.0,48.4,48.0,48.4,50448
2011-01-24,48.05,48.25,47.56,47.94,120226
2011-01-25,47.8,48.15,47.75,48.15,103993
2011-01-26,48.1,48.79,47.94,48.5,89855
2011-01-27,48.52,49.0,48.5,48.8,59079
2011-01-28,48.8,49.33,48.5,48.8,66824
2011-01-31,48.41,48.42,48.0,48.18,75218
2011-02-01,48.01,48.25,48.01,48.19,77543
2011-02-02,48.2,48.28,48.08,48.28,80383
2011-02-03,48.21,48.97,48.2,48.97,70559
2011-02-04,49.0,49.24,48.55,49.24,100711
2011-02-07,49.0,49.08,48.2,48.5,189403
2011-02-08,48.4,48.47,48.2,48.28,93662
2011-02-09,48.2,48.35,48.0,48.0,117600
2011-02-10,48.2,48.2,48.0,48.1,75290
2011-02-11,48.0,48.8,48.0,48.56,80013
2011-02-14,48.2,48.75,48.1,48.6,66259
2011-02-15,48.45,48.74,48.15,48.15,77143
2011-02-16,48.1,48.7,48.07,48.6,144495
2011-02-17,48.5,48.55,48.2,48.25,42970
2011-02-18,48.15,48.3,48.0,48.05,123949
2011-02-21,48.0,48.02,47.75,47.8,80331
2011-02-22,47.6,47.7,47.56,47.65,55470
2011-02-23,47.55,47.6,47.5,47.52,49324
2011-02-24,47.09,47.29,47.0,47.07,69328
2011-02-25,47.03,47.3,47.03,47.28,25899
2011-02-28,47.12,47.25,46.84,47.25,74446
2011-03-01,47.15,47.3,47.0,47.3,84120
2011-03-02,47.06,47.21,46.85,47.0,131898
2011-03-03,47.01,47.2,46.85,47.1,149624
2011-03-04,47.11,47.3,47.02,47.2,105210
2011-03-07,47.14,47.22,47.05,47.11,179294
2011-03-08,47.04,47.1,46.9,46.93,66979
2011-03-09,46.93,46.93,45.7,46.07,137413
2011-03-10,46.0,46.0,45.3,45.3,197060
2011-03-11,45.11,45.2,44.45,44.45,157855
2011-03-14,44.2,45.49,43.9,45.49,105910
2011-03-15,44.85,45.83,44.6,45.27,289588
2011-03-16,45.27,45.99,45.25,45.94,46012
2011-03-17,45.7,46.17,45.7,46.14,45972
2011-03-18,46.05,47.41,46.05,47.41,101765
2011-03-21,46.7,47.75,46.61,47.55,74379
2011-03-22,47.45,47.9,47.42,47.8,50342
2011-03-23,47.75,47.9,47.5,47.7,29799
2011-03-24,47.79,49.18,47.7,49.14,117387
2011-03-25,49.0,49.44,48.5,48.85,48448
2011-03-28,48.8,48.8,48.1,48.55,94557
2011-03-29,48.5,48.7,48.24,48.51,61801
2011-03-30,48.45,48.95,48.41,48.9,40745
2011-03-31,48.9,49.3,48.76,48.76,48902
2011-04-01,48.65,49.13,48.65,49.0,32369
2011-04-04,48.7,49.15,48.5,48.8,118018
2011-04-05,48.85,49.18,48.85,48.88,20324
2011-04-06,48.82,49.05,48.8,49.0,30427
2011-04-07,49.0,49.15,48.81,48.85,38225
2011-04-08,48.81,48.9,48.14,48.3,47429
2011-04-11,48.0,48.29,48.0,48.25,86863
2011-04-12,49.0,49.3,48.87,49.3,218655
2011-04-13,49.25,50.2,49.05,50.2,281932
2011-04-14,50.05,51.45,50.05,50.95,222799
2011-04-15,51.0,52.3,50.95,52.2,708565
2011-04-18,52.2,52.2,49.8,50.1,219055
2011-04-19,49.85,51.7,49.85,51.0,90320
2011-04-20,51.05,51.7,50.95,51.0,155606
2011-04-21,51.0,51.0,50.15,50.4,44650
2011-04-26,50.15,50.4,50.0,50.1,49437
2011-04-27,50.05,50.1,49.5,49.6,70394
