date,open,high,low,close,volume
2008-06-30,18.85,18.85,15.99,15.99,52328
2008-07-01,16.0,16.0,14.4,14.74,75575
2008-07-02,14.79,15.92,14.79,15.42,3119
2008-07-03,15.33,15.54,15.0,15.2,8385
2008-07-04,15.5,15.5,15.01,15.01,8566
2008-07-07,15.31,15.31,14.7,15.14,6771
2008-07-08,14.95,14.95,14.12,14.49,16666
2008-07-09,14.48,14.81,14.48,14.81,8098
2008-07-10,14.81,14.94,14.48,14.61,8338
2008-07-11,14.94,14.94,14.51,14.6,6765
2008-07-14,14.93,15.05,14.51,14.9,1555
2008-07-15,14.9,14.9,13.6,13.74,7156
2008-07-16,13.1,13.19,12.75,13.19,12549
2008-07-17,13.3,13.55,12.99,13.53,10163
2008-07-18,13.64,14.0,13.0,14.0,15489
2008-07-21,14.0,15.0,13.7,14.97,12914
2008-07-22,14.95,14.96,14.6,14.94,13467
2008-07-23,14.96,16.61,14.96,16.39,34950
2008-07-24,16.4,16.7,15.99,16.1,14003
2008-07-25,15.97,16.02,15.36,16.0,4725
2008-07-28,16.88,16.88,15.85,16.19,9847
2008-07-29,16.0,16.2,15.75,16.09,7797
2008-07-30,15.85,16.34,15.85,16.18,7809
2008-07-31,16.07,16.4,16.07,16.32,10484
2008-08-01,16.29,16.4,16.0,16.01,11510
2008-08-04,16.39,16.39,15.85,16.0,5642
2008-08-05,16.0,16.0,15.57,15.96,13503
2008-08-06,16.0,16.39,15.95,16.09,7830
2008-08-07,16.2,16.35,16.19,16.33,16383
2008-08-08,16.2,16.3,16.1,16.3,38235
2008-08-11,16.38,16.42,16.18,16.21,8024
2008-08-12,16.23,16.39,16.23,16.27,3678
2008-08-13,16.39,17.43,16.39,17.29,75904
2008-08-14,17.31,17.79,17.16,17.22,65673
2008-08-18,17.19,17.19,16.4,16.54,6943
2008-08-19,16.39,16.39,16.01,16.1,25891
2008-08-20,16.0,16.59,15.9,15.92,12621
2008-08-21,15.79,16.0,15.55,15.75,24874
2008-08-22,16.03,16.03,15.7,15.8,30951
2008-08-25,15.8,15.99,15.67,15.8,8876
2008-08-26,15.8,15.95,15.7,15.7,79845
2008-08-27,15.6,15.76,15.6,15.75,5718
2008-08-28,15.71,15.71,15.3,15.5,18623
2008-08-29,15.69,15.69,15.36,15.5,4521
2008-09-01,15.59,15.59,15.02,15.45,11658
2008-09-02,15.44,15.6,15.06,15.6,17872
2008-09-03,15.89,15.99,15.6,15.94,13404
2008-09-04,15.93,15.93,15.67,15.7,6965
2008-09-05,15.7,15.7,15.23,15.3,13481
2008-09-08,15.65,15.65,15.02,15.11,17170
2008-09-09,15.11,15.3,14.6,15.2,9664
2008-09-10,15.35,15.35,14.9,15.0,14302
2008-09-11,15.1,15.16,14.85,15.05,2368
2008-09-12,15.1,15.1,14.81,14.83,15541
2008-09-15,14.8,14.8,14.0,14.01,15819
2008-09-16,13.99,14.12,13.6,13.97,12587
2008-09-17,14.05,14.05,13.7,13.8,16801
2008-09-18,13.65,13.95,13.5,13.94,17756
2008-09-19,14.2,14.65,14.2,14.59,108466
2008-09-22,14.7,14.7,14.1,14.1,13939
2008-09-23,14.1,14.1,13.6,14.05,17400
2008-09-24,14.05,14.05,13.9,13.91,4116
2008-09-25,14.05,14.05,13.9,14.0,4005
2008-09-26,14.05,14.05,13.83,13.98,59678
2008-09-29,14.05,14.05,13.52,13.52,34062
2008-09-30,13.1,13.25,12.8,13.0,57653
2008-10-01,13.0,13.57,13.0,13.45,11524
2008-10-02,13.45,13.45,12.85,12.85,6855
2008-10-03,13.0,13.0,12.05,12.27,28910
2008-10-06,12.2,12.2,10.5,10.74,56960
2008-10-07,10.7,10.82,9.65,9.7,122919
2008-10-08,9.2,9.5,8.71,9.38,166417
2008-10-09,9.43,9.7,9.38,9.45,27639
2008-10-10,8.99,9.05,8.71,8.95,52666
2008-10-13,9.15,9.35,9.02,9.29,48936
2008-10-14,9.69,10.45,9.69,10.17,277586
2008-10-15,10.36,10.36,9.77,9.85,32752
2008-10-16,9.51,9.8,9.22,9.73,32222
2008-10-17,9.83,10.28,9.66,10.05,28870
2008-10-20,10.25,10.36,9.96,10.36,20437
2008-10-21,10.4,10.63,10.25,10.4,12957
2008-10-22,10.05,10.3,10.05,10.1,9893
2008-10-23,10.4,10.4,10.01,10.1,22960
2008-10-24,10.07,10.07,9.65,10.07,34032
2008-10-27,10.0,10.0,9.61,9.8,13281
2008-10-28,9.9,10.1,9.81,9.95,7565
2008-10-29,10.1,10.35,10.1,10.2,32408
2008-10-30,10.6,10.6,10.2,10.55,28275
2008-10-31,10.59,10.7,10.24,10.7,17386
2008-11-03,10.57,10.97,10.5,10.81,26617
2008-11-04,10.95,11.29,10.81,11.15,14400
2008-11-05,11.44,11.44,10.85,10.9,10778
2008-11-06,10.5,10.69,10.4,10.57,8035
