date,open,high,low,close,volume
2007-05-16,202.13,209.13,199.96,206.23,8380295
2007-05-17,207.39,211.2,205.36,207.68,6035766
2007-05-18,208.65,211.55,202.85,203.82,5415120
2007-05-21,204.11,205.46,196.09,198.51,5502631
2007-05-22,198.22,200.63,198.02,199.96,1594825
2007-05-23,200.87,202.85,199.04,201.4,3521924
2007-05-24,200.0,202.32,199.96,200.44,1254878
2007-05-25,199.52,200.86,196.33,198.51,1034544
2007-05-29,197.81,205.51,196.14,199.47,2053349
2007-05-30,199.81,200.29,197.61,199.96,1201153
2007-05-31,196.38,200.92,196.38,199.47,3295649
2007-06-01,198.07,200.34,198.02,198.02,484313
2007-06-04,199.53,200.08,198.02,198.51,1535272
2007-06-05,198.03,200.92,198.02,199.47,280957
2007-06-06,198.07,200.25,198.02,198.99,450355
2007-06-07,198.07,200.15,197.63,198.51,2032448
2007-06-08,197.07,198.89,193.22,194.64,1342001
2007-06-11,193.21,195.37,193.2,194.16,459764
2007-06-12,194.18,197.06,194.18,196.57,467238
2007-06-13,195.17,196.82,191.29,193.19,2686860
2007-06-14,194.88,195.13,193.22,194.4,1084960
2007-06-15,193.21,196.82,193.21,196.09,278097
2007-06-18,194.64,198.02,194.64,197.54,559968
2007-06-19,197.88,198.02,195.42,196.09,81112
2007-06-20,197.88,199.71,195.7,198.02,543305
2007-06-21,198.02,207.68,198.02,206.72,963078
2007-06-22,208.36,208.65,205.93,207.44,1007124
2007-06-25,206.91,208.75,205.75,207.2,619322
2007-06-26,205.82,207.35,204.85,207.2,971649
2007-06-27,205.82,206.72,199.5,200.92,1195805
2007-06-28,199.98,202.71,199.96,201.89,1185088
2007-06-29,202.32,203.88,199.96,199.96,1251126
2007-07-02,204.25,204.25,199.96,202.37,24926
2007-07-03,200.02,202.37,199.06,202.61,485424
2007-07-04,204.79,214.44,204.79,211.55,642959
2007-07-05,209.62,214.44,209.62,213.48,674363
2007-07-06,214.44,218.98,209.83,216.38,454160
2007-07-09,219.23,221.16,211.55,212.51,799534
2007-07-10,214.25,214.25,208.41,209.37,651900
2007-07-11,208.7,208.7,203.82,205.99,163973
2007-07-12,207.44,212.51,207.44,212.75,374089
2007-07-13,214.2,217.34,211.18,217.34,259885
2007-07-16,217.34,218.31,212.87,218.31,543035
2007-07-17,219.27,223.14,217.68,222.17,321690
2007-07-18,222.17,222.99,217.83,218.55,394624
2007-07-19,219.76,220.24,217.83,217.83,166971
2007-07-20,216.43,221.88,216.38,220.48,356732
2007-07-23,221.88,223.14,219.32,221.21,601507
2007-07-24,220.53,222.12,217.34,218.55,445776
2007-07-25,218.43,218.43,215.41,215.65,754836
2007-07-26,218.16,218.16,198.02,198.99,576393
2007-07-27,196.77,200.92,195.17,198.51,1902348
2007-07-30,200.78,204.79,198.99,202.85,1483588
2007-07-31,203.82,204.79,198.62,203.82,427632
2007-08-01,198.02,202.85,196.14,201.89,296372
2007-08-02,202.85,204.79,202.85,202.37,198598
2007-08-03,202.71,202.71,200.34,201.16,154563
2007-08-06,199.98,201.74,191.26,192.71,496178
2007-08-07,196.09,197.88,193.19,193.19,361965
2007-08-08,193.24,197.06,193.24,197.06,659542
2007-08-09,196.91,198.02,188.36,190.05,638437
2007-08-10,188.41,190.3,177.74,180.64,1218533
2007-08-13,183.53,194.11,183.53,188.12,544962
2007-08-14,190.25,190.25,185.03,185.71,600445
2007-08-15,183.53,186.38,177.74,178.22,744012
2007-08-16,176.94,177.74,170.98,170.98,979835
2007-08-17,174.79,177.74,172.43,174.84,1148737
2007-08-20,177.69,184.45,174.07,178.95,389486
2007-08-21,182.52,182.52,178.7,179.67,444846
2007-08-22,179.87,184.5,179.87,182.57,1069658
2007-08-23,184.97,191.26,181.71,185.47,2832911
