date,open,high,low,close,volume
1991-11-27,12.55,12.55,12.55,12.55,0
1991-11-28,11.54,11.54,11.54,11.54,0
1991-11-29,13.25,13.25,13.25,13.25,0
1991-12-02,13.25,13.25,13.25,13.25,0
1991-12-03,13.45,13.45,13.45,13.45,0
1991-12-04,13.45,13.45,13.45,13.45,0
1991-12-06,13.25,13.25,13.25,13.25,0
1991-12-20,13.45,13.45,13.45,13.45,0
1992-01-03,13.75,13.75,13.75,13.75,0
1992-01-10,14.05,14.05,14.05,14.05,0
1992-01-31,13.85,13.85,13.85,13.85,0
1992-03-27,13.65,13.65,13.65,13.65,0
1992-04-06,13.65,13.65,13.65,13.65,0
1992-04-10,14.66,14.66,14.66,14.66,0
1992-04-14,15.06,15.06,15.06,15.06,0
1992-04-27,15.26,15.26,15.26,15.26,0
1992-04-28,15.26,15.26,15.22,15.22,0
1992-04-29,15.26,15.28,15.22,15.28,0
1992-04-30,15.32,15.32,15.28,15.3,0
1992-05-01,15.28,15.3,15.28,15.3,0
1992-05-05,15.28,15.3,15.28,15.3,0
1992-05-06,15.28,15.3,15.28,15.3,0
1992-05-07,15.28,15.3,15.28,15.3,0
1992-05-08,15.32,15.32,15.3,15.3,0
1992-05-11,15.32,15.66,15.3,15.66,0
1992-05-12,15.72,15.72,15.66,15.66,0
1992-05-13,15.66,16.26,15.66,16.26,0
1992-05-14,16.46,17.07,16.46,16.93,0
1992-05-15,16.93,18.07,16.66,18.17,0
1992-05-18,18.27,18.73,18.27,18.73,0
1992-05-19,18.77,19.27,18.73,19.27,0
1992-05-20,19.88,20.14,19.88,20.14,0
1992-05-21,20.18,20.78,19.88,20.78,0
1992-05-22,20.78,21.18,20.78,21.18,0
1992-05-26,21.18,21.18,21.18,21.18,0
1992-05-27,21.18,21.28,21.18,21.28,0
1992-05-28,21.18,21.38,21.18,21.38,0
1992-05-29,21.18,21.38,21.18,21.28,0
1992-06-01,21.18,21.18,20.78,21.08,0
1992-06-02,20.98,21.08,20.98,21.08,0
1992-06-03,20.98,21.38,20.98,21.38,0
1992-06-04,21.38,21.38,21.38,21.38,0
1992-06-05,21.38,21.38,21.38,21.38,0
1992-06-08,21.38,21.38,21.38,21.38,0
1992-06-09,21.38,21.38,21.38,21.38,0
1992-06-10,21.38,21.38,21.38,21.38,0
1992-06-11,21.38,21.38,21.38,21.38,0
1992-06-12,21.38,21.38,21.38,21.38,0
1992-06-15,21.38,21.38,21.38,21.38,0
1992-06-16,21.38,21.48,21.38,21.48,0
1992-06-17,21.58,21.68,21.58,21.58,0
1992-06-18,18.67,19.07,18.07,21.58,0
1992-06-19,21.68,21.68,21.58,21.58,0
1992-06-22,21.68,21.68,21.58,21.58,0
1992-06-23,21.68,21.68,21.58,21.58,0
1992-06-24,21.68,21.68,21.44,21.44,0
1992-06-25,21.48,21.48,21.44,21.44,0
1992-06-26,21.48,21.48,21.44,21.48,0
1992-06-29,21.48,21.58,21.48,21.58,0
1992-06-30,21.68,22.59,21.58,22.59,0
1992-07-01,22.59,23.09,22.59,23.09,0
1992-07-02,23.19,25.6,23.19,24.59,0
1992-07-03,24.59,24.59,24.59,24.59,0
1992-07-06,24.59,24.59,24.59,24.59,0
1992-07-07,24.59,24.59,24.59,24.59,0
1992-07-08,24.59,24.59,24.59,24.59,0
1992-07-09,24.59,24.59,24.59,24.59,0
1992-07-10,24.59,24.59,24.59,24.59,0
1992-07-13,24.59,24.59,24.59,24.59,0
1992-07-14,24.59,24.59,23.59,24.59,0
1992-07-15,24.59,24.59,24.59,24.59,0
1992-07-16,26.1,26.1,24.59,24.59,0
1992-07-17,24.59,24.59,24.55,24.55,0
1992-07-20,24.55,24.55,23.39,23.39,0
