date,open,high,low,close,volume
2011-01-25,188.32,188.59,182.03,182.03,44926788
2011-01-26,185.34,185.61,181.11,183.89,22377862
2011-01-27,184.94,186.47,178.99,178.99,21812702
2011-01-28,188.65,188.65,172.63,172.77,19659252
2011-01-31,171.24,172.37,165.15,169.72,30076694
2011-02-01,169.59,175.41,169.59,172.24,33405264
2011-02-02,172.24,176.47,165.15,171.51,28546166
2011-02-03,172.1,172.77,165.88,172.17,19023858
2011-02-04,171.64,173.43,169.12,171.18,8069803
2011-02-07,169.46,177.07,169.46,176.07,13873915
2011-02-08,174.47,179.66,174.39,177.46,24849162
2011-02-09,179.12,179.12,171.24,171.84,14578131
2011-02-10,166.74,168.79,160.45,166.15,54150432
2011-02-11,163.9,167.47,161.98,164.82,19571714
2011-02-14,164.42,165.48,160.52,162.17,19829844
2011-02-15,162.17,164.84,159.99,163.43,13957294
2011-02-16,163.43,168.59,163.43,167.6,23276124
2011-02-17,168.13,169.12,165.15,166.81,23388332
2011-02-18,165.62,166.81,163.17,163.17,13413122
2011-02-21,161.18,163.1,158.53,158.53,15268486
2011-02-22,154.96,158.73,152.25,157.67,33602984
2011-02-23,155.55,157.94,153.57,155.16,35179112
2011-02-24,152.91,152.91,148.41,149.73,49760256
2011-02-25,150.17,153.77,148.6,148.67,33311080
2011-02-28,148.71,150.79,147.55,148.6,17817302
2011-03-01,148.63,153.12,146.9,147.48,30300992
2011-03-02,144.96,151.98,144.96,149.73,36798376
2011-03-03,151.91,154.83,149.73,154.63,20517860
2011-03-04,156.22,157.41,149.47,150.13,16339767
2011-03-07,148.94,154.59,148.14,152.58,16008600
2011-03-08,153.57,154.36,149.93,151.32,21928090
2011-03-09,154.23,157.67,151.32,153.97,24778634
2011-03-10,153.97,154.76,151.19,154.23,20878518
2011-03-11,152.41,155.55,150.92,154.3,13390463
2011-03-14,152.77,155.89,151.98,152.11,17604772
2011-03-15,149.13,152.11,144.77,146.09,21452010
2011-03-16,146.2,148.8,139.8,140.93,18602402
2011-03-17,140.93,153.4,140.46,144.57,15665567
2011-03-18,144.96,148.74,142.32,145.03,29628668
2011-03-21,146.82,147.55,143.62,147.48,11420919
2011-03-22,145.89,149.2,145.36,146.88,15582452
2011-03-23,145.63,145.96,142.65,142.98,17164364
2011-03-24,145.39,148.94,142.25,148.6,13351503
