date,open,high,low,close,volume
1994-06-24,86.54,86.54,86.54,87.3,1612
1994-06-27,86.54,86.54,86.54,86.54,0
1994-06-28,85.4,85.4,85.4,86.54,1008
1994-06-29,86.54,86.54,86.54,86.54,0
1994-06-30,86.54,86.54,86.54,86.54,0
1994-07-01,86.54,86.54,85.4,86.54,4997
1994-07-04,85.4,85.78,85.4,86.54,5038
1994-07-05,86.54,86.54,86.54,86.54,0
1994-07-06,86.54,86.54,86.54,86.54,0
1994-07-07,86.54,86.54,86.54,86.54,0
1994-07-08,87.11,87.11,86.92,86.54,7053
1994-07-11,86.54,86.54,86.54,86.54,0
1994-07-12,86.54,86.54,86.54,86.54,0
1994-07-13,86.54,86.54,85.4,86.54,3976
1994-07-14,86.92,86.92,86.92,86.92,2317
1994-07-15,86.16,86.16,86.16,86.92,11772
1994-07-18,86.54,86.54,86.54,86.54,0
1994-07-19,86.54,86.54,86.54,86.54,0
1994-07-20,86.54,86.54,86.54,86.54,0
1994-07-21,85.4,85.4,85.4,86.54,2015
1994-07-22,86.35,86.35,86.35,86.54,143145
1994-07-25,85.4,85.4,85.4,86.54,1789
1994-07-26,86.54,86.54,86.54,86.54,30226
1994-07-27,85.4,85.4,85.4,86.54,22166
1994-07-28,85.4,85.4,85.4,86.54,2015
1994-07-29,86.73,86.73,86.73,86.92,2164199
1994-08-01,86.54,86.54,86.54,86.92,4417
1994-08-02,86.92,86.92,86.92,86.92,6851
1994-08-03,86.92,86.92,86.92,86.92,0
1994-08-04,87.3,87.3,87.3,87.3,0
1994-08-05,87.3,87.3,87.3,87.3,0
1994-08-08,87.3,87.3,87.3,87.3,0
1994-08-09,87.87,87.87,87.87,87.3,11083
1994-08-10,87.3,87.3,87.3,87.3,0
1994-08-11,86.54,86.54,86.54,87.3,1789
1994-08-12,87.3,87.3,87.3,87.3,0
1994-08-15,87.3,87.3,87.3,87.3,0
1994-08-16,87.3,87.3,87.3,87.3,0
1994-08-17,87.3,87.3,87.3,87.3,0
1994-08-18,88.06,88.06,88.06,87.3,4635
1994-08-19,87.68,87.68,87.68,87.68,0
1994-08-22,86.54,86.54,86.54,87.68,3023
1994-08-23,87.68,87.68,87.68,87.68,0
1994-08-24,87.68,87.68,87.68,87.68,0
1994-08-25,87.3,87.3,87.3,88.06,1008
1994-08-26,87.3,87.3,87.3,88.06,4030
1994-08-30,88.44,88.44,88.44,88.06,2418
1994-08-31,88.44,88.44,88.44,88.06,8060
1994-09-01,88.82,88.82,88.82,88.06,92726
1994-09-02,87.3,88.82,87.3,88.44,69204
1994-09-05,88.44,88.44,88.44,88.44,0
1994-09-06,88.44,88.44,88.44,88.44,0
1994-09-07,88.44,88.44,88.44,88.44,0
1994-09-08,88.44,88.44,88.44,88.44,0
1994-09-09,87.68,87.68,87.68,87.68,0
1994-09-12,86.92,86.92,86.92,87.3,50377
1994-09-13,87.3,87.3,87.3,87.3,0
1994-09-14,87.3,87.3,87.3,87.3,151131
1994-09-15,87.3,87.3,87.3,87.3,0
1994-09-16,86.92,86.92,86.92,86.92,0
1994-09-19,86.92,86.92,86.92,86.92,0
1994-09-20,86.92,86.92,86.92,86.92,0
1994-09-21,86.92,86.92,86.92,86.92,0
1994-09-22,86.54,86.54,86.16,86.92,7053
1994-09-23,86.92,86.92,86.92,86.92,0
1994-09-26,86.16,86.16,86.16,86.54,2686
1994-09-27,86.54,86.54,86.54,86.54,0
1994-09-28,86.16,86.54,86.16,86.54,223974
1994-09-29,86.54,86.54,86.54,86.54,0
1994-09-30,86.54,86.54,86.54,86.54,0
1994-10-03,85.02,85.02,85.02,85.02,0
1994-10-04,84.27,84.27,84.27,85.02,65490
1994-10-05,84.27,84.27,83.89,84.65,28614
1994-10-06,85.02,85.02,85.02,85.02,0
1994-10-07,86.54,86.54,86.54,85.02,6045
1994-10-10,85.02,85.02,85.02,85.02,0
1994-10-11,85.02,85.02,85.02,85.02,0
1994-10-12,85.02,85.02,85.02,85.02,0
1994-10-13,85.02,85.02,85.02,85.02,0
1994-10-14,84.65,85.02,84.65,85.02,1085315
1994-10-17,84.65,84.65,84.65,84.65,0
1994-10-18,84.65,84.65,84.65,84.65,0
1994-10-19,84.27,84.27,84.27,84.27,0
1994-10-20,84.65,84.65,84.65,84.27,2015
1994-10-21,84.27,84.27,84.27,84.27,0
1994-10-24,84.27,84.27,84.27,84.27,0
1994-10-25,83.13,83.13,82.75,83.89,72543
1994-10-26,83.89,83.89,83.89,83.89,32997
1994-10-27,83.89,83.89,83.89,83.89,0
1994-10-28,83.51,83.51,83.51,83.51,19008
1994-10-31,83.51,83.51,83.51,83.51,0
1994-11-01,83.51,83.51,83.51,83.51,0
1994-11-02,83.51,83.51,83.51,83.51,0
1994-11-03,83.51,83.51,83.51,83.51,0
1994-11-04,83.51,83.51,83.51,83.51,0
1994-11-07,82.37,82.37,82.37,83.51,33209
1994-11-08,83.89,83.89,83.89,83.51,50377
1994-11-09,83.51,83.51,83.51,83.51,0
1994-11-10,83.89,83.89,83.51,83.51,138343
1994-11-11,82.75,82.75,82.75,83.51,8353
