date,open,high,low,close,volume
1996-10-02,285.24,301.21,283.06,293.22,13026167
1996-10-03,299.03,317.9,285.24,302.66,24825768
1996-10-04,301.57,303.38,296.85,301.93,14480472
1996-10-07,306.29,306.29,299.03,300.48,7046489
1996-10-08,301.21,307.74,297.58,299.03,9544373
1996-10-09,297.58,299.03,291.99,294.31,26052176
1996-10-10,294.22,297.58,290.32,291.04,17606560
1996-10-11,288.87,291.77,287.27,288.14,12388277
1996-10-14,288.87,289.59,284.51,285.24,8401102
1996-10-15,287.42,287.42,282.7,283.79,5426408
1996-10-16,283.06,283.06,279.43,279.79,8883313
1996-10-17,277.98,280.52,276.53,277.25,6509472
1996-10-18,277.25,279.43,274.35,275.08,11456226
1996-10-21,274.35,278.71,272.9,277.62,12721202
1996-10-22,275.08,281.61,275.08,279.43,8939630
1996-10-23,277.98,281.61,277.25,279.07,10830922
1996-10-24,277.84,283.79,272.9,273.26,7522108
1996-10-25,272.17,273.63,268.55,269.63,6728889
1996-10-28,267.82,270.72,267.09,268.18,6367413
1996-10-29,267.33,273.26,264.92,266.0,3965295
1996-10-30,266.19,268.55,262.01,263.1,4387402
1996-10-31,261.29,261.29,259.11,260.2,5641251
1996-11-01,259.11,268.55,256.93,257.3,4111251
1996-11-04,256.21,261.29,255.48,256.57,3349695
1996-11-05,256.93,257.66,254.75,256.21,9533734
1996-11-06,258.38,272.9,255.48,271.09,14159118
1996-11-07,271.45,277.62,264.92,271.45,13678928
1996-11-08,272.17,274.35,259.11,265.28,4478226
1996-11-11,263.46,266.6,259.11,260.2,8578962
1996-11-12,263.46,265.28,261.29,264.19,8864194
1996-11-13,264.19,267.09,255.48,262.74,9142738
1996-11-14,264.92,264.92,257.66,259.84,13793716
1996-11-15,264.19,267.09,259.84,264.19,5126960
1996-11-18,265.64,268.55,263.46,267.82,3601738
1996-11-19,269.27,271.81,266.37,269.63,4623960
1996-11-20,270.72,270.72,263.46,264.19,3888317
1996-11-21,263.56,264.92,261.29,262.01,3026600
1996-11-22,262.74,268.55,262.74,267.46,3566574
1996-11-25,270.0,275.08,266.37,273.26,5024106
1996-11-26,272.9,277.25,269.27,269.63,3995767
1996-11-27,273.63,275.8,267.09,268.18,4477697
1996-11-28,267.82,279.43,267.82,278.34,3769186
1996-11-29,279.43,280.16,273.63,274.71,3139378
1996-12-02,272.9,274.35,268.55,269.27,1949594
1996-12-03,271.81,272.17,268.55,270.36,1281139
1996-12-04,268.55,274.58,264.92,267.82,3469725
1996-12-05,270.0,275.8,267.09,271.09,3451416
1996-12-06,264.92,267.09,264.19,265.64,5022072
1996-12-09,267.09,269.27,264.92,268.18,2217595
1996-12-10,267.46,275.8,267.09,274.71,11151162
1996-12-11,273.63,280.88,273.63,276.53,4750111
1996-12-12,279.43,289.23,272.17,279.43,7519663
1996-12-13,276.53,283.79,275.8,277.25,3383793
1996-12-16,277.25,279.43,272.17,276.17,2662360
1996-12-17,275.08,280.88,273.63,276.17,3032761
1996-12-18,275.44,282.34,275.44,280.16,6480149
1996-12-19,279.53,282.34,279.43,281.61,8001160
1996-12-20,281.79,285.96,281.61,284.88,5906461
1996-12-23,283.42,289.59,273.63,283.06,2525613
1996-12-24,281.61,281.61,278.71,279.79,3207606
1996-12-27,277.98,279.43,275.8,276.89,279043
1996-12-30,280.16,280.16,273.63,274.71,3512400
1996-12-31,273.99,275.8,272.9,273.63,3113684
1997-01-02,271.45,275.8,270.72,274.35,4901745
1997-01-03,274.71,284.15,274.35,277.98,2503476
1997-01-06,278.71,283.79,276.53,282.7,3634638
1997-01-07,283.79,283.79,277.98,278.71,5454927
1997-01-08,279.43,281.61,277.98,278.71,771817
1997-01-09,275.8,279.07,272.17,273.63,5573274
1997-01-10,275.08,277.98,272.17,276.89,4957210
1997-01-13,277.25,281.61,277.25,280.52,2284007
1997-01-14,279.43,284.51,277.98,283.06,5637364
1997-01-15,283.06,284.51,280.16,281.61,5061355
1997-01-16,280.16,288.87,280.16,285.6,5655698
