date,open,high,low,close,volume
2004-05-26,22.0,22.8,21.9,22.5,512090
2004-05-27,22.7,23.2,22.7,23.0,216606
2004-05-28,23.0,23.1,22.7,23.0,52001
2004-05-31,23.0,23.1,22.8,23.0,22016
2004-06-01,23.0,23.0,22.7,23.0,13118
2004-06-02,22.9,23.0,22.9,23.0,18698
2004-06-03,23.0,23.0,22.8,22.8,7667
2004-06-04,23.0,23.0,22.8,23.0,35712
2004-06-07,23.0,23.4,23.0,23.4,51796
2004-06-08,23.4,24.3,23.4,24.1,35369
2004-06-09,24.2,25.0,24.0,25.0,35773
2004-06-11,24.9,27.0,24.9,26.3,48516
2004-06-14,26.3,26.3,24.7,25.7,22728
2004-06-15,25.5,25.6,25.0,25.2,7419
2004-06-16,25.0,25.7,25.0,25.4,9111
2004-06-17,25.4,25.6,24.5,24.5,27106
2004-06-18,24.8,25.0,24.5,24.5,9280
2004-06-21,24.3,25.3,24.3,24.9,18702
2004-06-22,25.1,25.2,24.9,24.9,6626
2004-06-23,25.3,25.6,25.1,25.1,19150
2004-06-24,25.5,25.5,25.1,25.2,7437
2004-06-25,25.3,25.6,25.0,25.6,9500
2004-06-28,25.8,27.5,25.8,27.3,32670
2004-06-29,27.6,27.7,26.8,27.0,7446
2004-06-30,27.4,27.4,26.8,26.8,10373
2004-07-01,26.8,26.9,26.3,26.7,2122
2004-07-02,26.5,26.7,26.1,26.5,11567
2004-07-05,26.7,27.0,26.6,26.9,4326
2004-07-06,26.7,27.0,26.5,26.9,4177
2004-07-07,26.9,27.3,26.6,27.2,6889
2004-07-08,27.0,28.5,27.0,28.3,14888
2004-07-09,28.5,29.5,28.3,29.5,18498
2004-07-12,29.5,30.6,29.5,29.6,47658
2004-07-13,29.6,30.0,29.3,29.9,23670
2004-07-14,29.5,31.8,29.5,31.5,58848
2004-07-15,31.5,32.7,30.9,31.4,43613
2004-07-16,31.8,32.4,30.4,32.1,48835
2004-07-19,32.5,34.9,32.5,33.6,40025
2004-07-20,34.2,34.2,31.9,33.4,59209
2004-07-21,33.4,33.5,32.5,32.9,102968
2004-07-22,33.0,33.0,32.6,32.9,23501
2004-07-23,32.9,34.5,32.6,34.2,24614
2004-07-26,34.4,34.5,32.9,33.1,29725
2004-07-27,33.4,33.9,32.1,32.8,19037
2004-07-28,33.7,33.7,31.6,32.0,18133
2004-07-29,31.6,32.3,31.0,31.4,19164
2004-07-30,31.4,32.0,31.3,32.0,5272
2004-08-02,32.1,33.0,32.1,32.7,14036
2004-08-03,32.7,33.0,32.6,32.9,15585
2004-08-04,32.8,33.3,32.7,33.2,22804
2004-08-05,33.5,33.5,32.8,32.8,9332
2004-08-06,32.5,32.9,31.5,31.5,12552
2004-08-09,31.5,32.5,29.8,30.5,13506
2004-08-10,30.5,31.4,30.2,31.0,17825
2004-08-11,30.6,31.0,30.6,30.6,21169
2004-08-12,30.5,30.9,30.5,30.6,3331
2004-08-13,30.6,30.8,30.5,30.8,2472
2004-08-16,31.1,31.1,30.9,30.9,1926
2004-08-17,30.8,31.4,30.7,31.0,3946
2004-08-18,31.0,31.6,31.0,31.6,3978
2004-08-19,31.9,31.9,31.2,31.2,2523
2004-08-20,30.9,31.3,30.3,30.7,6225
2004-08-23,30.7,31.3,30.6,31.2,18279
2004-08-24,31.5,33.0,31.5,33.0,21398
2004-08-25,33.0,33.1,32.3,32.7,13904
2004-08-26,33.0,33.0,32.1,32.1,9707
2004-08-27,33.0,33.0,32.5,32.8,1080
2004-08-30,32.8,32.8,31.9,31.9,1644
2004-08-31,31.7,32.0,31.7,31.8,17176
2004-09-01,32.0,32.5,31.8,32.5,9796
2004-09-02,32.4,33.0,31.7,32.8,19314
2004-09-03,33.0,33.1,32.5,32.9,4493
2004-09-06,33.0,33.0,32.5,32.7,1764
2004-09-07,32.1,32.9,32.1,32.7,5388
2004-09-08,32.6,34.7,32.5,34.3,38162
2004-09-09,34.1,36.0,33.7,36.0,45464
2004-09-10,36.9,37.5,36.3,36.3,51445
2004-09-13,37.0,37.8,36.6,37.4,18195
2004-09-14,38.0,38.7,37.2,37.2,26713
2004-09-15,37.2,37.2,36.3,36.9,8121
2004-09-16,36.7,36.9,36.6,36.8,4580
2004-09-17,36.6,36.7,36.0,36.4,9305
2004-09-20,36.0,36.7,35.6,36.5,2535
2004-09-21,36.6,36.6,36.2,36.4,1331
2004-09-22,36.2,36.9,36.0,36.2,4879
2004-09-23,36.0,37.9,36.0,37.1,22237
2004-09-24,37.2,38.4,37.0,37.0,18626
2004-09-27,37.2,37.2,36.7,36.7,4661
2004-09-28,36.3,36.7,36.3,36.7,4178
2004-09-29,36.4,37.0,36.4,37.0,9040
2004-09-30,36.9,37.0,36.6,36.6,4778
2004-10-01,36.5,36.9,36.4,36.9,3183
2004-10-04,37.5,38.1,37.0,37.2,14992
2004-10-05,37.5,37.5,37.0,37.0,7275
2004-10-06,37.0,37.0,36.7,36.9,5053
2004-10-07,36.8,36.8,35.9,36.5,12980
2004-10-08,36.0,36.4,35.7,36.4,5930
2004-10-11,36.0,36.5,35.9,36.1,3551
2004-10-12,35.7,35.7,35.0,35.1,14495
2004-10-13,34.5,35.0,34.4,34.7,11745
2004-10-14,34.9,35.7,34.9,35.3,16008
2004-10-15,35.7,35.7,35.3,35.3,126313
2004-10-18,35.5,35.5,35.2,35.2,41437
2004-10-19,35.1,35.1,34.1,34.1,8294
2004-10-20,34.1,34.1,33.0,33.8,22530
2004-10-21,33.0,34.4,33.0,34.4,6638
2004-10-22,34.9,35.6,34.9,35.3,2332
2004-10-25,33.7,35.0,33.7,34.5,4706
2004-10-26,34.4,35.9,34.1,35.9,10290
2004-10-27,35.8,36.8,35.7,36.5,33645
2004-10-28,37.6,38.4,37.6,38.1,40510
2004-10-29,39.2,39.2,38.6,39.2,659611
2004-11-02,39.4,39.4,38.3,38.7,22437
2004-11-03,39.0,39.0,38.1,38.5,4359
2004-11-04,38.4,38.5,38.1,38.4,5783
2004-11-05,38.5,39.4,38.4,39.4,17048
2004-11-08,39.9,39.9,38.6,39.1,16539
2004-11-09,39.1,39.1,38.6,38.7,10313
2004-11-10,39.0,39.3,38.2,39.3,19141
2004-11-12,39.6,39.6,38.7,38.8,8514
2004-11-15,39.0,39.0,38.0,38.0,10334
2004-11-16,38.0,38.5,37.0,38.1,8655
2004-11-17,38.0,38.3,37.5,38.3,8980
2004-11-18,38.3,38.4,38.0,38.1,54379
2004-11-19,38.4,38.4,37.9,37.9,4915
2004-11-22,38.0,38.0,37.7,37.7,6923
2004-11-23,37.7,38.0,37.2,37.6,4595
2004-11-24,37.8,37.8,36.2,36.5,11336
2004-11-25,36.2,37.0,36.1,36.6,10455
2004-11-26,36.7,36.7,36.2,36.7,1958
2004-11-29,36.7,36.7,36.1,36.1,2991
2004-11-30,36.0,36.5,35.4,36.1,6432
2004-12-01,36.5,37.7,36.5,37.7,9828
2004-12-02,37.9,38.7,37.7,38.5,44477
2004-12-03,38.7,38.7,38.0,38.2,8380
2004-12-06,38.0,38.4,37.5,38.0,18536
2004-12-07,37.9,38.5,37.9,38.5,14326
2004-12-08,38.6,38.6,38.1,38.6,3851
2004-12-09,38.1,38.1,38.0,38.0,1802
2004-12-10,38.2,38.5,38.0,38.0,3930
2004-12-13,38.0,38.2,37.5,37.5,4483
2004-12-14,38.0,38.0,37.0,37.5,4586
2004-12-15,37.0,37.4,36.9,37.0,2362
2004-12-16,37.1,37.6,37.0,37.6,4741
2004-12-17,37.7,37.7,37.0,37.5,4538
2004-12-20,37.5,37.6,36.7,37.6,4642
2004-12-21,37.6,37.6,37.0,37.0,3011
2004-12-22,37.1,37.1,36.7,36.8,4622
2004-12-23,36.6,37.1,36.5,37.0,637
2004-12-24,36.6,37.4,36.6,37.4,367
2004-12-27,37.4,37.4,36.6,37.4,2114
2004-12-28,37.4,37.4,36.9,37.1,4504
2004-12-29,37.0,37.4,36.8,37.3,5083
2004-12-30,37.2,37.4,37.0,37.4,1107
2004-12-31,37.4,37.4,37.0,37.4,1029
2005-01-03,37.5,38.0,37.5,37.5,10528
2005-01-04,37.7,37.7,37.1,37.4,1643
2005-01-05,37.2,37.4,37.0,37.4,3945
2005-01-06,36.8,37.0,36.3,36.8,5145
2005-01-07,36.8,36.8,36.5,36.5,12051
2005-01-10,37.0,37.0,36.5,36.8,15384
2005-01-11,36.5,36.8,36.5,36.7,1650
2005-01-12,36.6,36.9,36.6,36.9,2822
2005-01-13,36.7,36.7,36.3,36.3,13572
2005-01-14,36.3,36.5,36.3,36.5,1842
2005-01-17,36.8,37.8,36.8,37.5,24088
2005-01-18,37.3,37.6,34.6,37.0,16320
2005-01-19,37.0,37.0,36.5,36.5,2535
2005-01-20,36.2,36.5,36.1,36.5,16518
2005-01-21,36.5,37.0,36.5,36.9,1804
2005-01-24,36.8,37.2,36.8,37.2,1538
2005-01-25,37.5,37.5,37.0,37.3,45776
2005-01-26,37.5,37.7,37.5,37.7,1700
2005-01-27,37.7,39.4,37.7,39.4,30912
2005-01-28,39.5,40.5,39.2,40.2,40711
2005-01-31,40.5,40.8,40.3,40.5,10420
2005-02-01,40.3,40.3,38.9,40.0,16565
2005-02-02,39.8,40.4,39.2,39.6,43366
2005-02-03,39.8,40.0,39.7,39.7,42128
2005-02-04,39.6,41.6,39.6,41.5,24859
2005-02-07,42.1,42.8,40.9,41.0,94296
2005-02-08,41.0,41.1,41.0,41.0,112998
2005-02-09,40.8,40.9,40.7,40.9,7660
2005-02-10,40.7,40.7,40.2,40.7,2452
2005-02-11,40.7,40.7,40.2,40.3,4836
2005-02-14,40.1,40.2,39.3,39.8,5085
2005-02-15,39.1,40.0,39.0,40.0,24165
2005-02-16,40.4,40.6,39.9,39.9,172017
2005-02-17,39.8,40.3,39.7,39.8,2036
2005-02-18,39.8,39.8,39.5,39.6,4029
2005-02-21,39.9,39.9,39.2,39.2,1853
2005-02-22,39.2,39.3,38.5,38.5,4487
2005-02-23,38.4,38.5,38.4,38.5,5025
2005-02-24,39.0,39.0,37.9,38.2,4167
2005-02-25,38.9,38.9,38.1,38.5,849
2005-02-28,38.6,38.6,38.0,38.5,8847
2005-03-01,38.5,39.1,38.5,39.1,60158
2005-03-02,39.0,39.5,38.5,39.4,1083
2005-03-03,39.5,39.8,39.0,39.5,20334
2005-03-04,39.5,39.5,39.2,39.5,49537
2005-03-07,39.6,39.8,39.0,39.5,21429
2005-03-08,39.5,39.5,39.4,39.5,20243
2005-03-09,39.5,39.5,39.5,39.5,15577
2005-03-10,39.4,39.5,37.9,39.5,17749
2005-03-14,38.6,38.6,38.3,38.3,530
2005-03-15,38.3,38.3,38.0,38.0,961
2005-03-16,37.5,37.6,37.0,37.0,4864
2005-03-17,36.8,36.8,35.0,35.5,21727
2005-03-18,35.2,36.5,34.5,34.8,12393
2005-03-21,35.0,35.0,34.5,34.5,6698
2005-03-22,34.5,35.0,33.2,33.4,6716
2005-03-23,33.6,34.7,33.2,34.7,886
2005-03-24,34.8,35.4,34.8,34.8,1789
2005-03-29,34.5,34.5,33.9,34.5,3414
2005-03-30,34.1,34.1,34.0,34.0,973
2005-03-31,34.0,34.8,34.0,34.8,1245
2005-04-01,34.7,35.2,34.6,35.1,405
2005-04-04,35.4,35.4,34.8,34.8,220
2005-04-05,34.8,35.3,34.8,35.3,168
2005-04-06,35.5,35.9,35.4,35.9,685
2005-04-07,35.9,36.0,35.8,36.0,255
2005-04-11,36.0,36.0,35.0,35.0,110
2005-04-12,35.0,35.9,35.0,35.5,170
2005-04-13,35.7,36.0,35.4,36.0,293
2005-04-14,35.4,35.4,35.1,35.1,646
2005-04-15,35.1,35.2,35.0,35.0,1091
2005-04-18,35.0,35.0,34.2,35.0,632
2005-04-19,34.5,34.9,34.5,34.9,844
2005-04-20,34.9,35.5,34.6,35.5,47846
2005-04-21,34.3,35.3,34.3,35.3,80
2005-04-22,35.3,35.3,34.7,34.7,352
2005-04-25,35.0,35.5,35.0,35.0,909
2005-04-26,34.1,34.8,33.1,33.2,870
2005-04-27,32.0,35.0,31.0,35.0,5122
2005-04-28,32.6,34.7,32.6,34.6,140
2005-04-29,32.6,33.8,32.6,33.5,240
2005-05-04,32.6,34.0,32.1,32.7,10833
2005-05-05,33.0,33.5,33.0,33.5,375
2005-05-06,33.5,33.5,33.0,33.5,240
2005-05-09,33.0,33.0,30.6,30.6,2342
2005-05-10,31.0,31.5,30.0,30.9,6284
2005-05-11,30.2,31.0,30.2,31.0,4000
2005-05-12,30.3,30.5,30.3,30.5,963
2005-05-13,30.1,30.1,28.0,28.0,4499
2005-05-16,28.1,28.1,27.0,27.3,7278
2005-05-17,27.3,28.0,27.3,28.0,1562
2005-05-18,29.0,30.3,28.9,30.3,4738
2005-05-19,30.4,30.8,28.8,29.0,3900
2005-05-20,29.9,29.9,29.1,29.9,697
2005-05-23,29.9,31.3,29.9,31.3,1075
2005-05-24,31.0,31.3,30.7,31.3,202
2005-05-25,31.0,31.2,30.6,31.2,337
2005-05-31,31.0,31.0,31.0,31.0,100
2005-06-01,30.1,30.9,30.1,30.2,1265
2005-06-02,30.1,30.1,30.1,30.1,1787
2005-06-03,30.0,30.0,29.0,29.0,1878
2005-06-06,29.3,30.0,29.2,29.9,515
2005-06-07,30.5,30.7,30.5,30.5,2286
2005-06-08,30.9,31.0,30.9,31.0,537
2005-06-09,30.7,30.7,30.7,30.7,16
2005-06-10,30.7,30.7,30.2,30.2,316
2005-06-13,30.9,31.9,30.9,30.9,491
2005-06-14,30.7,31.3,30.7,31.3,653
2005-06-15,30.9,32.0,30.9,32.0,95914
2005-06-16,32.0,32.0,30.8,32.0,801
2005-06-21,31.0,31.5,30.8,30.8,2728
