date,open,high,low,close,volume
2002-05-27,440.0,453.0,400.0,437.5,8248420
2002-05-28,438.0,440.0,433.0,437.0,1561332
2002-05-29,438.0,439.0,435.0,437.5,1842550
2002-05-30,436.0,439.0,425.1,437.0,497620
2002-05-31,437.0,442.0,437.0,440.5,714331
2002-06-05,440.0,444.0,440.0,442.0,1723236
2002-06-06,445.0,448.0,445.0,446.5,109406
2002-06-07,443.0,447.2,443.0,446.0,1458060
2002-06-10,449.0,455.0,447.0,453.5,142530
2002-06-11,456.0,460.0,455.0,457.5,567784
2002-06-12,457.0,460.9,456.0,458.5,249144
2002-06-13,458.0,463.0,458.0,462.5,31215
2002-06-14,460.0,462.5,450.8,453.0,1350478
2002-06-17,451.5,455.0,450.0,452.5,620761
2002-06-18,448.0,449.0,444.0,445.0,1118644
2002-06-19,442.0,443.0,440.0,437.5,115415
2002-06-20,440.0,440.0,437.0,439.5,423561
2002-06-21,439.5,442.0,435.0,439.0,864782
2002-06-24,437.0,440.0,436.8,438.0,72121
2002-06-25,438.0,439.8,437.5,438.0,266635
2002-06-26,427.0,433.0,426.0,428.0,2125962
2002-06-27,431.0,432.0,428.0,430.0,1010298
2002-06-28,433.0,433.0,428.0,431.0,638080
2002-07-01,432.0,434.0,431.5,431.5,274842
2002-07-02,430.0,433.0,424.0,425.5,711853
2002-07-03,424.0,428.2,424.0,427.0,214291
2002-07-04,427.0,430.5,425.5,426.0,786712
2002-07-05,424.0,424.0,419.0,420.5,832166
2002-07-08,420.0,423.0,418.0,420.5,342897
2002-07-09,417.0,418.8,407.2,410.0,966971
2002-07-10,400.0,400.0,390.0,394.5,817166
2002-07-11,383.0,383.0,364.0,371.0,1027178
2002-07-12,383.0,387.0,380.0,382.5,338800
2002-07-15,382.0,382.5,380.0,382.5,127832
2002-07-16,380.0,380.0,365.0,367.0,1886436
2002-07-17,367.0,367.0,352.0,353.5,246986
2002-07-18,352.0,362.0,352.0,357.0,473149
2002-07-19,354.0,354.0,345.0,347.5,169918
2002-07-22,345.0,345.3,341.0,342.5,401234
2002-07-23,340.0,343.0,337.0,338.5,1582700
2002-07-24,340.0,340.0,333.0,335.5,764821
2002-07-25,338.0,340.0,336.0,337.5,292032
2002-07-26,337.5,337.5,337.5,337.5,1000
2002-07-29,342.0,362.0,342.0,360.0,187556
2002-07-30,363.5,370.0,362.8,367.5,73165
2002-07-31,369.0,380.0,369.0,376.5,182034
2002-08-01,377.0,389.0,377.0,385.0,1224836
2002-08-02,386.0,392.0,386.0,391.0,463592
2002-08-05,389.2,394.0,388.0,390.0,694370
2002-08-06,387.0,398.0,387.0,395.5,144958
2002-08-07,402.0,410.0,402.0,405.0,716529
2002-08-08,404.0,408.0,404.0,406.0,227348
2002-08-09,406.0,407.0,404.0,405.0,271420
2002-08-12,402.0,404.2,399.5,399.5,552646
2002-08-13,400.0,400.0,400.0,399.0,209600
2002-08-14,396.0,397.0,392.0,394.5,550110
2002-08-15,397.0,397.0,391.0,390.0,68400
2002-08-16,392.0,392.0,392.0,390.0,416550
2002-08-19,392.0,403.0,389.0,401.5,845800
2002-08-20,408.0,410.0,405.0,407.0,277531
2002-08-21,409.5,412.0,407.8,409.5,325541
2002-08-22,412.0,417.0,412.0,415.0,332950
2002-08-23,418.0,418.0,414.0,415.5,45205
2002-08-27,420.0,421.0,418.0,419.0,253468
2002-08-28,418.0,423.0,418.0,421.5,708233
2002-08-29,423.0,426.0,422.0,424.5,305640
2002-08-30,428.0,429.2,425.0,427.0,1406371
2002-09-02,445.9,455.0,445.0,448.5,327870
2002-09-03,446.0,450.0,445.0,448.0,977789
2002-09-04,444.0,444.0,435.0,437.5,1139548
2002-09-05,438.0,439.5,423.0,425.5,3447710
2002-09-06,426.0,431.0,425.0,427.0,837329
2002-09-09,426.6,427.4,423.0,424.0,410286
2002-09-10,424.0,425.0,421.0,423.5,1026409
2002-09-11,419.0,430.0,419.0,427.5,2159926
2002-09-12,430.0,430.0,424.0,426.0,1176853
2002-09-13,424.0,427.0,423.0,425.0,683940
2002-09-16,425.0,425.0,425.0,425.0,349692
2002-09-17,427.0,427.0,423.0,425.0,327000
2002-09-18,420.0,423.0,418.0,419.5,2525724
2002-09-19,415.0,417.0,415.0,416.0,1363790
2002-09-20,414.0,415.0,410.0,414.0,3781630
2002-09-23,412.0,412.7,409.6,410.5,2300560
2002-09-24,410.0,411.0,403.0,405.0,1677690
2002-09-25,406.0,411.0,404.0,409.5,2092220
2002-09-26,413.0,413.0,410.6,411.5,1376899
2002-09-27,408.0,408.0,405.0,404.5,1192543
2002-09-30,403.0,405.0,392.0,394.0,2095349
2002-10-01,396.0,396.0,392.0,393.0,988981
2002-10-02,394.0,395.0,391.0,394.0,435925
2002-10-03,397.0,402.0,396.0,401.5,287470
2002-10-04,403.0,405.0,400.2,403.5,2330878
2002-10-07,402.0,410.0,400.0,408.0,1536058
2002-10-08,409.5,417.2,408.0,410.0,1171346
2002-10-09,409.6,410.4,400.5,400.5,384431
2002-10-10,398.0,398.0,393.0,396.0,390411
2002-10-11,400.0,402.0,400.0,400.5,368407
2002-10-14,403.0,403.0,399.0,401.0,88476
2002-10-15,404.0,421.0,404.0,419.5,398406
2002-10-16,415.0,420.0,413.0,417.5,1651204
2002-10-17,420.0,429.0,420.0,428.5,952179
2002-10-18,427.0,431.0,427.0,429.0,654084
2002-10-21,425.0,426.0,414.0,416.0,331892
2002-10-22,412.5,414.0,411.0,412.5,862052
2002-10-23,413.0,413.0,406.0,407.5,841273
2002-10-24,410.0,414.0,410.0,412.0,393941
2002-10-25,415.0,420.0,415.0,417.5,791348
2002-10-28,420.0,423.0,420.0,422.0,417450
2002-10-29,423.0,428.0,419.8,422.5,1319030
2002-10-30,424.0,435.0,420.0,432.5,253909
2002-10-31,433.0,441.0,431.0,439.5,958970
2002-11-01,438.0,442.0,438.0,440.5,311514
2002-11-04,442.0,442.0,430.0,430.0,329771
2002-11-05,428.0,433.0,427.0,430.0,638501
2002-11-06,435.0,438.0,435.0,436.0,254288
2002-11-07,437.0,437.0,430.0,430.5,384435
2002-11-08,427.0,430.0,423.0,425.5,516600
2002-11-11,427.0,428.0,425.0,425.5,233829
2002-11-12,428.0,428.2,426.5,426.5,414057
2002-11-13,426.0,427.0,425.0,426.5,263883
2002-11-14,424.0,428.9,424.0,426.0,315933
2002-11-15,424.0,428.0,424.0,426.0,221448
2002-11-18,424.9,424.9,418.5,420.0,403641
2002-11-19,423.0,423.0,419.0,419.5,650611
2002-11-20,419.9,420.0,417.0,418.5,1529333
2002-11-21,418.5,420.0,416.0,418.0,746444
2002-11-22,418.0,418.4,416.0,417.5,1770080
2002-11-25,419.0,420.0,417.0,418.0,1007896
2002-11-26,418.0,420.0,417.1,417.5,2761438
2002-11-27,414.8,415.0,411.8,413.0,347900
2002-11-28,414.0,420.0,410.0,417.5,159627
2002-11-29,415.0,417.0,415.0,416.0,95116
2002-12-02,416.5,419.0,415.0,416.5,836916
2002-12-03,418.0,419.0,416.0,416.5,79987
2002-12-04,417.0,419.0,414.0,416.5,106919
2002-12-05,416.5,419.0,416.0,416.5,1154777
2002-12-06,416.5,419.0,413.5,416.5,405626
2002-12-09,419.0,419.0,416.0,417.0,196847
2002-12-10,416.0,417.4,410.0,412.5,418009
2002-12-11,409.0,409.0,405.0,406.5,495766
2002-12-12,399.8,399.8,390.0,393.0,2625161
2002-12-13,393.0,395.0,393.0,393.0,51846
2002-12-16,396.0,402.0,396.0,401.0,158851
2002-12-17,404.0,407.0,404.0,405.5,194359
2002-12-18,407.0,407.0,405.1,407.0,390599
2002-12-19,404.5,408.0,404.0,406.0,953346
2002-12-20,404.0,407.0,404.0,406.0,232433
2002-12-23,405.0,405.0,403.0,405.5,26800
2002-12-24,406.0,406.0,404.0,404.5,6860
2002-12-27,403.0,403.0,403.0,404.5,32800
2002-12-30,404.0,404.0,403.0,404.5,3670
2002-12-31,404.5,404.5,404.5,404.5,0
2003-01-02,405.0,415.0,404.5,413.0,198426
2003-01-03,415.0,419.0,414.0,417.0,475739
2003-01-06,418.0,418.0,414.0,415.0,196728
2003-01-07,413.0,415.0,407.0,408.5,221614
2003-01-08,405.0,405.2,396.5,396.5,427336
2003-01-09,393.0,395.0,369.4,376.0,2225618
2003-01-10,378.0,387.0,378.0,380.0,895174
2003-01-13,378.0,380.0,372.0,374.0,547008
2003-01-14,371.0,375.0,371.0,373.0,150543
2003-01-15,375.0,375.0,362.0,364.0,2790875
2003-01-16,365.0,372.0,362.1,368.0,1471988
2003-01-17,366.0,370.0,366.0,368.0,100481
2003-01-20,367.0,369.0,366.0,368.0,121239
2003-01-21,365.0,370.0,365.0,367.5,226788
2003-01-22,361.0,361.0,349.1,352.0,721976
2003-01-23,350.0,351.0,345.0,348.5,262909
2003-01-24,348.5,360.0,345.0,358.0,2378888
2003-01-27,356.0,360.0,356.0,359.5,1332789
2003-01-28,361.5,362.0,350.0,352.5,592829
2003-01-29,350.0,350.0,344.0,346.0,3535281
2003-01-30,348.0,350.0,344.0,348.5,926426
2003-01-31,350.0,357.0,350.0,356.0,213475
2003-02-03,360.0,367.0,360.0,364.5,151806
2003-02-04,365.0,365.2,357.0,358.5,800631
2003-02-05,354.0,356.8,352.9,355.5,802854
2003-02-06,358.0,358.0,353.0,353.5,448476
2003-02-07,353.5,354.0,351.0,353.5,1233526
2003-02-10,353.1,356.0,350.0,352.5,427845
2003-02-11,354.0,354.0,352.0,351.5,36708
2003-02-12,349.0,349.0,345.0,345.5,181274
2003-02-13,341.0,342.0,341.0,342.0,329571
2003-02-14,344.0,344.0,339.8,340.5,61358
2003-02-17,342.0,342.0,338.0,340.5,187411
2003-02-18,342.0,346.0,341.0,343.5,313291
2003-02-19,344.0,346.0,343.0,345.0,403776
2003-02-20,343.0,345.0,342.0,344.0,106416
2003-02-21,346.0,346.5,342.0,343.5,159166
2003-02-24,343.5,345.0,342.0,343.0,336986
2003-02-25,342.0,345.0,341.0,343.0,871208
2003-02-26,343.0,343.0,341.0,343.0,36320
2003-02-27,341.0,346.0,341.0,343.5,444922
2003-02-28,344.0,346.0,341.0,343.5,238830
2003-03-03,343.8,346.0,342.9,343.5,369303
2003-03-04,343.5,346.0,343.5,343.5,157781
2003-03-05,345.0,345.0,341.5,343.5,80637
2003-03-06,339.0,341.0,331.8,334.5,140600
2003-03-07,332.0,332.0,320.0,325.5,2014418
