date,open,high,low,close,volume
1996-10-23,15.4,15.4,15.1,15.28,7646760
1996-10-24,15.25,15.25,14.88,14.93,14300020
1996-10-25,15.0,15.0,14.8,14.93,2984020
1996-10-28,14.9,14.9,14.6,14.75,1917320
1996-10-29,14.85,14.85,14.6,14.68,10474020
1996-10-30,14.6,15.0,14.6,14.88,1684340
1996-10-31,15.0,15.0,14.85,14.93,13189200
1996-11-01,15.15,15.2,14.97,15.1,2198700
1996-11-04,15.05,15.15,15.0,15.05,5236700
1996-11-05,15.1,15.15,15.0,15.07,1231780
1996-11-06,15.15,15.15,14.85,15.07,1139100
1996-11-07,14.85,14.85,14.85,14.97,12800
1996-11-08,15.0,15.0,14.85,14.88,2999220
1996-11-11,15.0,15.0,14.95,14.88,63320
1996-11-12,15.05,15.1,14.9,14.97,3054000
1996-11-13,15.1,15.1,14.9,15.0,538800
1996-11-14,15.0,15.0,15.0,15.0,0
1996-11-15,15.1,15.1,14.9,15.0,1140000
1996-11-18,15.0,15.0,14.85,14.93,233760
1996-11-19,15.0,15.0,14.88,14.93,887000
1996-11-20,14.9,14.9,14.85,14.93,37880
1996-11-21,15.0,15.0,15.0,14.93,120000
1996-11-22,14.85,14.85,14.7,14.82,526000
1996-11-25,14.95,14.95,14.7,14.8,257640
1996-11-26,14.7,14.8,14.6,14.72,7938860
1996-11-27,14.72,14.72,14.72,14.72,0
1996-11-28,14.6,14.85,14.6,14.72,24000
1996-11-29,14.85,14.85,14.85,14.72,6600
1996-12-02,14.85,14.85,14.85,14.72,20020
1996-12-03,14.75,14.9,14.7,14.78,4711260
1996-12-04,14.8,14.9,14.8,14.78,1095400
1996-12-05,14.75,14.95,14.75,14.82,7037180
1996-12-06,14.65,14.75,14.65,14.68,1329560
1996-12-09,14.85,14.85,14.72,14.75,3645000
1996-12-10,14.8,14.85,14.8,14.75,420000
1996-12-11,14.85,14.85,14.85,14.75,20000
1996-12-12,14.8,14.85,14.75,14.8,1926260
1996-12-13,15.0,15.1,15.0,15.0,11429260
1996-12-16,15.15,15.25,15.15,15.18,220000
1996-12-17,15.15,15.35,15.15,15.22,10640
1996-12-18,15.35,15.35,15.35,15.25,32000
1996-12-19,15.35,15.35,15.35,15.25,140000
1996-12-20,15.15,15.15,15.15,15.3,10000
1996-12-23,15.25,15.4,15.25,15.32,1344480
1996-12-24,15.25,15.25,15.25,15.32,200000
1996-12-27,15.25,15.25,15.25,15.32,40000
1996-12-30,15.4,15.85,15.4,15.88,702280
1996-12-31,16.25,17.3,16.25,17.3,2084000
1997-01-02,17.3,17.3,16.6,16.68,6003880
1997-01-03,16.75,16.95,16.55,16.73,7765000
1997-01-06,17.05,17.15,16.93,17.02,39008880
1997-01-07,17.15,17.15,16.9,17.02,4240340
1997-01-08,17.35,17.35,17.0,17.12,24806200
1997-01-09,17.0,17.0,16.65,16.77,1322000
1997-01-10,16.9,16.9,16.65,16.75,144160
1997-01-13,16.65,16.85,16.65,16.75,1307000
1997-01-14,16.85,16.85,16.3,16.73,4160900
1997-01-15,16.5,16.7,16.5,16.62,2437820
1997-01-16,16.9,17.15,16.7,17.02,1478400
1997-01-17,17.15,17.25,17.0,17.12,1878000
1997-01-20,17.0,17.15,17.0,17.07,304300
1997-01-21,16.9,17.1,15.65,16.25,2120580
1997-01-22,16.0,16.15,15.9,16.07,988000
1997-01-23,16.0,16.35,16.0,16.23,871460
1997-01-24,16.35,16.39,16.3,16.25,669320
1997-01-27,16.35,16.35,16.15,16.25,69300
1997-01-28,16.15,16.32,16.15,16.25,4003240
1997-01-29,16.35,16.35,16.2,16.25,46000
1997-01-30,16.3,16.4,16.3,16.43,2513000
1997-01-31,16.35,16.5,16.35,16.43,103000
1997-02-03,16.35,16.35,16.3,16.4,996120
1997-02-04,16.5,16.5,16.3,16.4,7854500
1997-02-05,16.75,16.85,16.65,16.75,2749860
1997-02-06,16.85,16.85,16.85,16.8,240020
1997-02-07,16.75,17.25,16.75,17.18,1419000
1997-02-10,17.35,17.4,17.2,17.3,464000
1997-02-11,17.3,17.6,17.3,17.48,1888920
1997-02-12,17.4,17.7,17.4,17.62,3246580
1997-02-13,17.85,17.85,17.85,17.77,33600
1997-02-14,17.75,17.82,17.65,17.7,4102400
1997-02-17,17.6,17.75,17.6,17.7,355000
1997-02-18,17.7,17.7,17.7,17.7,255800
1997-02-19,17.62,17.8,17.62,17.73,417240
1997-02-20,17.75,17.75,17.65,17.75,26000
1997-02-21,17.7,17.7,17.65,17.73,181780
1997-02-24,17.6,17.75,17.5,17.62,145900
1997-02-25,17.55,17.8,17.55,17.68,520000
1997-02-26,17.6,17.8,17.6,17.88,518000
1997-02-27,18.0,18.0,18.0,17.88,4000
1997-02-28,17.9,17.9,17.9,17.88,75800
1997-03-03,17.95,17.95,17.88,17.88,88000
1997-03-04,17.77,18.1,17.75,17.98,1451380
1997-03-05,17.98,17.98,17.98,17.98,0
1997-03-06,18.05,18.05,18.05,17.98,10800
1997-03-07,17.95,18.25,17.9,18.0,1198680
1997-03-10,18.0,18.25,18.0,18.12,92620
1997-03-11,18.1,18.25,18.1,18.12,5109000
1997-03-12,18.25,18.35,18.1,18.25,133200
1997-03-13,18.35,18.35,18.35,18.25,25400
1997-03-14,18.15,18.25,18.15,18.25,203900
1997-03-17,18.25,18.25,18.15,18.25,54600
1997-03-18,18.25,18.27,18.25,18.32,242000
1997-03-19,18.3,18.4,18.3,18.32,5825260
1997-03-20,18.3,18.3,18.15,18.23,6718600
1997-03-21,18.15,18.15,18.15,18.23,72000
1997-03-24,18.18,18.3,18.15,18.2,102820
1997-03-25,18.1,18.15,18.1,18.2,57480
1997-03-26,18.3,18.3,18.3,18.2,35000
