date,open,high,low,close,volume
2014-04-04,285.95,291.93,270.24,289.69,8135837
2014-04-07,289.93,289.93,261.54,263.03,4474340
2014-04-08,268.76,284.85,236.63,249.08,10905511
2014-04-09,244.1,267.02,242.86,258.05,2659507
2014-04-10,256.56,264.12,249.08,249.08,931200
2014-04-11,246.59,246.59,229.16,233.89,5853682
2014-04-14,234.14,234.14,224.18,224.18,5618367
2014-04-15,230.15,230.15,224.18,224.18,3326785
2014-04-16,229.16,232.83,225.17,226.17,325068
2014-04-17,230.86,232.15,227.67,232.15,1028317
2014-04-22,239.12,245.1,231.4,239.12,666961
2014-04-23,249.08,254.07,238.03,239.12,737046
2014-04-24,239.37,243.11,234.14,234.14,1393009
2014-04-25,237.36,238.87,232.15,232.15,1369382
2014-04-28,234.14,235.88,223.18,224.18,958135
2014-04-29,229.16,232.12,217.2,221.69,2056107
2014-04-30,224.18,225.17,213.96,213.96,2495619
2014-05-01,217.2,220.19,207.74,218.2,2791340
2014-05-02,221.19,226.92,214.21,219.19,3013734
2014-05-06,223.18,233.89,223.18,229.16,259906
2014-05-07,233.39,234.14,227.41,227.41,338313
2014-05-08,224.92,232.89,224.18,226.42,130436
2014-05-09,221.69,226.86,214.21,214.21,981585
2014-05-12,219.19,219.94,211.72,213.22,863702
2014-05-13,212.22,218.7,212.22,216.21,1275145
2014-05-14,230.15,238.37,224.67,228.91,831555
2014-05-15,226.67,231.15,222.67,222.68,192854
2014-05-16,224.18,225.17,208.73,210.97,1208350
2014-05-19,208.23,213.22,194.53,196.28,4212094
2014-05-20,195.28,201.01,195.28,199.02,1439845
2014-05-21,199.77,208.48,198.52,204.0,1564518
2014-05-22,206.74,221.19,206.24,217.95,562034
2014-05-23,215.46,226.92,215.21,222.18,130845
2014-05-27,221.88,225.67,219.19,221.19,249575
2014-05-28,221.19,230.65,221.19,227.91,255989
2014-05-29,226.57,240.62,226.57,238.12,303463
2014-05-30,239.12,247.34,237.13,244.1,453167
2014-06-02,241.86,253.57,241.86,249.08,300277
2014-06-03,245.1,253.07,244.35,246.59,623663
2014-06-04,244.85,245.7,241.11,241.36,323322
2014-06-05,238.62,248.59,228.41,236.13,231832
2014-06-06,230.65,246.1,226.67,245.1,180098
2014-06-09,240.86,248.34,234.14,248.09,135676
2014-06-10,246.39,246.59,231.65,231.9,267187
2014-06-11,229.66,242.11,229.66,233.39,210644
2014-06-12,229.41,239.12,229.41,237.13,224998
2014-06-13,230.65,239.12,227.12,234.14,441200
2014-06-16,237.63,237.63,230.65,234.89,128555
2014-06-17,229.66,248.09,229.66,243.11,415096
2014-06-18,240.12,247.84,237.88,239.37,450237
2014-06-19,236.88,248.09,236.88,248.09,539046
2014-06-20,243.11,259.8,240.86,254.81,7175042
2014-06-23,258.05,258.05,242.01,242.01,468867
2014-06-24,243.7,244.4,227.17,233.74,537369
2014-06-25,235.14,240.72,234.14,240.72,117351
2014-06-26,237.41,250.08,237.41,246.1,184227
