date,open,high,low,close,volume
2007-11-23,24.0,24.45,23.77,24.0,348172
2007-11-26,25.0,25.0,24.0,24.08,216112
2007-11-27,24.0,24.02,24.0,24.02,112852
2007-11-28,24.1,24.4,24.01,24.1,32714
2007-11-29,24.0,24.1,24.0,24.1,1013
2007-11-30,24.1,24.1,24.09,24.09,1102
2007-12-03,24.02,24.03,24.02,24.03,3099
2007-12-04,24.03,24.05,24.03,24.03,1587
2007-12-05,24.01,25.0,24.01,25.0,274373
2007-12-06,24.16,24.16,24.15,24.15,689
2007-12-07,24.5,25.4,24.5,25.0,12046
2007-12-10,25.0,25.0,24.95,25.0,1823
2007-12-11,25.0,27.6,24.94,27.5,234120
2007-12-12,26.0,29.0,26.0,29.0,43214
2007-12-13,28.3,31.0,27.51,30.01,15305
2007-12-14,29.95,30.48,29.5,30.01,3830
2007-12-17,30.0,30.4,30.0,30.4,25320
2007-12-18,30.4,33.0,29.0,30.0,26757
2007-12-19,30.0,30.5,30.0,30.0,159182
2007-12-20,31.0,33.88,30.0,33.88,69161
2007-12-21,36.0,36.0,33.0,33.87,214760
2007-12-27,34.0,35.9,33.5,34.0,207802
2007-12-28,33.92,34.0,33.5,34.0,6644
2008-01-02,39.0,39.0,31.7,35.0,105894
2008-01-03,34.95,34.95,33.0,33.9,143088
2008-01-04,33.0,33.5,31.72,31.72,270965
2008-01-07,30.2,33.0,30.2,31.0,31440
2008-01-08,31.5,33.0,31.0,32.7,376520
2008-01-09,32.7,32.7,30.9,32.0,138387
2008-01-10,30.46,30.9,30.46,30.9,14380
2008-01-11,30.5,32.0,30.3,32.0,3906
2008-01-14,31.18,32.0,30.06,32.0,5290
2008-01-15,32.6,32.7,31.9,31.9,490877
2008-01-16,31.7,31.7,30.7,30.7,41117
2008-01-17,32.4,32.4,30.8,31.0,109879
2008-01-18,31.5,31.5,31.5,31.5,4194
2008-01-21,30.8,31.5,29.0,29.85,72819
2008-01-22,29.0,29.85,29.0,29.79,51623
2008-01-23,29.85,30.88,29.0,30.5,30151
2008-01-24,31.5,31.5,30.0,30.5,10707
2008-01-25,30.3,30.5,30.3,30.5,157637
2008-01-28,30.5,30.88,30.45,30.88,51237
2008-01-29,31.0,31.0,30.5,30.5,382840
2008-01-30,30.5,30.5,30.5,30.5,1105
2008-01-31,30.26,32.5,30.25,30.5,119935
2008-02-01,31.0,31.0,30.5,30.51,132799
2008-02-04,31.99,32.0,30.5,30.5,46108
2008-02-05,30.51,30.51,30.51,30.51,3585
2008-02-06,30.5,31.0,30.5,31.0,1090
2008-02-07,31.0,31.0,31.0,31.0,405794
2008-02-08,31.4,31.5,30.9,31.5,19622
2008-02-11,31.5,32.47,31.0,31.5,22386
2008-02-12,31.5,31.6,31.5,31.6,1043
2008-02-13,32.47,32.5,31.02,32.5,3177
2008-02-14,32.49,32.5,32.0,32.5,68975
2008-02-15,32.49,33.0,32.48,33.0,14311
2008-02-18,32.0,33.0,32.0,33.0,304613
2008-02-19,33.0,33.0,32.0,32.0,11002
2008-02-20,32.0,33.0,32.0,33.0,15929
2008-02-21,34.0,35.0,34.0,35.0,2064
2008-02-22,35.0,36.2,35.0,35.5,4080
2008-02-25,35.2,37.25,35.0,37.0,80458
2008-02-26,37.0,40.7,36.26,40.1,94912
2008-02-27,40.0,40.0,38.01,38.01,23146
2008-02-28,38.5,38.55,38.15,38.45,55420
