date,open,high,low,close,volume
1990-01-02,111.5,111.5,111.5,111.5,246055
1990-01-03,114.43,114.43,114.43,114.43,1095081
1990-01-04,114.79,114.79,114.79,114.79,2171234
1990-01-05,114.43,114.43,114.43,114.43,421809
1990-01-08,111.87,111.87,111.87,111.87,2674160
1990-01-09,111.5,111.5,111.5,111.5,886880
1990-01-10,110.77,110.77,110.77,110.77,324468
1990-01-11,110.4,110.4,110.4,110.4,5137415
1990-01-12,108.94,108.94,108.94,108.94,4867025
1990-01-15,108.21,108.21,108.21,108.21,1633157
1990-01-16,107.48,107.48,107.48,107.48,13654709
1990-01-17,107.85,107.85,107.85,107.85,1579079
1990-01-18,105.29,105.29,105.29,105.29,5948586
1990-01-19,104.55,104.55,104.55,104.55,1327616
1990-01-22,102.73,102.73,102.73,102.73,1535817
1990-01-23,100.9,100.9,100.9,100.9,2703903
1990-01-24,99.44,99.44,99.44,99.44,3753017
1990-01-25,101.26,101.26,101.26,101.26,903104
1990-01-26,103.82,103.82,103.82,103.82,2974293
1990-01-29,105.29,105.29,105.29,105.29,3515074
1990-01-30,103.82,103.82,103.82,103.82,2200977
1990-01-31,103.09,103.09,103.09,103.09,10545221
1990-02-01,100.9,100.9,100.9,100.9,9463660
1990-02-02,102.0,102.0,102.0,102.0,11626782
1990-02-05,101.63,101.63,101.63,101.63,5678196
1990-02-06,101.26,101.26,101.26,101.26,3244683
1990-02-07,100.53,100.53,100.53,100.53,2703903
1990-02-08,101.45,101.45,101.45,101.45,1065338
1990-02-09,100.9,100.9,100.9,100.9,967997
1990-02-12,100.17,100.17,100.17,100.17,894992
1990-02-13,100.53,100.53,100.53,100.53,2703903
1990-02-14,102.73,102.73,102.73,102.73,3785464
1990-02-15,104.55,104.55,104.55,104.55,4055854
1990-02-16,105.29,105.29,105.29,105.29,4867025
1990-02-19,102.36,102.36,102.36,102.36,3515074
1990-02-20,101.26,101.26,101.26,101.26,2433513
1990-02-21,101.63,101.63,101.63,101.63,1744017
