date,open,high,low,close,volume
2011-05-11,41.61,41.61,41.01,41.01,55258
2011-05-12,40.7,41.5,39.83,41.0,76529
2011-05-13,40.6,40.68,40.4,40.53,12443
2011-05-16,40.55,40.9,40.48,40.79,39808
2011-05-17,40.7,40.78,40.4,40.41,69461
2011-05-18,40.5,40.63,40.41,40.5,7886
2011-05-19,40.5,40.56,39.45,40.55,23489
2011-05-20,40.58,40.58,40.23,40.5,21690
2011-05-23,40.51,40.51,40.22,40.3,39410
2011-05-24,40.0,40.5,39.6,40.5,41476
2011-05-25,40.4,41.0,40.4,41.0,9212
2011-05-26,40.75,41.4,40.7,40.7,33342
2011-05-27,40.41,40.8,40.41,40.75,9943
2011-05-30,40.46,40.6,40.1,40.11,15048
2011-05-31,40.04,41.68,39.99,41.46,60446
2011-06-01,41.46,41.46,40.5,41.35,1527
2011-06-02,41.3,41.3,40.5,41.19,6055
2011-06-03,40.55,41.15,40.5,40.55,5806
2011-06-06,40.41,41.0,40.2,41.0,38237
2011-06-07,40.5,41.0,40.5,41.0,54230
2011-06-08,40.5,41.0,40.5,41.0,118074
2011-06-09,40.8,40.8,40.5,40.5,37810
2011-06-10,40.4,40.5,40.1,40.5,56822
2011-06-13,40.4,40.6,40.4,40.55,21872
2011-06-14,40.04,40.31,40.04,40.31,57814
2011-06-15,40.01,40.5,40.01,40.48,11765
2011-06-16,38.2,40.05,38.2,40.0,16773
2011-06-17,39.85,40.0,39.4,40.0,42272
2011-06-20,38.5,40.0,38.5,39.7,96887
2011-06-21,39.5,40.0,39.5,39.7,112899
2011-06-22,39.51,40.49,39.51,40.0,3067
2011-06-24,39.99,40.2,39.81,40.0,11715
2011-06-27,39.92,40.1,39.9,40.0,52858
2011-06-28,39.2,40.0,39.2,40.0,2625
2011-06-29,39.9,40.2,39.9,40.2,8087
2011-06-30,40.5,40.5,40.0,40.5,11642
2011-07-01,41.0,42.95,41.0,42.81,35054
2011-07-04,42.75,43.5,42.75,43.5,23526
2011-07-05,43.65,43.7,43.02,43.3,12452
2011-07-06,43.16,43.3,42.2,43.3,8675
2011-07-07,43.3,43.8,42.64,43.5,14366
2011-07-08,43.3,43.75,42.05,42.05,5135
2011-07-11,42.02,42.9,41.97,42.1,4513
2011-07-12,42.72,42.72,39.58,41.98,42686
2011-07-13,41.0,42.5,41.0,42.0,6426
2011-07-14,41.11,41.99,41.11,41.98,16962
2011-07-15,41.98,41.98,41.5,41.8,623
2011-07-18,41.12,41.12,40.5,40.9,2219
2011-07-19,40.7,40.9,40.02,40.5,2480
2011-07-20,40.5,40.85,40.13,40.14,1959
2011-07-21,40.4,40.4,39.51,40.0,4036
2011-07-22,40.01,40.85,40.01,40.85,51001
