date,open,high,low,close,volume
2014-04-11,19.29,19.29,18.15,18.5,136772
2014-04-14,18.39,18.39,17.85,18.0,37039
2014-04-15,18.0,18.17,17.9,17.99,3312
2014-04-16,17.99,18.13,17.9,17.9,3257
2014-04-17,17.8,18.2,17.8,18.0,3553
2014-04-22,18.29,18.59,18.05,18.55,2162
2014-04-23,18.5,18.6,18.4,18.55,7017
2014-04-24,18.55,18.55,18.54,18.54,910
2014-04-25,18.38,18.5,18.0,18.5,8832
2014-04-28,18.55,18.55,18.01,18.49,817
2014-04-29,18.49,18.49,18.0,18.49,1459
2014-04-30,18.55,18.55,18.0,18.39,3128
2014-05-02,18.48,18.48,18.0,18.0,3589
2014-05-05,18.4,18.46,18.1,18.1,691
2014-05-06,18.1,18.3,18.0,18.1,1218
2014-05-07,18.0,18.01,17.78,17.94,6702
2014-05-08,17.94,17.95,17.91,17.91,1536
2014-05-09,17.92,17.92,17.7,17.7,721
2014-05-12,17.7,17.79,16.72,17.2,58060
2014-05-13,17.39,17.39,17.0,17.18,2527
2014-05-14,17.02,17.02,16.9,17.02,13923
2014-05-15,17.0,17.5,17.0,17.5,303
2014-05-16,17.49,17.5,17.0,17.49,2293
2014-05-19,17.45,17.45,17.45,17.45,10
2014-05-20,17.11,17.15,16.68,17.12,1514
2014-05-21,17.11,17.13,16.65,17.05,777
2014-05-22,17.14,17.94,17.0,17.94,3188
2014-05-23,17.85,17.99,17.85,17.99,1011
2014-05-26,17.99,18.05,17.99,18.05,5
2014-05-27,18.0,18.0,17.75,17.98,669
2014-05-28,17.99,17.99,17.99,17.99,10
2014-05-29,17.8,17.8,17.6,17.7,433
2014-05-30,17.6,18.49,17.3,18.49,5048
2014-06-02,18.45,18.45,17.8,17.94,1155
2014-06-03,18.0,18.0,17.04,17.85,251
2014-06-04,17.2,17.85,17.2,17.8,712
2014-06-05,17.4,17.65,17.4,17.65,387
2014-06-06,17.8,18.25,17.62,17.62,11675
2014-06-09,17.94,18.35,17.5,18.35,4039
2014-06-10,18.47,18.48,18.3,18.3,2820
2014-06-11,18.3,18.3,18.0,18.23,1112
2014-06-12,18.23,18.23,18.2,18.22,314
2014-06-13,18.0,18.21,18.0,18.21,743
2014-06-16,18.2,18.2,17.6,18.14,965
2014-06-17,18.21,18.21,17.82,18.2,1649
2014-06-18,18.19,18.25,18.19,18.2,447
2014-06-20,18.25,18.25,18.2,18.25,350
2014-06-23,18.2,18.2,18.2,18.2,33
2014-06-24,18.28,18.28,17.9,18.24,557
2014-06-25,18.27,18.27,18.2,18.2,441
2014-06-26,17.56,18.19,17.56,18.19,2504
2014-06-27,18.2,18.2,18.1,18.1,15
2014-06-30,18.18,18.18,17.81,18.0,437
2014-07-01,18.0,18.0,17.6,17.6,162
2014-07-02,17.85,17.9,17.35,17.9,3638
2014-07-03,17.9,17.9,17.9,17.9,10
2014-07-04,17.9,17.9,17.9,17.9,10
2014-07-07,17.9,17.9,17.89,17.89,1510
2014-07-08,17.9,17.9,17.8,17.87,2035
2014-07-09,17.87,17.87,17.4,17.86,1032
2014-07-10,17.86,17.86,17.35,17.83,2517
2014-07-11,17.83,17.83,17.4,17.7,1366
2014-07-14,17.31,17.77,17.31,17.77,1330
2014-07-15,17.77,17.77,17.37,17.65,643
2014-07-16,17.77,17.77,17.16,17.44,1031
2014-07-17,17.54,17.54,17.0,17.5,1746
2014-07-18,17.49,17.77,17.1,17.77,1109
2014-07-21,17.5,17.5,17.0,17.35,1830
2014-07-22,17.39,17.52,17.3,17.3,65
2014-07-23,17.2,17.3,17.2,17.3,223
2014-07-24,17.3,17.3,17.24,17.24,1814
2014-07-25,17.48,17.48,17.08,17.17,9214
2014-07-28,17.58,17.58,17.45,17.45,3003
2014-07-29,16.5,16.95,16.5,16.75,8430
2014-07-30,16.79,16.79,16.6,16.7,254
2014-07-31,16.68,16.68,16.48,16.68,2390
2014-08-01,16.75,16.75,16.0,16.73,4459
2014-08-04,16.6,16.9,16.6,16.84,4050
2014-08-05,17.0,17.0,16.2,16.2,777
2014-08-06,16.25,16.25,16.0,16.0,5154
2014-08-07,15.99,15.99,15.0,15.66,16967
2014-08-08,15.66,15.66,14.4,15.2,9399
2014-08-11,15.39,15.39,15.19,15.2,2010
2014-08-12,15.44,15.44,15.0,15.19,85
2014-08-13,15.43,15.43,15.2,15.2,105
2014-08-14,15.44,15.44,14.75,15.2,346
2014-08-18,15.44,15.44,14.85,15.3,490
2014-08-19,15.29,15.29,15.0,15.2,725
2014-08-20,15.2,15.2,14.8,15.2,1072
2014-08-21,15.2,15.2,15.0,15.0,133
2014-08-22,15.05,15.2,15.05,15.2,560
2014-08-25,15.01,16.0,15.01,15.5,685
2014-08-26,15.5,15.5,15.05,15.19,55
2014-08-27,15.19,15.19,15.1,15.19,609
2014-08-28,15.19,15.19,15.0,15.0,10394
2014-08-29,15.0,15.0,14.56,14.8,13385
2014-09-01,15.0,15.0,14.2,14.99,12081
2014-09-02,15.0,15.0,14.5,14.99,3565
2014-09-03,14.6,16.0,14.6,16.0,2152
2014-09-04,16.0,16.1,15.61,16.09,2895
2014-09-05,16.1,16.1,15.4,15.4,797
2014-09-08,15.5,15.5,15.0,15.49,1164
2014-09-09,15.49,15.49,14.9,15.0,141481
2014-09-10,15.15,15.15,15.0,15.08,141591
2014-09-11,15.98,15.98,15.3,15.35,1826
2014-09-12,15.45,15.89,15.45,15.89,41076
2014-09-15,15.99,16.55,15.9,16.21,21016
2014-09-16,16.2,16.61,16.2,16.6,35240
2014-09-17,16.62,17.49,16.62,17.02,25852
2014-09-18,17.29,17.5,17.02,17.5,26792
2014-09-19,17.89,17.89,17.84,17.84,456
2014-09-22,17.98,17.98,17.6,17.79,683
2014-09-23,17.8,18.14,17.79,18.0,3363
2014-09-24,18.0,18.0,17.9,18.0,5857
2014-09-25,18.0,18.0,17.33,18.0,4021
2014-09-26,17.52,18.0,17.51,18.0,3179
2014-09-29,18.0,18.3,17.9,18.29,9148
2014-09-30,18.29,18.3,17.7,18.3,16529
2014-10-01,18.3,18.3,18.02,18.3,15440
2014-10-02,18.3,18.3,18.19,18.28,40155
2014-10-03,18.3,18.3,17.92,17.93,50043
2014-10-06,17.9,18.44,17.9,18.44,18700
2014-10-07,18.45,18.45,18.08,18.4,25137
2014-10-08,18.45,18.45,18.04,18.4,32097
2014-10-09,18.45,18.45,18.4,18.4,12326
2014-10-10,18.45,18.5,18.4,18.4,13204
2014-10-13,18.45,18.62,18.45,18.6,11594
2014-10-14,18.55,18.6,18.35,18.35,31805
2014-10-15,18.45,18.45,18.0,18.21,385
2014-10-16,18.39,18.51,18.05,18.51,40536
2014-10-17,18.55,18.6,18.5,18.5,4648
2014-10-20,18.5,18.5,18.5,18.5,19
2014-10-21,18.5,18.5,18.5,18.5,10005
2014-10-22,18.59,18.59,18.5,18.5,10105
2014-10-23,18.5,18.5,18.5,18.5,10110
