date,open,high,close,low,volume
2001-05-16,48.4,48.4,44.5,48.0,3428
2001-05-17,46.5,47.9,46.0,47.9,2098
2001-05-18,46.1,47.0,46.1,47.0,12
2001-05-24,48.0,48.0,48.0,48.0,5
2001-05-25,48.4,48.4,48.4,48.4,239
2001-05-29,48.3,48.3,48.3,48.3,200
2001-05-30,48.1,48.1,48.1,48.1,200
2001-05-31,48.1,48.1,48.1,48.1,100
2001-06-01,47.6,47.6,47.6,47.6,200
2001-06-04,47.5,47.5,47.0,47.0,1700
2001-06-05,48.1,48.1,47.0,47.0,340
2001-06-07,48.1,48.1,48.1,48.1,400
2001-06-08,48.3,48.3,48.3,48.3,100
2001-06-11,48.3,48.3,48.3,48.3,50
2001-06-12,46.5,48.4,46.5,48.4,250
2001-06-15,48.2,48.5,48.0,48.5,3167
2001-06-18,48.5,48.5,48.5,48.5,150
2001-06-21,47.5,47.5,47.5,47.5,200
2001-06-22,48.0,48.0,48.0,48.0,350
2001-06-25,48.1,48.1,48.0,48.0,200
2001-06-26,48.0,48.0,47.5,47.5,380
2001-06-28,49.0,49.0,48.0,48.4,600
2001-06-29,49.0,49.0,49.0,49.0,690
2001-07-02,48.1,48.1,48.1,48.1,383
2001-07-03,48.4,48.9,48.4,48.4,670
2001-07-04,48.5,48.7,48.5,48.6,700
2001-07-05,48.5,48.5,48.5,48.5,352
2001-07-06,48.8,49.0,48.8,49.0,430
2001-07-09,49.1,49.1,49.1,49.1,150
2001-07-10,49.0,49.1,49.0,49.0,280
2001-07-11,49.0,49.0,49.0,49.0,669
2001-07-12,49.0,49.2,49.0,49.2,1960
2001-07-13,49.0,49.0,49.0,49.0,2010
2001-07-16,49.3,49.3,49.3,49.3,2300
2001-07-17,49.1,49.3,49.1,49.3,780
2001-07-18,49.5,49.6,49.5,49.6,862
2001-07-19,49.6,49.9,49.6,49.9,2450
2001-07-20,50.0,50.0,50.0,50.0,215
2001-07-23,51.0,51.2,51.0,51.2,505
2001-07-24,50.5,51.5,50.5,51.5,700
2001-07-25,52.0,52.0,52.0,52.0,150
2001-07-27,51.9,51.9,51.9,51.9,10
2001-07-30,51.5,52.0,51.5,52.0,0
2001-07-31,51.6,51.6,51.6,51.6,10
2001-08-01,51.6,51.6,51.6,51.6,10
2001-08-02,52.5,52.5,50.0,52.5,440
2001-08-06,52.4,52.4,52.4,52.4,140
2001-08-07,51.5,51.5,51.5,51.5,10
2001-08-08,50.0,51.4,49.7,49.7,740
