date,open,high,low,close,volume
2009-07-24,655.5,691.5,655.5,689.0,0
2009-07-28,696.8,708.8,679.3,682.5,0
2009-07-29,679.5,705.0,673.8,700.5,0
2009-07-30,707.3,722.3,702.8,715.5,0
2009-07-31,708.5,724.3,701.5,711.5,0
2009-08-03,712.8,749.8,712.8,744.5,0
2009-08-04,742.0,748.0,724.8,735.0,0
2009-08-05,728.8,745.5,728.5,738.5,0
2009-08-06,738.8,747.8,722.0,735.3,0
2009-08-07,735.3,743.3,729.0,734.3,0
2009-08-10,733.0,742.8,727.0,734.8,0
2009-08-11,730.8,742.5,718.8,723.8,0
2009-08-12,724.8,738.3,714.3,734.5,0
2009-08-13,737.0,758.8,736.0,749.8,0
2009-08-14,753.5,779.8,749.8,767.3,0
2009-08-17,760.8,763.8,725.8,732.8,0
2009-08-18,733.5,749.8,730.3,745.5,0
2009-08-19,742.0,753.8,733.8,751.8,0
2009-08-20,761.0,785.3,756.0,782.0,0
2009-08-21,781.5,808.0,772.0,781.0,0
2009-08-24,787.8,832.8,784.8,823.3,0
2009-08-25,823.0,833.8,810.3,812.8,0
2009-08-27,8.0,8.1,7.9,8.0,0
2009-08-28,8.1,8.1,8.0,8.1,0
2009-08-31,8.1,8.1,8.1,8.1,0
2009-09-01,8.0,8.1,7.8,8.0,0
2009-09-02,7.9,8.0,7.8,7.9,0
2009-09-03,7.9,7.9,7.8,7.8,0
2009-09-04,7.8,8.0,7.7,7.9,0
2009-09-08,8.0,8.0,7.9,8.0,0
2009-09-09,8.0,8.1,7.9,8.0,0
2009-09-10,8.1,8.1,8.0,8.1,0
2009-09-11,8.1,8.2,8.1,8.1,0
2009-09-14,8.0,8.1,7.9,8.0,0
2009-09-15,8.0,8.2,8.0,8.1,0
2009-09-16,8.1,9.1,8.1,8.6,0
2009-09-17,8.6,8.8,8.6,8.8,0
2009-09-18,871.5,885.5,869.3,878.5,0
2009-09-21,889.3,893.5,854.5,866.3,0
2009-09-23,8.7,8.9,8.7,8.8,0
2009-09-24,8.7,8.8,8.4,8.5,0
2009-09-25,8.5,8.5,8.4,8.4,0
2009-09-28,8.4,8.5,8.3,8.3,0
2009-09-29,8.4,8.5,8.2,8.5,0
2009-09-30,8.4,8.7,8.4,8.5,0
2009-10-02,839.8,839.8,821.8,825.5,0
2009-10-05,826.3,836.8,817.8,835.8,0
2009-10-06,839.8,874.5,838.3,871.0,0
2009-10-07,866.0,869.8,854.5,868.8,0
2009-10-08,875.3,883.5,864.8,871.8,0
2009-10-09,873.3,877.0,856.5,860.8,0
2009-10-12,862.5,893.5,859.5,885.5,0
2009-10-13,885.8,898.8,882.3,885.8,0
2009-10-14,891.5,900.3,881.8,893.0,0
2009-10-15,898.0,922.3,895.8,916.8,0
2009-10-16,923.0,929.5,904.5,910.5,0
2009-10-19,909.8,941.8,901.5,941.8,0
2009-10-20,938.0,949.5,926.5,934.5,0
2009-10-21,919.0,920.5,899.0,913.0,0
2009-10-22,895.8,906.5,884.3,892.8,0
2009-10-23,906.0,906.0,878.0,879.8,0
2009-10-26,880.8,894.3,872.3,881.8,0
2009-10-27,880.3,885.0,849.5,851.8,0
2009-10-28,848.0,852.3,825.5,827.8,0
2009-10-29,825.8,846.5,822.8,844.8,0
2009-10-30,844.3,873.8,841.5,847.0,0
2009-11-02,845.3,869.5,835.3,861.5,0
2009-11-03,865.8,865.8,848.0,857.3,0
2009-11-04,866.5,876.3,862.0,872.0,0
2009-11-05,866.5,892.0,861.0,882.0,0
2009-11-06,878.5,906.0,872.3,898.0,0
2009-11-09,914.0,919.0,912.3,916.8,0
2009-11-10,928.5,931.8,903.8,903.8,0
2009-11-11,907.0,919.5,895.0,912.3,0
2009-11-12,907.5,912.5,898.8,900.3,0
2009-11-13,898.0,899.0,879.0,882.8,0
2009-11-16,886.3,888.8,877.0,886.3,0
2009-11-17,882.0,884.8,869.5,871.8,0
2009-11-18,876.8,877.0,864.0,869.5,0
2009-11-19,864.3,869.0,853.8,855.3,0
2009-11-20,854.0,868.8,841.8,843.0,0
2009-11-23,842.0,864.8,842.0,855.3,0
2009-11-24,846.8,854.0,835.3,844.8,0
2009-11-25,852.0,852.0,825.3,825.3,0
2009-11-26,809.0,809.0,740.5,755.8,0
2009-11-27,743.5,783.8,733.5,775.8,0
2009-11-30,762.3,773.0,750.5,750.5,0
2009-12-01,761.5,783.3,750.5,764.3,0
2009-12-02,764.0,764.0,741.8,747.3,0
2009-12-03,747.0,757.3,744.8,754.8,0
2009-12-04,746.5,754.3,734.3,753.8,0
2009-12-07,747.3,748.3,735.3,740.5,0
2009-12-08,737.0,739.3,700.8,716.8,0
2009-12-09,713.3,717.8,704.8,713.5,0
