date,open,high,low,close,volume
1990-01-03,26.82,26.82,26.82,26.82,0
1990-01-04,27.15,27.15,27.15,27.15,0
1990-01-05,26.99,26.99,26.99,26.99,0
1990-01-11,28.46,28.46,28.46,28.46,0
1990-01-12,28.13,28.13,28.13,28.13,0
1990-01-15,27.31,27.31,27.31,27.31,0
1990-01-16,26.99,26.99,26.99,26.99,0
1990-01-17,27.15,27.15,27.15,27.15,0
1990-01-19,27.31,27.31,27.31,27.31,0
1990-01-23,27.15,27.15,27.15,27.15,0
1990-01-25,27.8,27.8,27.8,27.8,0
1990-01-30,28.3,28.3,28.3,28.3,0
1990-01-31,27.8,27.8,27.8,27.8,0
1990-02-02,27.97,27.97,27.97,27.97,0
1990-02-05,27.8,27.8,27.8,27.8,0
1990-02-06,27.64,27.64,27.64,27.64,0
1990-02-07,26.99,26.99,26.99,26.99,0
1990-02-08,27.15,27.15,27.15,27.15,0
1990-02-09,26.99,26.99,26.99,26.99,0
1990-02-12,27.15,27.15,27.15,27.15,0
1990-02-15,26.99,26.99,26.99,26.99,0
1990-02-16,26.82,26.82,26.82,26.82,0
1990-02-20,26.66,26.66,26.66,26.66,0
1990-02-21,26.01,26.01,26.01,26.01,0
1990-02-22,26.17,26.17,26.17,26.17,0
1990-02-26,25.84,25.84,25.84,25.84,0
1990-02-28,26.01,26.01,26.01,26.01,0
1990-03-01,25.35,25.35,25.35,25.35,0
1990-03-05,25.02,25.02,25.02,25.02,0
1990-03-06,24.7,24.7,24.7,24.7,0
1990-03-12,24.37,24.37,24.37,24.37,0
1990-03-13,24.7,24.7,24.7,24.7,0
1990-03-14,25.68,25.68,25.68,25.68,0
1990-03-15,26.17,26.17,26.17,26.17,0
1990-03-16,26.33,26.33,26.33,26.33,0
1990-03-22,28.13,28.13,28.13,28.13,0
1990-03-23,27.64,27.64,27.64,27.64,0
1990-03-26,27.31,27.31,27.31,27.31,0
1990-03-27,26.99,26.99,26.99,26.99,0
1990-03-28,26.66,26.66,26.66,26.66,0
1990-03-29,26.82,26.82,26.82,26.82,0
1990-03-30,26.99,26.99,26.99,26.99,0
1990-04-02,26.66,26.66,26.66,26.66,0
1990-04-10,26.5,26.5,26.5,26.5,0
1990-04-18,26.33,26.33,26.33,26.33,0
1990-04-23,26.17,26.17,26.17,26.17,0
1990-04-24,26.01,26.01,26.01,26.01,0
1990-04-30,25.35,25.35,25.35,25.35,0
1990-05-08,25.02,25.02,25.02,25.02,0
1990-05-15,25.19,25.19,25.19,25.19,0
1990-05-16,25.84,25.84,25.84,25.84,0
1990-05-17,26.17,26.17,26.17,26.17,0
1990-05-18,26.01,26.01,26.01,26.01,0
1990-05-21,26.17,26.17,26.17,26.17,0
1990-05-22,26.82,26.82,26.82,26.82,0
1990-05-23,28.05,28.05,28.05,28.05,0
1990-05-24,27.48,27.48,27.48,27.48,0
1990-05-30,28.13,28.13,28.13,28.13,0
1990-06-01,28.46,28.46,28.46,28.46,0
1990-06-04,28.13,28.13,28.13,28.13,0
1990-06-07,28.3,28.3,28.3,28.3,0
1990-06-08,28.13,28.13,28.13,28.13,0
1990-06-12,28.46,28.46,28.46,28.46,0
1990-06-14,28.13,28.13,28.13,28.13,0
1990-06-19,27.8,27.8,27.8,27.8,0
1990-06-20,27.97,27.97,27.97,27.97,0
