date,open,high,low,close,volume
1998-11-18,16.9,17.3,16.5,16.5,5262169
1998-11-19,16.4,16.4,15.6,16.1,3486461
1998-11-20,16.4,16.8,16.4,16.8,2644915
1998-11-23,17.0,17.4,17.0,17.1,2570754
1998-11-24,17.1,17.1,16.4,16.5,1605334
1998-11-25,16.5,16.7,16.3,16.6,858328
1998-11-26,16.6,16.6,16.3,16.4,492608
1998-11-27,16.3,16.3,16.1,16.1,711667
1998-11-30,15.9,16.1,15.9,15.9,999931
1998-12-01,15.6,15.6,15.4,15.5,1045193
1998-12-02,15.5,15.8,15.5,15.7,604624
1998-12-03,15.6,16.3,15.6,16.1,550491
1998-12-04,16.0,16.7,16.0,16.7,820111
1998-12-07,16.8,16.8,16.3,16.5,539892
1998-12-08,16.5,16.7,16.5,16.6,758767
1998-12-09,16.6,16.6,16.5,16.6,686322
1998-12-10,16.8,16.8,16.6,16.6,1007324
1998-12-11,16.5,16.7,16.3,16.6,798968
1998-12-14,16.5,16.8,16.5,16.7,517217
1998-12-15,16.7,16.8,16.6,16.6,353657
1998-12-16,16.8,17.1,16.8,17.0,936528
1998-12-17,16.8,16.9,16.7,16.7,262547
1998-12-18,16.8,16.9,16.8,16.9,571506
1998-12-21,16.8,17.1,16.8,17.0,402128
1998-12-22,17.1,17.3,17.1,17.2,1028897
1998-12-23,17.4,17.8,17.4,17.7,743367
1998-12-28,17.7,17.9,17.5,17.7,332602
1998-12-29,17.6,17.6,17.3,17.4,756081
1998-12-30,17.4,17.6,17.4,17.4,310357
1998-12-31,17.4,17.5,17.4,17.5,155874
1999-01-04,17.7,18.6,17.7,18.6,749271
1999-01-05,18.5,18.7,18.5,18.6,833387
1999-01-06,18.9,20.2,18.9,20.2,956526
1999-01-07,20.7,20.7,19.7,20.2,1207134
1999-01-08,21.2,22.7,20.9,22.5,1354809
1999-01-11,22.0,22.0,21.0,21.5,1050626
1999-01-12,21.6,22.2,21.5,21.7,1389201
1999-01-13,21.0,21.0,19.1,19.6,1120034
1999-01-14,19.3,20.3,19.3,19.5,1619389
