date,open,high,low,close,volume
1997-11-20,15.4,15.4,15.4,15.4,118523
1997-11-21,16.0,16.0,16.0,16.0,264030
1997-11-24,16.0,16.0,16.0,16.0,91790
1997-11-25,15.7,15.7,15.7,15.7,57572
1997-11-26,15.5,15.5,15.5,15.5,17392
1997-11-27,15.5,15.5,15.5,15.5,10600
1997-11-28,15.8,15.8,15.8,15.8,46523
1997-12-01,16.1,16.1,16.1,16.1,62511
1997-12-02,16.4,16.4,16.4,16.4,65405
1997-12-03,16.5,16.5,16.5,16.5,133045
1997-12-04,16.8,16.8,16.8,16.8,97712
1997-12-05,17.2,17.2,17.2,17.2,200326
1997-12-08,17.8,17.8,17.8,17.8,193165
1997-12-09,17.6,17.6,17.6,17.6,186515
1997-12-10,17.5,17.5,17.5,17.5,61967
1997-12-11,17.4,17.4,17.4,17.4,116732
1997-12-12,17.2,17.2,17.2,17.2,125492
1997-12-15,17.3,17.3,17.3,17.3,38683
1997-12-16,17.5,17.5,17.5,17.5,50253
1997-12-17,17.6,17.6,17.6,17.6,51263
1997-12-18,17.2,17.2,17.2,17.2,41592
1997-12-19,17.4,17.4,17.4,17.4,105669
1997-12-22,17.2,17.2,17.2,17.2,63918
1997-12-23,17.4,17.4,17.4,17.4,40217
1997-12-29,17.6,17.6,17.6,17.6,96563
1997-12-30,17.6,17.6,17.6,17.6,72097
1997-12-31,17.8,17.8,17.8,17.8,84383
1998-01-05,17.9,17.9,17.9,17.9,72261
1998-01-06,18.0,18.0,18.0,18.0,157605
1998-01-07,18.0,18.0,18.0,18.0,72475
1998-01-08,18.3,18.3,18.3,18.3,106297
1998-01-09,18.4,18.4,18.4,18.4,99665
1998-01-12,17.8,17.8,17.8,17.8,44365
1998-01-13,17.8,17.8,17.8,17.8,52732
1998-01-14,18.0,18.0,18.0,18.0,55999
1998-01-15,18.1,18.1,18.1,18.1,22143
1998-01-16,18.0,18.0,18.0,18.0,29162
1998-01-19,18.3,18.3,18.3,18.3,44034
1998-01-20,18.4,18.4,18.4,18.4,72323
1998-01-21,18.4,18.4,18.4,18.4,47127
1998-01-22,18.3,18.3,18.3,18.3,25646
1998-01-23,18.3,18.3,18.3,18.3,10917
1998-01-26,18.4,18.4,18.4,18.4,83090
1998-01-27,18.4,18.4,18.4,18.4,29193
1998-01-28,18.5,18.5,18.5,18.5,71345
1998-01-29,18.6,18.6,18.6,18.6,20174
1998-01-30,19.0,19.0,19.0,19.0,84795
1998-02-02,19.6,19.6,19.6,19.6,97919
1998-02-03,20.0,20.0,20.0,20.0,81979
1998-02-04,20.0,20.0,20.0,20.0,95280
1998-02-05,19.9,19.9,19.9,19.9,29258
1998-02-06,19.6,19.6,19.6,19.6,73930
1998-02-09,20.6,20.6,20.6,20.6,97690
1998-02-10,21.1,21.1,21.1,21.1,72468
1998-02-11,20.7,20.7,20.7,20.7,24109
1998-02-12,20.9,20.9,20.9,20.9,44432
1998-02-13,22.0,22.0,22.0,22.0,129255
1998-02-16,23.0,23.0,23.0,23.0,121419
1998-02-17,24.0,24.0,24.0,24.0,106261
1998-02-18,24.0,24.0,24.0,24.0,97724
1998-02-19,24.0,24.0,24.0,24.0,74646
1998-02-20,23.4,23.4,23.4,23.4,33951
1998-02-23,24.0,24.0,24.0,24.0,61986
1998-02-24,24.5,24.5,24.5,24.5,390896
1998-02-25,24.7,24.7,24.7,24.7,47793
1998-02-26,25.6,25.6,25.6,25.6,128597
1998-02-27,26.0,26.0,26.0,26.0,106963
1998-03-02,26.6,26.6,26.6,26.6,95446
1998-03-03,26.0,26.0,26.0,26.0,42769
1998-03-04,25.7,25.7,25.7,25.7,70044
1998-03-05,24.8,24.8,24.8,24.8,94403
1998-03-06,24.6,24.6,24.6,24.6,152861
1998-03-09,25.1,25.1,25.1,25.1,40898
1998-03-10,26.0,26.0,26.0,26.0,44963
1998-03-11,26.4,26.4,26.4,26.4,115426
1998-03-12,27.0,27.0,27.0,27.0,98734
1998-03-13,27.2,27.2,27.2,27.2,78322
1998-03-16,27.4,27.4,27.4,27.4,42009
1998-03-17,27.2,27.2,27.2,27.2,61333
1998-03-18,27.4,27.4,27.4,27.4,48870
1998-03-19,27.8,27.8,27.8,27.8,41282
1998-03-20,27.5,27.5,27.5,27.5,28245
1998-03-23,27.4,27.4,27.4,27.4,49372
1998-03-24,27.0,27.0,27.0,27.0,71095
1998-03-25,26.5,26.5,26.5,26.5,51156
1998-03-26,27.0,27.0,27.0,27.0,96741
1998-03-27,26.5,26.5,26.5,26.5,13994
1998-03-30,26.8,26.8,26.8,26.8,56167
1998-03-31,27.0,27.0,27.0,27.0,111406
1998-04-01,27.2,27.2,27.2,27.2,32114
1998-04-02,27.5,27.5,27.5,27.5,16723
1998-04-06,27.0,27.0,27.0,27.0,11459
1998-04-07,27.9,27.9,27.9,27.9,22235
1998-04-08,28.0,28.0,28.0,28.0,36534
1998-04-09,27.5,27.5,27.5,27.5,17289
1998-04-14,27.6,27.6,27.6,27.6,7352
1998-04-15,28.0,28.0,28.0,28.0,48160
1998-04-16,28.8,28.8,28.8,28.8,57005
1998-04-17,28.5,28.5,28.5,28.5,19933
1998-04-20,29.0,29.1,29.0,29.1,42003
1998-04-21,30.0,30.0,29.7,30.0,48664
1998-04-22,31.0,32.0,31.0,31.8,51806
1998-04-23,31.5,33.5,31.5,32.6,134041
1998-04-24,32.5,33.5,32.5,33.0,41703
1998-04-27,32.9,32.9,32.0,32.0,34866
1998-04-28,32.0,33.0,32.0,33.0,61346
1998-04-29,33.0,34.2,33.0,33.4,59579
1998-04-30,33.3,34.1,33.3,33.8,113444
1998-05-04,33.8,33.8,33.0,33.4,26573
1998-05-05,33.0,33.0,32.1,32.5,15387
1998-05-06,32.5,32.5,31.5,32.0,65855
1998-05-07,31.5,31.5,31.0,31.3,48857
1998-05-08,31.0,31.3,30.6,31.1,53995
1998-05-11,30.8,30.8,29.5,29.5,14002
1998-05-12,29.9,29.9,28.6,28.7,38936
1998-05-13,28.4,28.4,27.2,27.5,21642
1998-05-14,28.0,28.8,28.0,28.4,57651
1998-05-15,29.0,29.2,29.0,29.1,63390
1998-05-18,29.0,30.2,28.3,28.3,60505
1998-05-19,28.8,28.8,28.8,28.8,32786
1998-05-20,28.6,28.8,28.6,28.8,37169
1998-05-21,29.8,30.7,29.8,30.2,13957
1998-05-22,30.0,30.0,29.6,29.7,70225
1998-05-25,29.8,29.8,29.8,29.8,35330
1998-05-26,28.3,28.5,28.0,28.0,48575
1998-05-27,26.1,26.1,24.4,24.9,31133
1998-05-28,25.0,25.9,25.0,25.4,51199
1998-05-29,26.0,26.6,26.0,26.6,29809
1998-06-01,25.0,25.3,24.5,25.2,203693
1998-06-02,26.0,27.3,26.0,27.0,162955
1998-06-03,28.6,30.2,28.6,30.0,71031
1998-06-04,29.9,30.5,29.3,29.3,147756
1998-06-05,31.3,33.0,31.3,32.4,114767
1998-06-08,33.0,33.6,32.0,32.0,102261
1998-06-09,32.3,32.3,30.2,31.0,60495
1998-06-10,29.5,30.2,29.5,29.5,64818
1998-06-15,29.0,29.0,27.5,27.7,47592
1998-06-16,28.0,30.0,28.0,30.0,80758
1998-06-17,30.8,31.8,30.8,31.5,51801
1998-06-18,32.0,32.0,30.8,30.8,94729
1998-06-19,30.7,31.0,30.4,31.0,31401
1998-06-22,31.3,32.0,31.3,31.7,25081
1998-06-23,31.0,31.0,30.1,30.6,26684
1998-06-24,30.0,30.0,29.5,30.0,36619
1998-06-25,29.8,30.6,29.8,30.5,81245
1998-06-26,30.1,30.1,29.7,29.8,56113
1998-06-29,29.5,30.4,29.5,29.8,13485
1998-06-30,31.0,31.5,30.7,30.7,34094
1998-07-01,31.5,31.9,31.2,31.4,50881
1998-07-02,31.5,31.5,31.3,31.3,63208
1998-07-03,31.1,31.3,31.1,31.2,19402
1998-07-06,31.0,31.1,30.5,31.1,11131
1998-07-07,32.0,32.3,31.7,32.3,64600
1998-07-08,32.6,32.6,31.6,31.6,51219
1998-07-09,32.4,32.4,32.0,32.0,16760
1998-07-10,32.0,32.0,31.8,32.0,54781
1998-07-13,33.0,34.0,33.0,34.0,62894
1998-07-14,34.0,34.0,33.0,33.3,135964
1998-07-15,33.5,33.5,32.8,33.0,35951
1998-07-16,33.0,33.0,32.5,32.5,27683
1998-07-17,33.0,33.0,32.0,32.4,37417
1998-07-20,33.0,33.8,33.0,33.7,25906
1998-07-21,34.0,34.0,33.1,33.1,70899
1998-07-22,32.9,33.0,32.1,32.1,34483
1998-07-23,32.9,33.5,32.9,33.2,28525
1998-07-24,32.0,32.2,32.0,32.2,36177
1998-07-27,32.0,32.0,30.0,30.3,24140
1998-07-28,31.1,31.1,29.9,30.0,10128
1998-07-29,31.0,31.0,30.5,30.9,19612
