date,open,high,close,low,volume
2009-11-06,25.95,26.75,25.4,25.99,49654654
2009-11-09,26.35,26.58,26.1,26.49,6497150
2009-11-10,26.49,26.62,26.15,26.38,4579565
2009-11-12,26.2,26.25,25.9,26.0,3307393
2009-11-13,26.0,26.05,25.81,25.92,1593282
2009-11-16,26.2,26.33,25.95,25.97,2063460
2009-11-17,26.0,26.02,25.51,25.52,1912774
2009-11-18,25.55,25.69,24.9,24.9,3149766
2009-11-19,24.71,24.8,24.0,24.04,4035278
2009-11-20,24.1,24.72,24.1,24.49,1918406
2009-11-23,24.74,24.95,24.53,24.72,907207
2009-11-24,24.68,24.85,24.52,24.55,716797
2009-11-25,24.55,24.68,24.4,24.5,615284
2009-11-26,24.67,24.67,24.04,24.1,723641
2009-11-27,23.78,24.29,23.41,24.29,1325752
2009-11-30,24.4,24.89,24.35,24.89,564226
2009-12-01,24.89,24.99,24.56,24.59,623067
2009-12-02,24.62,24.74,24.2,24.3,983419
2009-12-03,24.4,24.48,24.11,24.39,545741
2009-12-04,24.35,24.47,24.24,24.41,478053
2009-12-07,24.39,24.41,24.15,24.3,358262
2009-12-08,24.39,24.66,24.26,24.5,707915
2009-12-09,24.31,24.46,23.95,23.98,1657518
2009-12-10,24.0,24.0,23.79,23.83,888376
2009-12-11,24.0,24.0,23.9,23.97,814404
2009-12-14,24.07,24.71,24.0,24.6,2026412
2009-12-15,24.72,25.07,24.56,24.94,2058254
2009-12-16,24.98,25.74,24.98,25.7,5586824
2009-12-17,25.7,25.8,25.07,25.3,8737021
2009-12-18,25.0,25.3,24.93,25.25,3539284
2009-12-21,25.25,25.26,24.98,25.03,1124044
2009-12-22,25.07,25.15,24.8,24.95,1044980
2009-12-23,24.9,24.95,24.51,24.51,964745
2009-12-28,24.51,24.6,24.16,24.26,1358682
2009-12-29,24.3,24.59,24.25,24.49,763296
2009-12-30,24.5,24.5,24.15,24.25,832055
2009-12-31,24.31,24.5,24.21,24.5,456061
2010-01-04,24.45,24.7,24.25,24.34,819072
2010-01-05,24.48,24.48,24.19,24.34,2204328
2010-01-06,24.38,24.38,24.2,24.27,1401672
2010-01-07,24.25,24.25,23.87,23.87,1534117
2010-01-08,24.0,24.2,23.85,23.89,896249
2010-01-11,24.24,24.24,23.9,23.9,1962840
2010-01-12,24.0,24.01,23.25,23.4,2004581
2010-01-13,23.39,23.67,23.15,23.5,1929201
2010-01-14,23.53,23.65,23.19,23.25,881113
2010-01-15,23.28,23.38,23.15,23.15,1150013
2010-01-18,23.33,23.33,23.05,23.3,1189060
2010-01-19,23.32,23.6,23.26,23.6,993543
2010-01-20,23.66,24.1,23.6,24.04,1862906
2010-01-21,24.04,24.1,23.81,24.0,717026
2010-01-22,23.86,23.87,23.45,23.59,648898
2010-01-25,23.35,23.65,23.3,23.43,447518
2010-01-26,23.3,23.3,23.11,23.22,479127
2010-01-27,23.25,23.71,23.14,23.64,2508231
2010-01-28,23.75,23.9,23.5,23.68,1408098
2010-01-29,23.44,23.6,23.3,23.6,897833
2010-02-01,23.48,23.48,23.33,23.35,239335
2010-02-02,23.5,23.5,23.2,23.25,626521
2010-02-03,23.25,23.3,22.9,23.05,1460180
2010-02-04,23.0,23.16,22.85,22.95,2715030
2010-02-05,22.7,22.7,22.19,22.35,3953893
2010-02-08,22.31,22.45,21.35,21.7,2766173
2010-02-09,21.6,21.94,21.6,21.9,1597371
2010-02-10,22.0,22.4,21.72,21.77,807474
2010-02-11,21.56,21.68,20.93,21.0,2252826
2010-02-12,21.8,22.04,21.4,21.8,1313940
2010-02-15,21.99,22.12,21.8,22.04,565139
2010-02-16,22.17,22.17,21.54,21.7,587430
2010-02-17,22.25,22.25,21.45,21.55,444199
2010-02-18,21.73,21.95,21.6,21.8,476416
2010-02-19,21.75,22.1,21.57,22.07,427961
2010-02-22,22.3,22.47,22.16,22.33,634178
2010-02-23,22.25,22.27,22.01,22.06,376126
2010-02-24,22.01,22.18,21.91,22.18,362398
2010-02-25,22.15,22.18,21.92,21.95,264051
2010-02-26,22.05,22.14,21.84,21.9,269094
2010-03-01,22.0,22.0,21.65,21.79,268702
2010-03-02,21.79,21.98,21.7,21.8,1034822
2010-03-03,21.72,22.25,21.72,22.2,578930
2010-03-04,22.19,22.7,22.15,22.35,1167753
2010-03-05,22.65,22.9,22.55,22.8,1205486
2010-03-08,23.0,23.0,22.71,22.9,926911
2010-03-09,22.89,22.91,22.52,22.91,899632
2010-03-10,22.81,23.45,22.8,23.4,1205080
2010-03-11,23.4,23.93,23.3,23.7,1351498
2010-03-12,23.8,23.92,23.52,23.73,1186134
2010-03-15,23.57,23.95,23.56,23.9,682489
2010-03-16,23.76,24.02,23.76,23.9,1912147
2010-03-17,23.84,23.98,23.06,23.33,1694117
2010-03-18,23.49,23.5,23.25,23.4,1149475
2010-03-19,23.6,23.75,23.27,23.6,11028143
2010-03-22,23.3,23.3,22.89,23.1,1647045
2010-03-23,23.0,23.39,22.95,23.18,980198
2010-03-24,23.35,23.35,22.7,22.85,863710
2010-03-25,22.95,23.3,22.85,23.2,2459161
2010-03-26,23.21,23.39,22.79,22.8,1264865
2010-03-29,22.86,23.05,22.76,23.0,1053164
2010-03-30,23.19,23.35,22.88,23.23,1130315
2010-03-31,23.18,23.36,22.93,23.1,1065148
2010-04-01,23.2,23.3,23.05,23.3,563297
2010-04-06,23.28,23.35,23.1,23.3,874349
2010-04-07,23.25,23.33,23.06,23.06,2502425
2010-04-08,23.05,23.2,22.85,22.85,692839
2010-04-09,23.0,23.14,22.81,22.81,907740
2010-04-12,22.6,23.0,22.58,22.95,1188939
2010-04-13,22.85,22.9,22.41,22.64,3708860
2010-04-14,22.64,22.64,22.12,22.16,1916323
2010-04-15,22.2,22.21,21.84,21.9,1294808
2010-04-16,21.9,22.1,21.86,21.99,721479
2010-04-19,21.9,21.94,21.68,21.82,1202652
2010-04-20,21.9,21.98,21.66,21.81,770471
2010-04-21,21.97,22.0,21.74,22.0,592842
2010-04-22,22.0,22.05,21.85,21.85,647880
2010-04-23,21.9,22.33,21.86,22.3,753486
2010-04-26,22.3,22.71,22.3,22.65,648253
2010-04-27,22.65,22.7,22.3,22.3,420451
2010-04-28,22.0,22.0,21.65,21.85,3155496
2010-04-29,22.05,22.05,21.67,21.85,853401
2010-04-30,21.95,22.15,21.75,22.08,431828
2010-05-04,22.32,22.32,21.51,21.51,1822100
2010-05-05,21.5,21.64,21.35,21.41,1321890
2010-05-06,21.88,21.88,21.4,21.4,1021920
