date,open,high,low,close,volume
2005-09-23,4.0,4.04,3.8,3.81,213758964
2005-09-26,3.78,3.85,3.72,3.81,37949550
2005-09-27,3.85,4.0,3.85,3.97,37824051
2005-09-28,4.05,4.16,4.01,4.06,49591084
2005-09-29,4.0,4.13,3.95,4.08,20062896
2005-09-30,3.99,4.0,3.89,4.0,52558279
2005-10-03,3.98,4.0,3.93,3.95,9200102
2005-10-04,3.96,3.97,3.83,3.83,13248237
2005-10-05,3.83,3.85,3.74,3.85,20093403
2005-10-06,3.8,3.83,3.76,3.8,14686322
2005-10-07,3.78,3.8,3.76,3.8,8311767
2005-10-10,3.8,3.87,3.79,3.79,3608818
2005-10-11,3.8,3.83,3.77,3.8,5284316
2005-10-12,3.8,3.83,3.71,3.71,4310835
2005-10-13,3.73,3.73,3.49,3.53,26086367
2005-10-14,3.51,3.61,3.48,3.59,14223272
2005-10-17,3.65,3.66,3.56,3.56,7547484
2005-10-18,3.6,3.61,3.5,3.53,9255120
2005-10-19,3.49,3.52,3.45,3.52,11039081
2005-10-20,3.6,3.61,3.46,3.48,6559083
2005-10-21,3.46,3.47,3.42,3.43,12071105
2005-10-24,3.39,3.42,3.32,3.41,16255382
2005-10-25,3.44,3.62,3.43,3.62,9486897
2005-10-26,3.64,3.71,3.54,3.65,12835645
2005-10-27,3.53,3.59,3.51,3.55,4610878
2005-10-28,3.51,3.62,3.49,3.61,7258284
2005-10-31,3.64,3.64,3.6,3.61,1341734
2005-11-02,3.61,3.68,3.61,3.68,5362388
2005-11-03,3.69,3.7,3.53,3.54,9069741
2005-11-04,3.57,3.58,3.5,3.51,4870064
2005-11-07,3.51,3.51,3.38,3.4,6939146
2005-11-08,3.44,3.47,3.42,3.42,5018730
2005-11-09,3.44,3.45,3.41,3.42,4054825
2005-11-10,3.44,3.45,3.35,3.4,4896205
2005-11-14,3.43,3.43,3.33,3.35,4257565
2005-11-15,3.36,3.4,3.33,3.39,3652558
2005-11-16,3.37,3.37,3.21,3.24,19723780
2005-11-17,3.23,3.34,3.13,3.33,14426033
2005-11-18,3.37,3.39,3.32,3.37,7730862
2005-11-21,3.39,3.39,3.35,3.37,3721000
2005-11-22,3.38,3.47,3.38,3.4,9076965
2005-11-23,3.45,3.47,3.36,3.4,8723829
2005-11-24,3.38,3.44,3.3,3.34,10654891
2005-11-25,3.34,3.38,3.29,3.3,8455297
2005-11-28,3.21,3.28,3.21,3.25,8506783
2005-11-29,3.23,3.41,3.22,3.4,15688983
2005-11-30,3.44,3.5,3.42,3.48,9459498
2005-12-01,3.5,3.5,3.46,3.48,2805769
2005-12-02,3.37,3.38,3.35,3.36,5192844
