date,open,high,low,close,volume
1999-11-26,22.2,22.4,21.4,22.1,10902704
1999-11-29,22.0,22.1,21.6,21.7,3781050
1999-11-30,21.9,22.3,21.9,22.1,2260083
1999-12-01,22.3,22.8,22.1,22.8,2116148
1999-12-02,23.0,23.7,22.9,23.2,2271722
1999-12-03,23.2,23.6,23.0,23.5,1621217
1999-12-06,23.7,24.5,23.7,24.4,2066164
1999-12-07,24.3,24.4,24.0,24.0,1668198
1999-12-08,24.0,24.6,24.0,24.2,2617788
1999-12-09,24.2,24.2,23.6,24.0,1728127
1999-12-10,24.2,24.2,23.8,23.9,1287862
1999-12-13,23.8,24.0,23.6,23.7,1084536
1999-12-14,24.0,24.4,24.0,24.4,2173392
1999-12-15,24.3,24.3,24.0,24.1,901254
1999-12-16,24.0,24.0,23.7,23.8,1007589
1999-12-17,23.8,24.0,23.7,23.7,927399
1999-12-20,24.0,24.3,23.9,24.3,1675257
1999-12-21,24.1,24.8,24.1,24.4,1094205
1999-12-22,25.0,25.8,25.0,25.6,1969072
1999-12-23,25.7,26.0,25.5,25.6,898551
1999-12-27,25.7,26.3,25.7,25.8,1058911
1999-12-28,25.7,25.7,25.1,25.2,770746
1999-12-29,25.2,26.1,25.2,26.1,1383433
2000-01-03,26.6,27.0,26.2,26.7,1104790
2000-01-04,26.0,26.0,25.4,25.6,1356054
2000-01-05,24.7,25.5,24.7,25.3,1869432
2000-01-06,25.4,25.9,25.1,25.8,1129966
2000-01-07,26.2,27.3,26.2,27.0,2879179
2000-01-10,27.1,28.4,27.1,27.3,3034484
2000-01-11,26.9,27.1,26.3,26.8,1158529
2000-01-12,26.2,26.7,26.2,26.7,939589
2000-01-13,26.8,27.7,26.8,27.5,1472400
2000-01-14,27.5,27.9,27.0,27.3,2766845
2000-01-17,27.0,27.3,27.0,27.1,1216408
2000-01-18,27.2,27.3,26.3,26.5,856937
2000-01-19,26.1,26.7,26.1,26.6,1064637
2000-01-20,26.7,27.1,26.4,27.0,1488080
2000-01-21,26.8,27.3,26.8,27.2,1081790
2000-01-24,26.8,26.8,26.0,26.4,814494
2000-01-25,25.7,25.7,24.5,25.4,1329031
2000-01-26,25.4,25.6,25.1,25.4,956725
2000-01-27,25.2,25.8,25.2,25.8,685378
2000-01-28,25.9,26.4,25.2,25.5,718450
2000-01-31,25.3,25.3,25.0,25.1,619497
2000-02-01,25.6,26.1,24.7,24.8,986869
2000-02-02,24.9,25.1,24.6,25.0,1119387
2000-02-03,25.2,26.1,25.2,25.9,1286765
2000-02-04,26.2,26.5,25.4,25.6,990461
2000-02-07,25.5,25.7,25.1,25.3,855721
2000-02-08,25.3,25.3,24.8,25.0,1232197
2000-02-09,25.2,25.3,24.4,24.5,2136237
2000-02-10,24.4,24.5,24.0,24.3,980685
2000-02-11,24.0,24.0,23.1,23.3,2368369
2000-02-14,22.8,24.2,22.8,24.0,1776213
2000-02-15,25.0,25.0,24.1,24.2,1785337
2000-02-16,24.5,24.5,23.3,23.6,1235723
2000-02-17,23.6,24.5,23.3,24.5,1151674
2000-02-18,24.3,25.1,24.3,24.7,2095964
2000-02-21,23.5,24.3,23.5,24.2,755979
2000-02-22,24.2,24.8,23.7,23.7,799825
2000-02-23,23.8,24.1,23.1,23.5,1212286
2000-02-24,23.3,23.7,22.8,23.0,1391965
2000-02-25,23.0,23.0,22.4,22.7,843345
2000-02-28,21.9,22.7,21.7,22.3,1347570
2000-02-29,22.7,22.7,22.2,22.4,597271
2000-03-01,22.5,22.7,22.2,22.5,898877
2000-03-02,22.5,23.4,22.5,23.2,974747
2000-03-03,23.3,23.7,23.2,23.7,712182
2000-03-06,24.0,24.2,23.4,23.5,662262
2000-03-07,23.5,23.5,23.0,23.3,558540
2000-03-08,22.5,23.1,22.5,22.9,651759
2000-03-09,23.2,23.2,22.5,22.5,568505
