date,open,high,low,close,volume
1990-01-02,106.31,106.31,106.31,106.31,0
1990-01-03,105.3,105.3,105.3,105.3,0
1990-01-05,103.46,103.46,103.46,103.46,0
1990-01-08,103.62,103.62,103.62,103.62,0
1990-01-09,103.96,103.96,103.96,103.96,0
1990-01-10,104.13,104.13,104.13,104.13,0
1990-01-11,105.8,105.8,105.8,105.8,0
1990-01-12,104.96,104.96,104.96,104.96,0
1990-01-16,104.29,104.29,104.29,104.29,0
1990-01-17,104.96,104.96,104.96,104.96,0
1990-01-18,103.62,103.62,103.62,103.62,0
1990-01-22,102.95,102.95,102.95,102.95,0
1990-01-23,106.64,106.64,106.64,106.64,0
1990-01-24,107.31,107.31,107.31,107.31,0
1990-01-25,105.3,105.3,105.3,105.3,0
1990-01-26,105.97,105.97,105.97,105.97,0
1990-01-29,107.31,107.31,107.31,107.31,0
1990-01-30,107.98,107.98,107.98,107.98,0
1990-01-31,108.99,108.99,108.99,108.99,0
1990-02-01,108.82,108.82,108.82,108.82,0
1990-02-02,109.99,109.99,109.99,109.99,0
1990-02-05,110.67,110.67,110.67,110.67,0
1990-02-06,109.99,109.99,109.99,109.99,0
1990-02-07,109.66,109.66,109.66,109.66,0
1990-02-08,109.99,109.99,109.99,109.99,0
1990-02-09,108.99,108.99,108.99,108.99,0
1990-02-12,108.65,108.65,108.65,108.65,0
1990-02-13,109.99,109.99,109.99,109.99,0
1990-02-14,111.0,111.0,111.0,111.0,0
1990-02-15,114.02,114.02,114.02,114.02,0
1990-02-16,114.69,114.69,114.69,114.69,0
1990-02-19,113.68,113.68,113.68,113.68,0
1990-02-20,111.34,111.34,111.34,111.34,0
1990-02-21,110.33,110.33,110.33,110.33,0
1990-02-23,109.99,109.99,109.99,109.99,0
1990-02-26,110.67,110.67,110.67,110.67,0
1990-02-27,111.0,111.0,111.0,111.0,0
1990-02-28,110.33,110.33,110.33,110.33,0
1990-03-02,111.34,111.34,111.34,111.34,0
1990-03-05,108.99,108.99,108.99,108.99,0
1990-03-06,105.3,105.3,105.3,105.3,0
1990-03-08,104.96,104.96,104.96,104.96,0
1990-03-09,103.62,103.62,103.62,103.62,0
1990-03-12,101.95,101.95,101.95,101.95,0
1990-03-13,102.95,102.95,102.95,102.95,0
1990-03-15,103.29,103.29,103.29,103.29,0
1990-03-16,103.62,103.62,103.62,103.62,0
1990-03-19,99.93,99.93,99.93,99.93,0
1990-03-20,99.6,99.6,99.6,99.6,0
1990-03-21,99.93,99.93,99.93,99.93,4472945
1990-03-22,99.93,99.93,99.93,99.93,1649026
1990-03-23,102.28,102.28,102.28,102.28,2149995
1990-03-26,102.28,102.28,102.28,102.28,1177875
1990-03-27,101.28,101.28,101.28,101.28,647086
1990-03-28,101.95,101.95,101.95,101.95,468168
1990-03-29,101.28,101.28,101.28,101.28,545699
1990-03-30,101.61,101.61,101.61,101.61,277323
1990-04-02,101.28,101.28,101.28,101.28,316088
1990-04-03,100.94,100.94,100.94,100.94,1326974
1990-04-04,100.27,100.27,100.27,100.27,1013867
1990-04-05,99.93,99.93,99.93,99.93,1088417
1990-04-06,97.92,97.92,97.92,97.92,432385
1990-04-09,98.26,98.26,98.26,98.26,1807070
1990-04-10,97.92,97.92,97.92,97.92,390637
1990-04-11,97.92,97.92,97.92,97.92,1159984
1990-04-12,97.92,97.92,97.92,97.92,784256
1990-04-17,97.25,97.25,97.25,97.25,906517
1990-04-18,97.92,97.92,97.92,97.92,2817955
1990-04-19,99.6,99.6,99.6,99.6,2803045
1990-04-20,101.28,101.28,101.28,101.28,1118236
1990-04-23,100.27,100.27,100.27,100.27,566573
1990-04-24,99.26,99.26,99.26,99.26,56657
1990-04-25,98.59,98.59,98.59,98.59,518862
1990-04-26,97.59,97.59,97.59,97.59,387655
1990-04-27,95.57,95.57,95.57,95.57,2949161
1990-04-30,95.57,95.57,95.57,95.57,1207695
1990-05-01,94.23,94.23,94.23,94.23,1228569
1990-05-02,95.24,95.24,95.24,95.24,2418372
1990-05-03,94.9,94.9,94.9,94.9,1502909
1990-05-04,96.25,96.25,96.25,96.25,2582380
1990-05-08,98.59,98.59,98.59,98.59,715671
1990-05-09,97.92,97.92,97.92,97.92,74549
1990-05-10,98.26,98.26,98.26,98.26,635158
1990-05-11,99.6,99.6,99.6,99.6,1792160
1990-05-14,100.94,100.94,100.94,100.94,802148
1990-05-15,102.28,102.28,102.28,102.28,2981963
1990-05-16,102.62,102.62,102.62,102.62,566573
1990-05-17,102.28,102.28,102.28,102.28,1028777
1990-05-18,101.28,101.28,101.28,101.28,1398541
1990-05-21,102.95,102.95,102.95,102.95,1130164
1990-05-22,103.62,103.62,103.62,103.62,2656929
1990-05-23,101.95,101.95,101.95,101.95,1189803
1990-05-24,100.94,100.94,100.94,100.94,659014
1990-05-25,100.94,100.94,100.94,100.94,1449234
1990-05-29,102.28,102.28,102.28,102.28,760401
1990-05-30,104.29,104.29,104.29,104.29,1690773
1990-05-31,103.62,103.62,103.62,103.62,462204
1990-06-01,103.62,103.62,103.62,103.62,1669899
1990-06-04,102.62,102.62,102.62,102.62,990012
1990-06-05,101.95,101.95,101.95,101.95,1154020
1990-06-06,101.28,101.28,101.28,101.28,566573
1990-06-07,100.94,100.94,100.94,100.94,1818997
1990-06-08,100.94,100.94,100.94,100.94,849859
1990-06-11,100.6,100.6,100.6,100.6,647086
1990-06-12,101.95,101.95,101.95,101.95,605338
1990-06-13,103.96,103.96,103.96,103.96,2051591
1990-06-14,103.62,103.62,103.62,103.62,1488000
1990-06-15,103.62,103.62,103.62,103.62,882661
1990-06-18,102.78,102.78,102.78,102.78,826004
1990-06-19,101.61,101.61,101.61,101.61,2343823
1990-06-20,101.95,101.95,101.95,101.95,990012
